,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2231,2301,2485,2350,3008,3305,2799,2776,2274,2114,2367,2921,3140,3107,3689,3940,4033,-,-,-,-
1,Market Cap Growth,-30.36%,-30.36%,-11.23%,-15.34%,32.27%,56.31%,18.23%,-4.94%,-27.57%,-31.96%,-35.82%,-25.87%,-22.14%,-,-,-,-,-,-,-,-
2,Enterprise Value,2695,2650,2570,2074,2732,3123,2501,2404,1902,1652,1825,2317,2504,2351,2858,3773,3866,-,-,-,-
3,Last Close Price,19.82,20.44,21.74,20.38,26.08,28.65,24.27,23.78,19.48,18.11,20.27,24.78,26.64,26.36,31.30,33.09,33.87,-,-,-,-
4,PE Ratio,35.30,28.46,25.07,19.25,24.81,25.63,23.91,26.40,21.78,27.74,45.22,43.98,45.84,-,42.63,29.89,35.23,-,-,-,-
5,PS Ratio,1.70,1.75,1.87,1.75,2.22,2.49,2.12,2.15,1.93,1.93,2.62,3.76,4.41,4.59,5.12,4.25,4.57,-,-,-,-
6,PB Ratio,1.10,1.14,1.24,1.17,1.49,1.61,-,1.49,1.24,1.18,1.33,1.64,1.79,1.78,2.11,2.25,2.33,-,-,-,-
7,P/TBV Ratio,1.17,1.17,1.28,1.20,1.54,1.66,-,1.54,1.28,1.22,1.38,1.70,1.83,1.83,2.17,2.31,2.40,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-14.38,-,-,-,-,-,-,34.83,46.99,-,-,-,-
9,P/OCF Ratio,-,-21.23,-,-,-35.78,-,-,-,-32.33,-,-,-,-133.05,-,24.08,19.75,27.45,-,-,-,-
