,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,317.91,292.53,352.58,346.1,333.31,301.49,369.7,319.77,321.72,280.37,254.97,229.66,130.23,152.53,189.64,201.24,171.39,361.15,144.86,261.97
1,Other Revenue,-3.12,3.12,-,5.86,-2.99,2.99,-,5.28,-2.54,-,-,10.16,-2.88,2.88,-,3.02,-0.74,0.74,-,1.7
2,Revenue,314.79,295.64,352.58,351.95,330.32,304.48,369.7,325.04,319.18,280.37,254.97,239.82,127.34,155.42,189.64,204.26,170.66,361.89,144.86,263.67
3,Revenue Growth (YoY),-4.70%,-2.90%,-4.63%,8.28%,3.49%,8.60%,45.00%,35.54%,150.64%,80.40%,34.45%,17.41%,-25.38%,-57.05%,30.91%,-22.53%,-,-,-,-
4,Cost of Revenue,217.96,222.25,263.02,265.67,229.31,225.23,287.48,242.4,249.8,227.64,192.01,194.83,94.63,106.14,126.02,158.41,112.84,221.62,95.17,181.71
5,Gross Profit,96.84,73.39,89.56,86.29,101,79.25,82.22,82.65,69.38,52.73,62.96,44.99,32.71,49.27,63.62,45.85,57.81,140.27,49.69,81.96
6,"Selling, General & Admin",52.36,42.74,43.32,38.5,40.71,33.12,34.52,26.66,37.44,30.58,29.31,27.43,34.27,24.71,29.91,31.06,34.86,27.2,33.63,28.32
7,Research & Development,23.61,24.25,19.28,28.14,22.94,16.41,14.25,14.63,11.04,10.79,8.49,10.58,8.33,8.39,10,8.49,9.88,12.77,7.27,9.35
8,Other Operating Expenses,-6.63,4.51,-3.89,6.96,-0.09,-2.23,0.96,10.47,-5.47,-3.1,1.82,16.17,1.94,-13.09,0.17,13.77,-5.37,2.41,0.39,2.23
