,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,293.98,312.24,676.12,711.12,966.62,-,437.62,501.58,389.93,416.89,497.88,556.1,546.74,697.84,720.45,989.38,218.29,-,-,133.23
1,Short-Term Investments,-,-,22.32,177.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,30,-,-,30,-,40,30,50,50,50,50,91,60,110,-,-,-,-,-
3,Cash & Short-Term Investments,293.98,342.24,698.44,889.03,996.62,-,477.62,531.58,439.93,466.89,547.88,606.1,637.74,757.84,830.45,989.38,218.29,-,133.23,133.23
4,Cash Growth,-70.50%,-,46.23%,67.24%,126.54%,-,-12.82%,-12.30%,-31.02%,-38.39%,-34.03%,-38.74%,192.15%,-,523.33%,642.63%,-,-,-,-
5,Accounts Receivable,223.6,192.24,288.45,209.59,224.43,-,225.74,159.39,234,149.16,139.59,128.89,76.62,75.55,104.28,114.7,125.55,-,-,101.35
6,Other Receivables,2.8,2.41,1.83,1.45,3.77,-,1.31,1.42,0.93,3.81,1.63,1.65,1.98,1.91,2.46,1.52,2.23,-,-,1.89
7,Receivables,226.4,194.65,290.28,211.03,228.2,-,227.04,160.81,234.93,152.97,141.22,130.54,78.6,77.46,106.73,116.22,127.78,-,-,103.23
8,Inventory,736.35,691.17,595.14,621.06,592.37,-,458.03,482.84,416.64,455.68,448.39,419.33,437.92,375.76,298.23,267.55,254.06,-,-,289.82
9,Prepaid Expenses,-,-,-,-,-,-,-,1.08,-,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,374.76,368.25,29.37,25.94,197.93,-,12.52,12.42,12.3,3.4,12.92,16.45,39.93,25.08,15.56,11.15,9.53,-,-,3.84
11,Total Current Assets,1631,1596,1613,1747,2015,-,1175,1189,1104,1079,1150,1172,1194,1236,1251,1384,609.65,-,-,530.12
12,"Property, Plant & Equipment",1619,1479,1408,1352,1262,-,1068,1011,948.8,908.61,856.7,834.88,793.37,735.2,686.76,632.56,546.65,-,-,514.96
13,Long-Term Investments,44.9,95.43,10.5,150.64,10.5,-,10,181.46,10,10,10,10,170.4,168.77,3,-,-,-,-,-
14,Other Intangible Assets,60.29,60.66,61.28,61.85,62.43,-,62.42,62.97,63.51,63.86,63.38,45.15,45.48,45.74,46.17,46.56,46.99,-,-,50.82
15,Long-Term Deferred Tax Assets,14.27,13.63,13.74,12.53,12.98,-,11.31,12.9,13.22,11.52,10.4,10.52,6.22,6.26,6.36,6.76,6.36,-,-,5.24
16,Long-Term Deferred Charges,34.46,31.29,25.83,10.82,11,-,6.13,4.31,4.65,4.91,4.8,3.89,3.84,3.31,1.4,1.46,1.61,-,-,2.08
17,Other Long-Term Assets,112.17,51.02,258.77,8.59,8.63,-,177.55,10.5,172.43,178.75,176.19,174.21,9.89,5.64,144.39,9.72,13.16,-,-,3.38
18,Total Assets,3517,3327,3391,3343,3383,-,2510,2472,2316,2257,2272,2251,2223,2201,2139,2081,1224,-,-,1107
