,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1436,1577,1556,1706,1624,1581,1385,1120,903.69,981.53
1,Revenue Growth (YoY),-7.70%,-7.57%,-4.18%,7.94%,17.27%,41.20%,53.22%,14.07%,6.56%,-
2,Cost of Revenue,1109,1301,1234,1363,1194,1197,943.35,865.44,646.58,810.23
3,Gross Profit,327.42,276.25,321.49,343.43,429.26,383.59,441.25,254.19,257.12,171.3
4,"Selling, General & Admin",113.26,177.64,117.62,165.14,81.37,205.21,103.73,122.3,76.26,95.67
5,Other Operating Expenses,117.54,-89.55,65.13,-61.87,37.04,-41.67,22.03,-26.86,4.08,-11.9
6,Operating Expenses,230.8,346.99,182.74,278.62,118.41,180.95,125.76,126.62,80.34,83.77
7,Operating Income,96.62,-70.74,138.75,64.81,310.85,202.63,315.49,127.56,176.78,87.53
8,Interest Expense,-0.31,-0.35,-0.41,-1.06,-0.67,-0.92,-0.51,-51.66,-79.67,-86.95
9,Interest & Investment Income,2.29,3.08,2.2,1.97,2.7,8.84,7.07,51.9,98.81,106.47
10,Earnings From Equity Investments,-2.96,-9.93,1.16,19.5,20.2,12.2,19.18,14.84,1.27,0.22
11,Currency Exchange Gain (Loss),-0.73,-0.06,-6.14,-5.99,-5.17,-8.89,-,-13.36,-,-
12,Other Non Operating Income (Expenses),-,-1.15,-,-307.71,-,-2.3,-,-0.1,-,-
13,EBT Excluding Unusual Items,94.92,-79.15,135.56,-228.5,327.91,211.58,341.23,129.18,197.18,107.26
14,Impairment of Goodwill,-9.21,-6.62,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Investments,-,-,20.56,6.91,0.16,1.63,-,3.06,-,-1.39
16,Gain (Loss) on Sale of Assets,-0.72,-0.11,-0.03,-0.16,0.01,0.08,-,0.14,-,-0.03
17,Asset Writedown,-,-6.5,-,-,-,-,-,0.05,0.56,0.87
18,Pretax Income,84.99,-92.39,156.08,-221.75,328.08,213.28,341.23,132.43,197.73,106.72
19,Income Tax Expense,24.77,-3.94,27.63,-30.9,58.11,35.55,77.71,23.99,43.62,23.61
20,Earnings From Continuing Operations,60.22,-88.45,128.45,-190.85,269.97,177.73,263.52,108.44,154.11,83.1
21,Minority Interest in Earnings,-0.88,1.88,0.27,-0.65,-2.73,-0.02,-2.21,-1.58,-3.35,-2.59
22,Net Income,59.34,-86.57,128.71,-191.5,267.24,177.71,261.31,106.87,150.77,80.51
23,Net Income to Common,59.34,-86.57,128.71,-191.5,267.24,177.71,261.31,106.87,150.77,80.51
24,Net Income Growth,-53.90%,-,-51.84%,-,2.27%,66.29%,73.32%,32.73%,19.66%,-
25,Shares Outstanding (Basic),1184,1184,1184,1184,1184,1184,1184,912,888,976
26,Shares Outstanding (Diluted),1184,1184,1184,1184,1184,1184,1184,912,888,976
27,Shares Change (YoY),-,-,-,-,-,29.79%,33.33%,-6.53%,11.00%,-
28,EPS (Basic),0.05,-0.07,0.11,-0.16,0.23,0.15,0.22,0.12,0.17,0.08
29,EPS (Diluted),0.05,-0.07,0.11,-0.16,0.23,0.15,0.22,0.12,0.17,0.08
30,EPS Growth,-53.90%,-,-51.84%,-,2.27%,28.12%,29.99%,42.01%,7.81%,-
31,Free Cash Flow,39.35,68.23,-182.66,-150.61,65.9,216.38,284.55,290.95,64.13,206.79
32,Free Cash Flow Per Share,0.03,0.06,-0.15,-0.13,0.06,0.18,0.24,0.32,0.07,0.21
33,Dividend Per Share,0.013,-,-,0.123,0.136,-,-,-,-,-
34,Operating Margin,6.73%,-4.48%,8.92%,3.80%,19.14%,12.82%,22.79%,11.39%,19.56%,8.92%
35,Profit Margin,4.13%,-5.49%,8.27%,-11.22%,16.46%,11.24%,18.87%,9.54%,16.68%,8.20%
36,Free Cash Flow Margin,2.74%,4.33%,-11.74%,-8.83%,4.06%,13.69%,20.55%,25.99%,7.10%,21.07%
37,EBITDA,126.12,-18.25,197.04,81.62,328.86,205.58,328.27,130.18,190.53,95.07
38,D&A For EBITDA,29.5,52.49,58.29,16.81,18.01,2.95,12.78,2.62,13.75,7.54
39,EBIT,96.62,-70.74,138.75,64.81,310.85,202.63,315.49,127.56,176.78,87.53
