,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1284,1218,1726,2013,1750,2025,2377,2270,2258,1613,1911,Upgrade
1,Market Cap Growth,-39.47%,-39.47%,-1.37%,-0.59%,-26.38%,-10.79%,5.29%,40.74%,18.13%,-38.07%,-42.75%,Upgrade
2,Enterprise Value,1466,1659,1807,2144,1664,2156,2044,1916,2159,1226,1557,Upgrade
3,PE Ratio,-,-28.45,-,6.05,3.83,4.26,4.79,4.73,5.18,3.13,3.34,Upgrade
4,PS Ratio,5.11,4.85,7.07,7.79,6.65,7.79,10.21,11.53,13.71,11.92,12.87,Upgrade
5,PB Ratio,0.16,0.15,0.21,0.25,0.21,0.25,0.27,0.29,0.30,0.23,0.27,Upgrade
6,P/FCF Ratio,-,-,-,232.42,-,23.54,86.80,-,198.44,-,-,Upgrade
7,P/OCF Ratio,-,-,-,201.70,-,23.37,83.82,-,187.54,-,-,Upgrade
8,EV/Sales Ratio,5.84,6.61,7.40,8.30,6.32,8.30,8.78,9.73,13.11,9.06,10.48,Upgrade
9,EV/EBITDA Ratio,60.21,57.72,143.71,70.67,33.85,39.82,38.74,68.07,102.77,43.21,35.18,Upgrade
10,EV/EBIT Ratio,66.86,61.72,165.02,74.60,34.88,40.60,39.69,71.57,109.37,45.07,36.21,Upgrade
11,EV/FCF Ratio,-27.53,-,-,247.58,-,25.07,74.66,-,189.80,-,-,Upgrade
12,Debt / Equity Ratio,0.10,0.10,0.11,0.10,0.08,0.07,0.07,0.07,0.07,0.07,0.07,Upgrade
13,Debt / FCF Ratio,-,-,-,93.03,-,7.08,21.85,-,45.85,-,-,Upgrade
14,Return on Capital Employed (ROCE),0.29%,0.29%,0.12%,0.31%,0.52%,0.57%,0.53%,0.31%,0.23%,0.35%,0.56%,Upgrade
15,Earnings Yield,-3.33%,-3.51%,2.28%,16.53%,26.11%,23.49%,20.86%,21.13%,19.32%,31.94%,29.90%,Upgrade
16,Earnings Yield,-3.33%,-3.51%,2.28%,16.53%,26.11%,23.49%,20.86%,21.13%,19.32%,31.94%,29.90%,Upgrade
17,FCF Yield,-4.15%,-4.37%,-1.00%,0.43%,2.40%,4.25%,1.15%,9.51%,0.50%,-19.37%,-1.59%,Upgrade
18,Total Shareholder Return,4.19%,-,-,-,-,-,-,-,-,-,-,Upgrade
