,Fiscal Quarter,Q4 2013,Q4 2012
,Period Ending,"Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012"
0,Cash & Equivalents,23639,30523.0
1,Short-Term Investments,-,800.0
2,Cash & Short-Term Investments,23639,31323.0
3,Accounts Receivable,24437,24483.0
4,Other Receivables,10610,3104.0
5,Receivables,35047,27587.0
6,Inventory,777.91,1314.0
7,Other Current Assets,6565,2497.0
8,Total Current Assets,66028,62721.0
9,"Property, Plant & Equipment",93039,74747.0
10,Long-Term Investments,74491,83750.0
11,Goodwill,2227,2970.0
12,Other Intangible Assets,1120,1120.0
13,Other Long-Term Assets,2806,1648.0
14,Total Assets,239711,226955.0
15,Accounts Payable,14802,14104.0
16,Accrued Expenses,3192,3120.0
17,Current Income Taxes Payable,2051,2332.0
18,Other Current Liabilities,1923,924.85
19,Total Current Liabilities,21968,20481.0
20,Other Long-Term Liabilities,513.17,219.97
21,Total Liabilities,22481,20701.0
22,Common Stock,99999,99999.0
23,Additional Paid-In Capital,1929,1929.0
24,Retained Earnings,118788,91588.0
25,Treasury Stock,-4573,-4573.0
26,Total Common Equity,216142,188942.0
27,Minority Interest,1088,17312.0
28,Shareholders' Equity,217230,206254.0
29,Total Liabilities & Equity,239711,226955.0
30,Net Cash (Debt),23639,31323.0
31,Net Cash Per Share,2416.58,3201.43
32,Filing Date Shares Outstanding,9.78,9.78
33,Total Common Shares Outstanding,9.78,9.78
34,Working Capital,44060,42240.0
35,Book Value Per Share,22096.29,26454.76
36,Tangible Book Value,212795,184853.0
37,Tangible Book Value Per Share,21754.10,25882.14
38,Construction In Progress,19686,869.81
