,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,2364,2274,2438,2232,1888,1924,1550
1,Revenue Growth (YoY),-3.04%,1.90%,29.15%,16.01%,21.78%,-,-
2,Cost of Revenue,2135,2080,2220,2075,1711,1765,1428
3,Gross Profit,228.93,194.36,218.09,157.03,176.94,159.04,122.02
4,"Selling, General & Admin",299.71,312.68,327.43,494.92,412.94,510.68,450.8
5,Research & Development,15.01,22.08,23.86,28.36,34.29,29.9,29.31
6,Other Operating Expenses,3.41,-2.15,2.15,-4.53,4.53,-4.56,5.21
7,Operating Expenses,321.42,340.75,355.27,519.22,456.76,539.67,488.08
8,Operating Income,-92.48,-146.39,-137.18,-362.19,-279.82,-380.63,-366.06
9,Interest Expense,-1.55,-1.67,-1.82,-2.09,-1.96,-1.81,-1.88
10,Interest & Investment Income,10.21,11.58,19.76,9.04,8.21,10.37,-
11,Earnings From Equity Investments,-0.16,-0.41,-,0.25,0.08,0.48,-0.34
12,Currency Exchange Gain (Loss),-,-0.03,-,-,0.01,3.95,-
13,Other Non Operating Income (Expenses),1,0.7,23.64,-678.15,-81.56,-889.17,-2149
14,EBT Excluding Unusual Items,-82.98,-136.22,-95.6,-1033,-355.03,-1257,-2517
15,Impairment of Goodwill,-,-31.28,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,7.23,8.77,8.68,12.1,10.26,25.66,-
17,Gain (Loss) on Sale of Assets,-,-1,-,-0.7,-,-0.08,-
18,Other Unusual Items,0.59,0.76,0.22,-2.26,0.33,0.37,-
19,Pretax Income,-75.16,-158.97,-86.7,-1024,-344.44,-1231,-2517
20,Income Tax Expense,-0.51,0.43,0.61,1.78,1.55,0.86,-0.04
21,Earnings From Continuing Operations,-74.65,-159.4,-87.31,-1026,-345.99,-1232,-2517
22,Minority Interest in Earnings,-3.55,-4.05,-5.01,1.53,-0.34,1.34,6.71
23,Net Income,-78.2,-163.45,-92.32,-1024,-346.33,-1230,-2510
24,Net Income to Common,-78.2,-163.45,-92.32,-1024,-346.33,-1230,-2510
25,Shares Outstanding (Basic),644,643,645,126,99,99,100
26,Shares Outstanding (Diluted),644,643,645,126,99,99,100
27,Shares Change (YoY),-0.18%,410.26%,552.02%,27.23%,-0.91%,-,-
28,EPS (Basic),-0.12,-0.25,-0.14,-8.13,-3.50,-12.43,-25.12
29,EPS (Diluted),-0.12,-0.25,-0.14,-8.13,-3.50,-12.43,-25.12
30,Free Cash Flow,-7.91,10.35,-149.21,32.9,-218.93,-156.14,-482.36
31,Free Cash Flow Per Share,-0.01,0.02,-0.23,0.26,-2.21,-1.58,-4.83
32,Operating Margin,-3.91%,-6.44%,-5.63%,-16.23%,-14.82%,-19.78%,-23.62%
33,Profit Margin,-3.31%,-7.19%,-3.79%,-45.89%,-18.35%,-63.95%,-161.94%
34,Free Cash Flow Margin,-0.33%,0.46%,-6.12%,1.47%,-11.60%,-8.12%,-31.12%
35,EBITDA,-84.56,-139.34,-128.16,-357.68,-268.94,-371.2,-355.64
36,D&A For EBITDA,7.93,7.06,9.02,4.51,10.88,9.43,10.42
37,EBIT,-92.48,-146.39,-137.18,-362.19,-279.82,-380.63,-366.06
