,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,3856,4759,5254,5753,14253,-,-,-
1,Market Cap Growth,-17.28%,-17.28%,-63.14%,-,-,-,-,-
2,Enterprise Value,2911,3603,4017,4096,22013,-,-,-
3,Last Close Price,5.07,6.24,6.90,7.54,18.68,-,-,-
4,PS Ratio,0.65,0.96,1.01,1.14,3.06,-,-,-
5,PB Ratio,2.40,2.93,2.92,2.94,6.87,-,-,-
6,P/TBV Ratio,3.17,3.17,3.14,3.18,7.41,-,-,-
7,P/FCF Ratio,1468.33,-,-34.35,-,-67.78,-,-,-
8,P/OCF Ratio,395.43,-,-35.73,-,-69.25,-,-,-
9,EV/Sales Ratio,0.58,0.72,0.77,0.81,4.73,-,-,-
10,EV/FCF Ratio,1108.67,-,-26.26,-,-104.68,-,-,-
11,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,-1.32,-1.39,-
12,Debt / FCF Ratio,24.80,-,-0.49,-,-0.36,-,-,-
13,Earnings Yield,-6.73%,-5.46%,-5.36%,-20.97%,-10.87%,-,-,-
14,FCF Yield,0.07%,0.06%,-2.91%,-2.18%,-1.48%,-,-,-
15,Buyback Yield / Dilution,-66.83%,0.18%,-410.26%,-552.02%,-27.23%,0.91%,-,-
16,Total Shareholder Return,-66.83%,0.18%,-410.26%,-552.02%,-27.23%,0.91%,-,-
