,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,279.38,495.43,434.75,1455,1366,535.85,-
1,Short-Term Investments,28.6,155.85,263.79,75.15,5.1,5.05,-
2,Trading Asset Securities,647.08,478.35,516.39,-,-,1067,-
3,Cash & Short-Term Investments,955.06,1130,1215,1531,1372,1608,-
4,Cash Growth,-21.39%,-26.20%,-11.42%,-4.83%,-,-,-
5,Accounts Receivable,531.14,461.54,441.93,336.88,380.95,285.96,-
6,Other Receivables,25.95,19.21,16.99,27.33,29.95,22.15,-
7,Receivables,599.47,522.74,483.96,388.82,410.9,308.11,-
8,Inventory,325.5,246.06,293.36,280.33,279.09,269.04,-
9,Other Current Assets,605.72,544.05,543.53,495.59,459.85,302.88,-
10,Total Current Assets,2486,2442,2536,2695,2521,2488,-
11,"Property, Plant & Equipment",78.28,81.11,87.2,88.86,103.2,113.8,-
12,Long-Term Investments,244.93,184.09,181.68,1.97,1.72,1.64,-
13,Goodwill,50.65,50.65,81.93,79.82,79.82,79.82,-
14,Other Intangible Assets,46.75,48.19,52.7,56.18,60.06,61.53,-
15,Long-Term Deferred Tax Assets,2.03,1.06,-,-,-,-,-
16,Long-Term Deferred Charges,-,-,-,-,0.6,6.89,-
17,Other Long-Term Assets,8.25,7.48,7.64,7.38,138.39,140.91,-
18,Total Assets,2917,2815,2947,2930,2905,2893,-
19,Accounts Payable,677.13,464.75,419.33,342.43,319.49,238.39,-
20,Accrued Expenses,125.69,141.29,123.57,126.33,113.8,129.4,-
21,Short-Term Debt,-,2,-,-,-,-,-
22,Current Portion of Leases,23.54,26.22,28.09,29.02,34.93,34.12,-
23,Current Income Taxes Payable,0.62,0.07,0.53,1.39,1.18,1.46,-
24,Current Unearned Revenue,177.47,181.9,159.72,170.72,166.29,167.29,-
25,Other Current Liabilities,361.37,325.71,362.96,385.44,368.89,260.15,-
26,Total Current Liabilities,1366,1142,1094,1055,1005,830.8,-
27,Long-Term Debt,-,-,-,-,7914,7435,-
28,Long-Term Leases,37.08,39.34,39.75,38.75,47.69,52.9,-
29,Long-Term Deferred Tax Liabilities,1.83,2.62,1.42,1.34,1.43,1.52,-
30,Other Long-Term Liabilities,-,-,-,-,-,3.68,-
31,Total Liabilities,1405,1184,1135,1095,8968,8324,-
32,Common Stock,0.52,0.52,0.52,0.52,0.14,0.14,-
33,Retained Earnings,-7514,-7436,-7273,-7180,-6156,-5810,-
34,Treasury Stock,-153.02,-61.23,-0.08,-0.08,-0.08,-0.08,-
35,Comprehensive Income & Other,9163,9116,9081,9017,93.81,380.35,-
36,Total Common Equity,1496,1619,1809,1837,-6062,-5429,-
37,Minority Interest,15.44,12.29,2.18,-2.77,-0.86,-1.69,-
38,Shareholders' Equity,1512,1631,1812,1834,-6063,-5431,-
39,Total Liabilities & Equity,2917,2815,2947,2930,2905,2893,-
40,Total Debt,60.62,67.56,67.84,67.76,7997,7522,-
41,Net Cash (Debt),894.45,1062,1147,1463,-6625,-5914,-
42,Net Cash Growth,-22.02%,-27.40%,-,-,-,-,-
43,Net Cash Per Share,1.39,1.65,1.78,11.61,-66.92,-59.74,-
44,Filing Date Shares Outstanding,762.69,761.5,763.03,763.03,219.2,219.2,99.91
45,Total Common Shares Outstanding,762.69,761.5,763.03,763.03,219.2,219.2,99.91
46,Working Capital,1120,1301,1442,1640,1517,1657,-
47,Book Value Per Share,1.96,2.13,2.37,2.41,-27.66,-24.77,-
48,Tangible Book Value,1399,1520,1675,1701,-6202,-5571,-
49,Tangible Book Value Per Share,1.83,2.00,2.19,2.23,-28.29,-25.41,-
50,Machinery,-,18.77,-,19.79,21.65,20.95,-
51,Construction In Progress,-,0.87,-,0.37,0.4,0.34,-
52,Leasehold Improvements,-,31.45,-,42.62,45.58,42.98,-
