,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,21.1,22.46,14.39,6.29,9.46,11.41,8.39,11.84,28.95,49.16
1,Revenue Growth (YoY),46.60%,256.90%,52.14%,-44.87%,12.78%,-3.59%,-71.02%,-75.92%,-41.58%,-0.88%
2,Cost of Revenue,13.92,16.95,13.8,10.66,5.83,6.38,6.07,10.55,15.89,28.65
3,Gross Profit,7.18,5.51,0.6,-4.37,3.63,5.03,2.32,1.29,13.06,20.51
4,"Selling, General & Admin",-,-,-,-,-,-4.85,4.85,7.62,12.56,15.79
5,Other Operating Expenses,14.22,12.82,11.53,7.03,4.17,12.25,-,-,-,-
6,Operating Expenses,14.22,12.82,11.53,7.03,4.17,7.39,4.85,7.62,12.56,15.79
7,Operating Income,-7.03,-7.31,-10.94,-11.41,-0.54,-2.36,-2.53,-6.33,0.5,4.72
8,Interest Expense,-2.71,-2.6,-2.29,-0.82,-0.46,-0.51,-0.47,-0.5,-0.39,-0.36
9,Interest & Investment Income,-,0,0,0,-,0.01,0.02,0.07,0.23,0.34
10,Currency Exchange Gain (Loss),0,-,0,0,0,-0,-0,-0,-0.01,-0
11,EBT Excluding Unusual Items,-9.74,-9.9,-13.22,-12.23,-1,-2.86,-2.99,-6.76,0.34,4.7
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-0.03,-,-,-,-
13,Gain (Loss) on Sale of Assets,-,0.06,0,-,-,0.09,-,0.08,-,-0.01
14,Asset Writedown,-,-,-,-0.53,-,-1.41,-,-5.91,-0.53,-
15,Other Unusual Items,-,-,-,-,-,0,-,-0.19,0.19,-
16,Pretax Income,-9.74,-9.85,-13.22,-12.76,-1,-4.21,-2.99,-12.78,0,4.69
17,Income Tax Expense,-,-0.09,-,-1.81,-0.46,-0.66,-0.39,-1.94,-0.08,0.03
18,Earnings From Continuing Operations,-9.74,-9.76,-13.22,-10.95,-0.55,-3.54,-2.6,-10.85,0.08,4.66
19,Minority Interest in Earnings,0.08,0.01,0.1,0.07,-,0.2,-0.01,0.99,0.45,-0.09
20,Net Income,-9.67,-9.75,-13.11,-10.88,-0.55,-3.34,-2.61,-9.86,0.54,4.57
21,Net Income to Common,-9.67,-9.75,-13.11,-10.88,-0.55,-3.34,-2.61,-9.86,0.54,4.57
22,Net Income Growth,-,-,-,-,-,-,-,-,-90.28%,-0.78%
23,Shares Outstanding (Basic),360,360,360,360,360,360,360,360,360,372
24,Shares Outstanding (Diluted),360,360,360,360,360,360,360,360,360,372
25,Shares Change (YoY),-,-,-,-,-,-,-,-3.25%,27.96%,37.81%
26,EPS (Basic),-0.03,-0.03,-0.04,-0.03,-0.00,-0.01,-0.01,-0.03,0.00,0.01
27,EPS (Diluted),-0.03,-0.03,-0.04,-0.03,-0.00,-0.01,-0.01,-0.03,0.00,0.01
28,EPS Growth,-,-,-,-,-,-,-,-,-92.40%,-28.00%
29,Free Cash Flow,-0.94,-0.61,-11.57,-23.56,-15.76,-26.91,-18.95,-10.11,-5.72,12.41
30,Free Cash Flow Per Share,-0.00,-0.00,-0.03,-0.07,-0.04,-0.07,-0.05,-0.03,-0.02,0.03
31,Operating Margin,-33.34%,-32.55%,-75.98%,-181.26%,-5.70%,-20.68%,-30.20%,-53.45%,1.73%,9.60%
32,Profit Margin,-45.82%,-43.40%,-91.11%,-172.92%,-5.76%,-29.28%,-31.12%,-83.27%,1.86%,9.29%
33,Free Cash Flow Margin,-4.43%,-2.73%,-80.36%,-374.40%,-166.57%,-235.79%,-225.94%,-85.35%,-19.75%,25.25%
34,EBITDA,-2.01,-2.1,-6.16,-9.47,0.48,-1.11,-0.95,-3.52,3.56,7.89
35,D&A For EBITDA,5.02,5.21,4.77,1.94,1.02,1.25,1.59,2.8,3.06,3.17
36,EBIT,-7.03,-7.31,-10.94,-11.41,-0.54,-2.36,-2.53,-6.33,0.5,4.72
