,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,70.23,113.26,68.08,15.11,29.92,21.96,20.98,74.18,70.03,178.45
1,Trading Asset Securities,-,-,0.61,-,-,-,-,-,28.08,-
2,Cash & Short-Term Investments,70.23,113.26,68.69,15.11,29.92,21.96,20.98,74.18,98.12,178.45
3,Cash Growth,2.24%,649.50%,129.61%,-31.17%,42.61%,-70.40%,-78.62%,-58.43%,-,-
4,Accounts Receivable,161.63,175.99,161.64,207.16,251.76,246.43,229.97,218.89,129.87,98.86
5,Other Receivables,4.13,2.85,4.52,7.86,4.19,1.08,2.67,0.77,0.37,0.29
6,Receivables,165.75,178.84,166.16,215.02,255.95,247.52,232.64,219.67,130.24,99.15
7,Inventory,-,-,-,-,-,-,0.1,-,0,0
8,Prepaid Expenses,12.31,5.56,5.36,1.6,5.12,2.34,8.3,0.99,3.95,1.98
9,Other Current Assets,3.98,4.97,6.62,4.69,5.58,4.95,17.21,11.3,8.05,10.17
10,Total Current Assets,252.28,302.63,246.83,236.42,296.57,276.77,279.22,306.14,240.35,289.76
11,"Property, Plant & Equipment",26.26,33.61,33.68,47.53,83.03,93.58,101.66,105.25,27.1,22.83
12,Long-Term Investments,16.72,14.76,16.41,19.25,14.29,12.65,10.19,10.34,0.2,0.44
13,Goodwill,-,18.6,-,18.6,-,18.6,-,18.6,-,0.07
14,Other Intangible Assets,74.88,62.23,78.53,77.2,97.71,68.45,56.87,36.18,18.51,19.46
15,Long-Term Deferred Tax Assets,9.34,8.85,8.23,8.43,3.97,3.64,1.35,1.86,0.48,0.23
16,Other Long-Term Assets,3.47,3.47,3.47,3.47,-,-,-,3.37,47.27,40.88
17,Total Assets,382.94,444.15,387.15,410.88,495.57,473.69,449.28,481.74,333.91,373.68
18,Accounts Payable,78.23,91.59,38.72,74.32,52.75,76.9,53.34,68.68,25.52,41.52
19,Accrued Expenses,29.73,29.75,27.6,54.56,40.61,59.32,32.64,37.63,13.82,17.97
20,Short-Term Debt,2.38,-,40.77,67.03,140.1,54.22,119.82,80.89,61.28,51.39
21,Current Portion of Long-Term Debt,161.74,166.19,84.51,79.13,78.82,49.69,2.74,6.44,8.28,9.02
22,Current Portion of Leases,3.64,5.21,2.96,3.37,13.11,15.1,14.21,13.51,2.75,1.79
23,Current Income Taxes Payable,1.99,2.05,1.24,3.54,3.65,3.64,5.26,8.02,6.18,7.97
24,Current Unearned Revenue,0.62,1,1.58,1.91,6.21,24.9,1.51,1.21,0.92,12.79
25,Other Current Liabilities,10.34,14.22,11.88,15.8,6.86,15.42,8.62,13.93,1.5,11.63
26,Total Current Liabilities,288.68,310.01,209.27,299.66,342.1,299.19,238.14,230.3,120.26,154.07
27,Long-Term Debt,10,10,10,2.46,6.28,0.62,-,-,2.74,6.44
28,Long-Term Leases,3.19,6.15,3.45,4.39,13.95,17.78,24.08,31.75,5.11,3.61
29,Long-Term Deferred Tax Liabilities,0.6,0.68,0.77,0.85,1.68,1.94,2.21,2.47,-,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,1.57,1.57,-,-
31,Total Liabilities,302.46,326.84,223.49,307.37,364.01,319.52,266,266.09,128.1,164.12
32,Common Stock,5.95,5.95,5.95,4.15,3.65,3.6,3.6,3.6,3.58,3.58
33,Additional Paid-In Capital,306.83,306.83,306.83,181.24,130.04,130.04,130.04,130.04,119.64,119.64
34,Retained Earnings,-339.64,-303.6,-256.51,-194.36,-102.94,-66.17,-31.61,10.07,17.97,23.17
35,Comprehensive Income & Other,88.46,86.65,87.66,91.73,85.04,70.23,72.81,60.63,64.62,63.17
36,Total Common Equity,61.61,95.84,143.94,82.76,115.8,137.69,174.84,204.34,205.8,209.56
37,Minority Interest,18.87,21.47,19.72,20.75,15.76,16.48,8.44,11.31,-,-
38,Shareholders' Equity,80.48,117.31,163.66,103.51,131.55,154.17,183.28,215.65,205.8,209.56
39,Total Liabilities & Equity,382.94,444.15,387.15,410.88,495.57,473.69,449.28,481.74,333.91,373.68
40,Total Debt,180.95,187.55,141.69,156.39,252.26,137.4,160.85,132.59,80.16,72.25
41,Net Cash (Debt),-110.72,-74.29,-73,-141.28,-222.34,-115.44,-139.88,-58.4,17.95,106.21
42,Net Cash Per Share,-0.17,-0.11,-0.15,-0.33,-0.55,-0.29,-0.35,-0.15,0.04,0.34
43,Filing Date Shares Outstanding,660.87,660.87,660.87,467.07,408.86,402.15,402.15,402.15,400,400
44,Total Common Shares Outstanding,660.87,660.87,660.87,467.07,408.86,402.15,402.15,402.15,400,400
45,Working Capital,-36.4,-7.38,37.56,-63.24,-45.54,-22.42,41.08,75.85,120.1,135.69
46,Book Value Per Share,0.09,0.15,0.22,0.18,0.28,0.34,0.43,0.51,0.51,0.52
47,Tangible Book Value,-13.27,15.01,65.41,-13.04,18.09,50.64,117.97,149.55,187.3,190.02
48,Tangible Book Value Per Share,-0.02,0.02,0.10,-0.03,0.04,0.13,0.29,0.37,0.47,0.48
49,Buildings,-,15.26,-,15.26,-,15.26,-,15.26,-,15.26
50,Machinery,-,38.55,-,44.78,-,57.07,-,46.37,-,7.43
