,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,1160.0,1160.0,-,-
1,Short-Term Investments,292.23,292.23,-,-
2,Trading Asset Securities,459.7,459.7,-,-
3,Cash & Short-Term Investments,1912.0,1912.0,-,1144
4,Accounts Receivable,430.29,430.29,-,-
5,Other Receivables,17.0,17.0,-,-
6,Receivables,450.64,450.64,-,-
7,Inventory,371.27,371.27,-,-
8,Prepaid Expenses,92.0,92.0,-,-
9,Restricted Cash,220.1,220.1,-,-
10,Other Current Assets,109.93,109.93,-,-
11,Total Current Assets,3156.0,3156.0,-,-
12,"Property, Plant & Equipment",1232.0,1232.0,-,-
13,Long-Term Investments,31.34,31.34,-,-
14,Other Intangible Assets,0.7,0.7,-,-
15,Long-Term Accounts Receivable,2.23,2.23,-,-
16,Long-Term Deferred Tax Assets,22.99,22.99,-,-
17,Long-Term Deferred Charges,81.94,81.94,-,-
18,Other Long-Term Assets,51.11,51.11,-,-
19,Total Assets,4578.0,4578.0,-,-
20,Accounts Payable,1615.0,1615.0,-,-
21,Accrued Expenses,130.93,130.93,-,-
22,Short-Term Debt,417.12,417.12,-,-
23,Current Portion of Long-Term Debt,30.7,30.7,-,-
24,Current Portion of Leases,3.22,3.22,-,-
25,Current Income Taxes Payable,20.65,20.65,-,-
26,Current Unearned Revenue,124.22,124.22,-,-
27,Other Current Liabilities,124.35,124.35,-,-
28,Total Current Liabilities,2466.0,2466.0,-,-
29,Long-Term Debt,514.2,514.2,-,-
30,Long-Term Leases,8.2,8.2,-,-
31,Long-Term Unearned Revenue,22.77,22.77,-,-
32,Other Long-Term Liabilities,4.12,4.12,-,-
33,Total Liabilities,3015.0,3015.0,-,-
34,Common Stock,0.31,0.31,-,-
35,Additional Paid-In Capital,688.46,688.46,-,-
36,Retained Earnings,624.99,624.99,-,-
37,Comprehensive Income & Other,248.75,248.75,-,-
38,Shareholders' Equity,1562.0,1562.0,-,679.84
39,Total Liabilities & Equity,4578.0,4578.0,-,-
40,Total Debt,973.44,973.44,-,661.69
41,Net Cash (Debt),938.64,938.64,-,482.7
42,Net Cash Per Share,2.27,2.27,-,1.51
43,Filing Date Shares Outstanding,426.67,426.67,320,320
44,Total Common Shares Outstanding,426.67,426.67,320,320
45,Working Capital,689.87,689.87,-,-
46,Book Value Per Share,3.66,3.66,-,21.24
47,Tangible Book Value,1562.0,1562.0,-,678.13
48,Tangible Book Value Per Share,3.66,3.66,-,21.19
