,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,2871,2897,2731,-,-
1,Enterprise Value,1863,1645,1479,-,-
2,Last Close Price,7.00,6.79,6.40,-,-
3,PE Ratio,16.61,21.37,27.03,-,-
4,Forward PE,16.50,15.41,-,-,-
5,PS Ratio,0.48,0.54,0.68,-,-
6,PB Ratio,1.78,1.73,1.61,-,-
7,P/TBV Ratio,1.73,1.73,1.61,-,-
8,P/OCF Ratio,11.42,24.12,28.00,-,-
9,EV/Sales Ratio,0.34,0.31,0.37,-,-
10,EV/EBITDA Ratio,11.77,8.24,9.65,-,-
11,EV/EBIT Ratio,36.75,16.48,18.64,-,-
12,Debt / Equity Ratio,0.62,0.62,0.62,-,0.97
13,Debt / EBITDA Ratio,6.60,5.18,5.18,-,3.35
14,Asset Turnover,1.11,-,-,-,
15,Inventory Turnover,-,12.02,-,-,-
16,Quick Ratio,0.96,0.96,0.96,-,-
17,Current Ratio,1.28,1.28,1.28,-,-
18,Return on Equity (ROE),8.45%,-,-,-,
19,Return on Assets (ROA),1.07%,-,-,-,
20,Return on Capital (ROIC),1.94%,-,-,-,
21,Return on Capital Employed (ROCE),2.24%,4.40%,3.47%,-,-
22,Earnings Yield,5.67%,4.68%,3.70%,-,-
23,FCF Yield,1.79%,-6.76%,-5.33%,-,-
