,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,1267,1267,1227,1227
1,Cost of Revenue,1115,1115,1080,1080
2,Gross Profit,151.47,151.47,147.72,147.72
3,"Selling, General & Admin",101.58,101.58,99.22,99.22
4,Research & Development,45.98,45.98,38.63,38.63
5,Other Operating Expenses,-15.78,-15.78,-16.89,-16.89
6,Operating Expenses,131.79,131.79,120.96,120.96
7,Operating Income,19.69,19.69,26.76,26.76
8,Interest Expense,-5.71,-5.71,-5.54,-5.54
9,Interest & Investment Income,12.61,12.61,7.08,7.08
10,Earnings From Equity Investments,-0.09,-0.09,0.03,0.03
11,Currency Exchange Gain (Loss),2.5,2.5,0.01,0.01
12,EBT Excluding Unusual Items,29,29,28.34,28.34
13,Gain (Loss) on Sale of Investments,4.29,4.29,3.88,3.88
14,Gain (Loss) on Sale of Assets,0.06,0.06,-0.08,-0.08
15,Pretax Income,33.35,33.35,32.14,32.14
16,Income Tax Expense,0.36,0.36,2.03,2.03
17,Net Income,32.99,32.99,30.1,30.1
18,Net Income to Common,32.99,32.99,30.1,30.1
19,Shares Outstanding (Basic),407,407,320,320
20,Shares Outstanding (Diluted),414,414,320,320
21,EPS (Basic),0.08,0.08,0.09,0.09
22,EPS (Diluted),0.08,0.08,0.09,0.09
23,Free Cash Flow,-48,-48,-43.19,-43.19
24,Free Cash Flow Per Share,-0.12,-0.12,-0.13,-0.13
25,Gross Margin,11.96%,11.96%,12.03%,12.03%
26,Operating Margin,1.55%,1.55%,2.18%,2.18%
27,Profit Margin,2.60%,2.60%,2.45%,2.45%
28,Free Cash Flow Margin,-3.79%,-3.79%,-3.52%,-3.52%
29,EBITDA,44.59,44.59,48.37,48.37
30,EBITDA Margin,3.52%,3.52%,3.94%,3.94%
31,D&A For EBITDA,24.91,24.91,21.61,21.61
32,EBIT,19.69,19.69,26.76,26.76
33,EBIT Margin,1.55%,1.55%,2.18%,2.18%
34,Effective Tax Rate,1.07%,1.07%,6.33%,6.33%
