,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,195.98,251.75,244.88,203.55,179.23,244.78,158.43,107.88,135.52,168.35
1,Revenue Growth (YoY),-19.97%,23.68%,36.63%,-16.84%,13.13%,126.91%,16.90%,-35.92%,3.13%,-15.18%
2,Cost of Revenue,145.61,191.68,198.04,151.51,133.73,193.08,117.27,80.53,99.7,135.78
3,Gross Profit,50.38,60.07,46.84,52.04,45.5,51.69,41.17,27.34,35.83,32.57
4,"Selling, General & Admin",17.64,21.67,17.96,24.32,18.56,27.17,14.2,19.06,16.3,21.83
5,Operating Expenses,19.81,24.12,19.9,27.57,21.64,30.61,17.48,21.05,18.23,23.83
6,Operating Income,30.57,35.95,26.94,24.47,23.85,21.08,23.69,6.3,17.6,8.74
7,Interest Expense,-0.32,-,-0.49,-,-0.53,-0.5,-0.3,-0.31,-0.09,-0.24
8,Interest & Investment Income,5.44,3.68,2.02,1.74,0.02,0.02,0.05,0.03,0.02,0.04
9,Currency Exchange Gain (Loss),-0.57,0.04,-,-0.24,-,0.19,-,-0,-,-
10,Other Non Operating Income (Expenses),1.58,-0.12,-0.01,-0.61,1.47,0.01,0.17,0.57,-,0.81
11,EBT Excluding Unusual Items,36.71,39.55,28.47,25.36,24.81,20.79,23.61,6.58,17.53,9.35
12,Gain (Loss) on Sale of Investments,-0.05,-0.08,-0.13,-0.15,-0.21,-0.02,-0.17,-,-,-
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-0.3
14,Other Unusual Items,-,-,-,1.99,-,-,-,1.53,2.03,-
15,Pretax Income,36.65,39.47,28.34,27.21,24.6,20.77,23.44,8.11,19.56,9.05
16,Income Tax Expense,6.06,6.05,4.75,4.42,3.98,3.83,3.58,1.31,3.06,1.27
17,Earnings From Continuing Operations,30.59,33.42,23.59,22.78,20.62,16.94,19.86,6.8,16.5,7.78
18,Net Income,30.59,33.42,23.59,22.78,20.62,16.94,19.86,6.8,16.5,7.78
19,Net Income to Common,30.59,33.42,23.59,22.78,20.62,16.94,19.86,6.8,16.5,7.78
20,Net Income Growth,29.70%,46.67%,14.38%,34.48%,3.84%,149.10%,20.37%,-12.61%,-11.22%,-53.98%
21,Shares Outstanding (Basic),1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
22,Shares Outstanding (Diluted),1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
23,Shares Change (YoY),0.02%,0.02%,-,-0.04%,0.02%,0.04%,-,-,-,-0.00%
24,EPS (Basic),0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01
25,EPS (Diluted),0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01
26,EPS Growth,29.69%,50.03%,14.38%,29.84%,3.84%,149.10%,24.12%,-2.84%,-13.90%,-58.60%
27,Free Cash Flow,56.34,169.26,-37.72,38.51,81.97,-47.95,-7.49,51.61,-14.15,24.47
28,Free Cash Flow Per Share,0.06,0.17,-0.04,0.04,0.08,-0.05,-0.01,0.05,-0.01,0.02
29,Dividend Per Share,0.020,0.020,0.015,-,-,0.011,0.005,-,-,-
30,Dividend Growth,33.33%,-,-,-,-,-,-,-,-,-
31,Operating Margin,15.60%,14.28%,11.00%,12.02%,13.31%,8.61%,14.95%,5.84%,12.98%,5.19%
32,Profit Margin,15.61%,13.27%,9.63%,11.19%,11.51%,6.92%,12.53%,6.30%,12.17%,4.62%
33,Free Cash Flow Margin,28.75%,67.23%,-15.40%,18.92%,45.73%,-19.59%,-4.72%,47.84%,-10.44%,14.54%
34,EBITDA,31.29,36.69,27.67,26.14,25.62,22.7,25.22,6.84,18.19,9.45
35,D&A For EBITDA,0.72,0.74,0.73,1.67,1.77,1.62,1.54,0.55,0.59,0.71
36,EBIT,30.57,35.95,26.94,24.47,23.85,21.08,23.69,6.3,17.6,8.74
