,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5820,5029,4051,4297,4965,4869,5066,5440,5232,4917,6638,6231,7926,8406,4131,-,-,-,-,-
1,Market Cap Growth,3.29%,3.29%,-20.04%,-21.02%,-5.11%,-0.98%,-23.67%,-12.69%,-33.99%,-41.51%,60.67%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6023,5465,4593,4787,5311,5429,5340,5324,5115,5252,6914,6420,8114,8324,4364,-,-,-,-,-
3,Last Close Price,10.89,9.41,7.58,7.98,9.23,9.05,9.42,10.06,9.67,9.09,12.24,11.49,14.62,15.41,7.57,-,-,-,-,-
4,PE Ratio,53.39,45.58,37.16,48.47,57.39,54.88,59.29,54.83,47.64,44.50,50.79,45.93,58.90,57.42,29.61,-,-,-,-,-
5,PS Ratio,1.46,1.26,1.08,1.21,1.43,1.41,1.54,1.74,1.74,1.70,2.27,2.18,3.12,3.70,2.07,-,-,-,-,-
6,PB Ratio,3.64,3.14,2.58,2.75,3.22,3.22,3.40,3.63,3.53,3.39,4.68,4.39,5.72,6.19,3.01,-,-,-,-,-
7,P/TBV Ratio,3.26,3.26,2.67,2.85,3.35,3.32,3.51,3.75,3.65,3.51,4.85,4.56,5.94,6.44,3.13,-,-,-,-,-
8,P/FCF Ratio,11.94,10.32,13.02,-,19.26,-,13.30,-,94.66,34.90,-,-,-23.53,-,-,-,-,-,-,-
9,P/OCF Ratio,10.38,10.38,12.74,-,19.26,-,13.35,-,94.66,26.09,-21.92,-,-26.62,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.50,1.37,1.23,1.35,1.53,1.57,1.62,1.70,1.70,1.81,2.36,2.25,3.19,3.66,2.19,-,-,-,-,-
11,EV/EBITDA Ratio,34.48,31.40,27.55,32.07,36.94,47.50,45.26,44.10,39.03,33.70,39.81,35.48,45.29,41.70,22.98,-,-,-,-,-
