,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,674.06,627.38,557.11,568.65,640.51,0.03,459.66,477.72,839.76,428.1,396.91,515.87,485.68,664.87,234.94,397.5,-,-,-
1,Short-Term Investments,-,-,-,-,-,388.94,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,674.06,627.38,557.11,568.65,640.51,388.96,459.66,477.72,839.76,428.1,396.91,715.87,485.68,664.87,234.94,397.5,-,-,366.39
4,Cash Growth,5.24%,61.30%,21.20%,19.04%,-23.73%,-9.14%,15.81%,-33.27%,72.90%,-35.61%,68.94%,80.09%,-,-,-35.88%,-,-,-,-
5,Accounts Receivable,2170,1908,1803,1612,1858,1708,1527,1377,1526,1524,1263,1129,1280,1021,787.35,699.82,-,-,-
6,Other Receivables,67.57,40.81,39.71,37.16,43.81,38.23,359.17,310.52,53,334.91,383.72,36.62,49.25,37.36,25.72,20.18,-,-,-
7,Receivables,2238,1949,1843,1649,1902,1746,1887,1688,1579,1859,1646,1166,1329,1058,813.06,720,-,-,-
8,Inventory,593.87,507.9,494.17,442.16,472.52,418.11,392.32,415.95,451.15,506.55,494.56,354.66,502.01,425.9,399.66,231.05,-,-,-
9,Other Current Assets,277.74,113.09,13.13,7.67,32.11,150.97,102.39,85.85,13.61,5.71,20.35,16.74,22.48,12.13,28.64,16.01,-,-,-
10,Total Current Assets,3784,3197,2907,2668,3047,2704,2841,2667,2884,2799,2558,2253,2340,2161,1476,1365,-,-,-
11,"Property, Plant & Equipment",362.01,354.8,342.95,340.18,314.4,309.36,302.36,291.52,271,255.05,232.47,221.38,206.61,196.81,180.63,152.59,-,-,-
12,Long-Term Investments,24.76,24.65,23.32,22.14,21.97,21.81,21.28,20.35,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,54.92,55.77,56.46,57.39,48.75,49.18,49.65,50.12,50.58,50.33,50.77,51.2,51.63,52.06,52.49,42.88,-,-,-
14,Long-Term Accounts Receivable,-,117.44,-,94.8,-,88.65,-,76.69,-,-,-,42.58,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,40.91,37.95,35.32,33.28,36.14,33.19,31.51,30.5,31.05,32.68,28.49,26.45,28.01,22.99,20.02,16.84,-,-,-
16,Other Long-Term Assets,685.17,707.93,881.13,761.74,546.93,481.68,527.52,435.04,21.44,22.97,22.45,23.59,23.46,24.42,25.33,48.99,-,-,-
17,Total Assets,4951,4496,4246,3977,4015,3688,3773,3572,3258,3160,2892,2619,2649,2458,1755,1626,-,-,-
18,Accounts Payable,1664,1426,1110,923.63,996.22,885.46,669.83,562.92,358.36,318.22,516.92,235.07,196.65,222.21,160.78,148.06,-,-,-
19,Accrued Expenses,14.26,160.35,-,164.96,-,158.8,-,161.08,0.83,148.97,-,146.74,-,124.89,-,98.71,-,-,-
20,Short-Term Debt,530.34,596.81,690.71,680.06,616.45,718.01,662.47,534.54,687.94,685.17,582.32,529.59,559.4,501.16,414.45,310.74,-,-,-
21,Current Portion of Long-Term Debt,-,118.83,-,3.4,-,2.1,-,-,35.02,58.06,32.49,23.03,14.53,22.02,12.2,10.01,-,-,-
22,Current Portion of Leases,-,0.1,-,0.68,-,1.14,-,0.93,-,0.16,-,0.48,-,0.96,-,-,-,-,-
23,Current Income Taxes Payable,-,10.16,6.39,8.46,11.07,6.72,8.6,6.34,8.96,8.38,15.98,12.56,16.24,12.36,11.03,10.04,-,-,-
24,Current Unearned Revenue,35.89,22.23,25.34,15.71,32.37,36.99,32.47,26.81,86.33,22.32,17.62,17.21,30.4,32.51,26.86,25.81,-,-,-
25,Other Current Liabilities,749.73,231.11,428.82,249.77,469.03,152.11,820.31,776.79,611.71,461.14,229.26,172.44,363.1,88.28,159.68,82.49,-,-,-
26,Total Current Liabilities,2994,2566,2261,2047,2125,1961,2194,2069,1789,1702,1395,1137,1180,1004,785.01,685.86,-,-,-
27,Long-Term Debt,346.49,347.44,408.53,375.03,369.93,227.83,70.06,10.01,-,19.52,58.55,76.09,100.1,58.06,40.05,40.05,-,-,-
28,Long-Term Leases,-,-,-,-,-,0.1,0.48,0.48,-,-,-,-,-,-,1.19,-,-,-,-
29,Long-Term Unearned Revenue,0.3,0.3,-,0.5,0.2,0.2,1,0.6,-,1,-,-,-,-,-,-,-,-,-
30,Long-Term Deferred Tax Liabilities,0.21,0.03,0.76,0.52,0.18,0.42,0.66,1.63,-,-,0.76,-,-,0.06,1.47,1.24,-,-,-
31,Other Long-Term Liabilities,10.81,11.72,13.14,13.53,6.51,6.91,7.25,7.66,18.58,18.83,20.12,20.4,11.7,24.32,24.72,25.12,-,-,-
32,Total Liabilities,3352,2925,2684,2436,2502,2197,2273,2090,1808,1742,1474,1234,1292,1087,852.44,752.27,-,-,-
33,Common Stock,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,400.82,400.82,-,-,-
34,Additional Paid-In Capital,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,425.66,121.98,121.98,-,-,-
35,Retained Earnings,637.99,612.5,599.13,578.45,554.38,530.2,537.23,518.67,492.42,471.47,454.03,424.9,397.97,410.28,371.82,343.78,-,-,-
36,Comprehensive Income & Other,1.1,-2.18,3.24,2.59,-1.41,1.2,2.91,3.12,-2.44,-13.25,4.33,-0.06,-0.91,0.48,7.72,7,-,-,-
37,Shareholders' Equity,1599,1570,1562,1541,1513,1491,1500,1482,1450,1418,1418,1385,1357,1371,902.34,873.58,-,-,775.82
38,Total Liabilities & Equity,4951,4496,4246,3977,4015,3688,3773,3572,3258,3160,2892,2619,2649,2458,1755,1626,-,-,-
39,Total Debt,876.84,1063,1099,1059,986.38,949.18,733,545.96,722.96,762.91,673.36,629.19,674.03,582.2,467.89,360.8,-,-,344.78
40,Net Cash (Debt),-202.78,-435.8,-542.14,-490.52,-345.88,-560.22,-273.34,-68.24,116.8,-334.81,-276.44,86.69,-188.35,82.67,-232.96,36.7,-,-,21.61
41,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,136.20%,-,-,-,-,-,-,-
42,Net Cash Per Share,-0.38,-0.79,-1.05,-0.91,-0.68,-1.18,-0.44,-0.14,0.21,-0.73,-0.47,0.17,-0.34,0.22,-0.58,0.08,-,-,0.06
43,Filing Date Shares Outstanding,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,400.82,534.42,350.86,467.29,357.63
44,Total Common Shares Outstanding,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,534.42,400.82,400.82,350.86,467.29,357.63
45,Working Capital,789.21,631.35,645.7,621.19,921.68,743.07,647.34,598.04,1095,1097,1164,1116,1159,1157,691.29,678.7,-,-,-
46,Book Value Per Share,2.99,2.94,2.92,2.88,2.83,2.79,2.81,2.77,2.71,2.65,2.65,2.59,2.54,2.57,2.25,2.18,-,-,1.94
47,Tangible Book Value,1544,1515,1506,1484,1464,1442,1451,1432,1399,1368,1368,1334,1306,1319,849.84,830.7,-,-,731.65
48,Tangible Book Value Per Share,2.89,2.83,2.82,2.78,2.74,2.70,2.71,2.68,2.62,2.56,2.56,2.50,2.44,2.47,2.12,2.07,-,-,1.83
49,Buildings,-,183.51,-,168.78,-,141.11,-,139.47,-,132.39,-,108.75,-,92.99,-,75.19,-,-,-
50,Machinery,-,314.64,-,318.29,-,298.58,-,285.06,-,250.9,-,235.7,-,224.15,-,206.68,-,-,-
51,Construction In Progress,-,103.67,-,83.24,-,76.35,-,57.25,-,47.02,-,40.19,-,33.22,-,12.5,-,-,-
