,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1194,1010,902.59,841.09,924.94,831.4,817.66,819.29,761.96,669.97,704.45,729.22,773.32,618.11,389.21,470.25,492.25,414.47,298.93
1,Other Revenue,-36.99,36.99,-,54.97,-30.09,30.09,-,59.66,-27.24,27.24,-,33.34,-12.63,12.63,-,22.49,-12.97,7.99,4.99
2,Revenue,1157,1047,902.59,896.06,894.85,861.49,817.66,878.95,734.72,697.2,704.45,762.55,760.69,630.73,389.21,492.74,479.28,422.46,303.92
3,Revenue Growth (YoY),29.31%,21.53%,10.39%,1.95%,21.79%,23.56%,16.07%,15.26%,-3.41%,10.54%,80.99%,54.76%,58.71%,49.30%,28.07%,-,-,-,-
4,Cost of Revenue,1031,924.15,790.77,795.22,774.06,746.39,713.43,785.03,624.79,589.93,597.13,661.87,621.14,513.85,278.18,375.56,373.11,346.82,244.67
5,Gross Profit,126.03,122.78,111.82,100.83,120.79,115.1,104.23,93.93,109.93,107.27,107.32,100.68,139.55,116.89,111.03,117.18,106.17,75.64,59.25
6,"Selling, General & Admin",53.61,56.35,51.11,50.47,54.16,47.1,48.62,48.84,44.45,45.56,43.33,35.36,58.34,44.99,59.09,47.98,41.64,42.61,28.41
7,Research & Development,36.7,32.83,28.71,32.77,28.76,27.56,25.75,29.67,25.65,21.83,20.84,23.88,23.65,18.94,13.57,15.15,15.2,12.5,9.32
8,Other Operating Expenses,-6.27,-22.86,-3.24,4.22,-2.72,2.59,0.93,9.07,2.37,0.33,1.08,9.33,-2.06,2.48,2.08,3.73,0.76,3.48,1.47
