,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,316.36,616.97,350.26,522.04,172.77,518.87,385.19,386.21,71.79,388.73
1,Revenue Growth (YoY),-9.68%,18.19%,102.73%,0.61%,-55.15%,34.35%,436.53%,-0.65%,-73.71%,-8.87%
2,Cost of Revenue,212.97,423.82,245.19,372.49,120.08,357.57,279.2,280.36,45.99,278.26
3,Gross Profit,103.39,193.15,105.08,149.54,52.7,161.3,105.99,105.85,25.8,110.47
4,"Selling, General & Admin",66.44,84.32,60.81,88.27,63.85,77.47,51.03,51.83,50.82,85.82
5,Other Operating Expenses,1.22,2.03,0.12,9.32,0.83,-0.05,2.44,-0.7,0.86,0.22
6,Operating Expenses,67.66,86.35,60.93,97.59,64.68,77.42,53.47,51.14,51.68,86.03
7,Operating Income,35.74,106.8,44.15,51.96,-11.99,83.88,52.52,54.72,-25.88,24.43
8,Interest Expense,-0.15,-0.21,-0.2,-0.29,-0.24,-0.31,-0.3,-0.6,-1.92,-3.94
9,Interest & Investment Income,1.01,0.97,0.36,0.79,0.9,1.33,0.35,0.75,1.46,0.12
10,Earnings From Equity Investments,1.18,4.57,-0.37,0.32,-,-3.25,-0.57,-0.27,-0.25,-0.44
11,Currency Exchange Gain (Loss),-0,0.38,-0.38,0.02,-0.02,-,-,-1.11,1.11,-0.03
12,Other Non Operating Income (Expenses),4.32,2.43,10.1,7.43,7.14,5.34,4.73,3.56,7.32,2.33
13,EBT Excluding Unusual Items,42.09,114.93,53.67,60.23,-4.2,86.98,56.73,57.05,-18.16,22.48
14,Gain (Loss) on Sale of Investments,-,-3.81,-,-0.33,-,0.22,-,0.03,-0.51,1.22
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,0.7,-,-,-,-
16,Legal Settlements,-,-,-,-,-,-,-,-,-,7.99
17,Other Unusual Items,-,-,-,-,-,-,-,0.15,-,1.14
18,Pretax Income,42.09,111.12,53.67,59.9,-4.2,87.9,56.73,57.23,-18.68,32.83
19,Income Tax Expense,11.93,33.73,12.64,23.15,4.3,23.84,18.24,12.04,1.28,14.88
20,Earnings From Continuing Operations,30.15,77.39,41.03,36.75,-8.5,64.06,38.5,45.18,-19.95,17.96
21,Minority Interest in Earnings,-3.3,-7.48,-2.94,-4.62,0.01,-7.07,-3,-2.49,0.69,-5.61
22,Net Income,26.86,69.91,38.08,32.13,-8.5,56.99,35.5,42.69,-19.27,12.35
23,Net Income to Common,26.86,69.91,38.08,32.13,-8.5,56.99,35.5,42.69,-19.27,12.35
24,Net Income Growth,-29.47%,117.60%,-,-43.62%,-,33.49%,-,245.72%,-,-43.53%
25,Shares Outstanding (Basic),725,714,745,736,735,739,740,758,779,600
26,Shares Outstanding (Diluted),744,735,745,736,735,739,740,758,779,600
27,Shares Change (YoY),-0.12%,-0.17%,1.34%,-0.43%,-0.71%,-2.57%,-5.01%,26.41%,29.86%,-
28,EPS (Basic),0.04,0.10,0.05,0.04,-0.01,0.08,0.05,0.06,-0.02,0.02
29,EPS (Diluted),0.04,0.10,0.05,0.04,-0.01,0.08,0.05,0.06,-0.02,0.02
30,EPS Growth,-29.35%,118.14%,-,-43.43%,-,37.01%,-,173.49%,-,-
31,Free Cash Flow,59.43,57.74,56.72,165.29,-107.47,146.88,24.24,1.89,-31.85,80.05
32,Free Cash Flow Per Share,0.08,0.08,0.08,0.22,-0.15,0.20,0.03,0.00,-0.04,0.13
33,Dividend Per Share,0.019,0.056,0.019,-,-,0.016,0.009,-,-,-
34,Dividend Growth,0.56%,-,-,-,-,-,-,-,-,-
35,Operating Margin,11.30%,17.31%,12.60%,9.95%,-6.94%,16.17%,13.63%,14.17%,-36.05%,6.29%
36,Profit Margin,8.49%,11.33%,10.87%,6.15%,-4.92%,10.98%,9.22%,11.05%,-26.84%,3.18%
37,Free Cash Flow Margin,18.78%,9.36%,16.19%,31.66%,-62.20%,28.31%,6.29%,0.49%,-44.37%,20.59%
38,EBITDA,36.88,107.85,45.28,53.15,-11.11,84.28,52.93,55.14,-25.47,24.85
39,D&A For EBITDA,1.15,1.05,1.14,1.19,0.87,0.4,0.41,0.42,0.41,0.42
40,EBIT,35.74,106.8,44.15,51.96,-11.99,83.88,52.52,54.72,-25.88,24.43
