,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+11 Quarters
0,Cash & Equivalents,2097787,2169613,690871,870876,960823,541305,382450,686823,745556,-,444415,919122,1105210,348801,609174,610610,701504,-,588664,-,Upgrade
1,Short-Term Investments,986000,626000,1250000,1573000,1213500,1037000,372000,235000,1173270,-,1947000,1611500,1820500,1737642,1873642,2042070,788159,-,404644,-,Upgrade
2,Cash & Short-Term Investments,3083787,2795613,1940871,2443876,2174323,1578305,754450,921823,1918826,-,2391415,2530622,2925710,2086444,2482816,2652680,1489663,-,993308,1347889,Upgrade
3,Cash Growth,41.83%,77.13%,157.26%,165.11%,13.32%,-,-68.45%,-63.57%,-34.42%,-,-3.68%,-4.60%,96.40%,-,149.95%,96.80%,10.52%,-,-,11.37%,Upgrade
4,Accounts Receivable,166583,136845,138141,117589,118150,123872,76842,56389,82479,-,67334,68675,72977,104352,53513,86465,130142,-,204255,-,Upgrade
5,Other Receivables,227894,301063,404666,387888,416525,656584,425922,324745,466965,-,394013,230980,404269,258701,317614,328921,389504,-,449420,-,Upgrade
6,Receivables,394477,437908,542807,605477,534674,840456,502765,381134,589445,-,1356347,2039655,2037246,2748053,2067627,1775387,1404646,-,800034,-,Upgrade
7,Inventory,10234734,9116602,7788806,7537098,8426861,7289979,6064920,6303181,6483828,-,5114908,5114607,4930359,2833513,2468861,2482019,1826718,-,2313698,-,Upgrade
8,Prepaid Expenses,252093,226139,208818,205669,230548,240316,261803,239211,260932,-,210854,181522,163030,133090,147276,118570,119330,-,118446,-,Upgrade
9,Other Current Assets,61067,115241,111698,128881,48903,107469,103850,310209,73767,-,225915,284303,128697,159589,123283,134686,119642,-,78725,-,Upgrade
10,Total Current Assets,14026159,12691503,10592999,10921001,11415308,10056525,7687787,8155558,9326797,-,9299439,10150708,10185042,7960689,7289864,7163341,4959999,-,4304211,-,Upgrade
11,"Property, Plant & Equipment",1164906,1156859,1120328,1106701,1080267,1093188,935516,752115,676924,-,71212,35598,292573,16746,9651,9448,8708,-,7788,-,Upgrade
12,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,113105,-,-,-,-,-,-,Upgrade
13,Other Intangible Assets,289306,273405,255885,241728,228141,189664,180041,169939,172142,-,154284,154596,155606,42044,41712,41786,41920,-,42228,-,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,-,5.6,5.6,5.6,5.6,-,184.43,868.12,868.12,1479,2985,2985,2985,-,-,-,Upgrade
15,Other Long-Term Assets,352179,352985,357655,367455,374734,380676,375143,362849,347929,-,493027,440729,186251,364711,370579,354626,373966,-,371851,-,Upgrade
16,Total Assets,15832550,14474752,12326867,12636884,13098450,11720058,9178493,9440467,10523797,-,10018147,10782500,10820340,8498774,7714790,7572185,5387578,-,4726078,-,Upgrade
17,Accounts Payable,3220861,3518149,3011204,2586389,2274331,3176875,2512354,1938154,2307356,-,2070022,2067513,2372633,1451686,930028,1084447,1214790,-,465028,-,Upgrade
18,Accrued Expenses,1257590,1238300,1033567,861724,830940,721025,577256,473057,665233,-,559662,619971,559046,347886,263152,222144,268326,-,207578,-,Upgrade
19,Short-Term Debt,8800349,7316276,6149612,7217045,8108272,5646351,4217020,4898335,5363331,-,5282540,6006791,6047406,5153448,5044422,4768862,2485948,-,2593813,-,Upgrade
20,Current Income Taxes Payable,114141,78672,47003,23678,34529,28504,14130,-,111.05,-,46140,34614,27255,12158,15000,7741,9770,-,-,-,Upgrade
21,Current Unearned Revenue,219923,203899,162168,62639,13605,1276,226.95,205.65,322.33,-,258.24,205.65,205.65,-,-,-,-,-,-,-,Upgrade
22,Other Current Liabilities,99318,127898,83789,105017,117047,350111,79614,78855,138021,-,203457,204691,134433,189714,175795,232934,183614,-,154240,-,Upgrade
23,Total Current Liabilities,13712184,12483194,10487344,10856492,11378723,9924142,7400600,7388607,8474375,-,8162079,8933785,9140979,7154892,6428397,6316128,4162448,-,3420660,-,Upgrade
24,Long-Term Deferred Tax Liabilities,31.68,14.9,14.9,14.9,14.9,-,-,-,-,-,63.23,-,-,-,-,-,-,-,10189,-,Upgrade
25,Other Long-Term Liabilities,521.5,534.7,11199,519.7,541,541,475,453.7,86.7,-,86.7,86.7,86.7,100.7,100.7,-,-,-,-,-,Upgrade
26,Total Liabilities,13712737,12483743,10498558,10857026,11379279,9924683,7401075,7389061,8474461,-,8162229,8933872,9141066,7154993,6428498,6316128,4162448,-,3430849,-,Upgrade
27,Common Stock,1362424,1362424,1362424,1362424,1362424,1362424,1362424,1184725,1184725,-,1184725,789818,789818,789818,789818,789818,789818,-,789818,-,Upgrade
28,Retained Earnings,549386,443344,302339,275596,236832,340422,362890,818431,823506,-,649266,1036977,872390,537137,484937,454840,423909,-,503099,-,Upgrade
29,Total Common Equity,1911810,1805768,1664763,1638020,1599256,1702846,1725314,2003157,2008231,-,1833992,1826795,1662208,1326955,1274755,1244658,1213726,-,1292917,1273726,Upgrade
30,Minority Interest,208003,185240,163546,141838,119914,92529,52103,48249,41105,-,21926,21833,17066,16826,11537,11399,11403,-,2312,-,Upgrade
31,Shareholders' Equity,2119814,1991008,1828310,1779858,1719171,1795375,1777418,2051406,2049336,-,1855918,1848629,1679274,1343780,1286292,1256057,1225130,-,1295229,1279363,Upgrade
32,Total Liabilities & Equity,15832550,14474752,12326867,12636884,13098450,11720058,9178493,9440467,10523797,-,10018147,10782500,10820340,8498774,7714790,7572185,5387578,-,4726078,-,Upgrade
33,Total Debt,8800349,7316276,6149612,7217045,8108272,5646351,4217020,4898335,5363331,-,5282540,6006791,6047406,5153448,5044422,4768862,2485948,-,2593813,3698036,Upgrade
34,Net Cash (Debt),-5716562,-4520663,-4208741,-4773169,-5933949,-4068046,-3462570,-3976512,-3444505,-,-2891125,-3476169,-3121697,-3067004,-2561606,-2116182,-996285,-,-1600505,-2350147,Upgrade
35,Net Cash Per Share,-41935.82,-33172.48,-30845.82,-35034.39,-43529.39,-29903.64,-25422.10,-29178.64,-25282.18,-,-21220.61,-25514.40,-22914.25,-22519.80,-18801.71,-15532.34,-7312.53,-,-11688.05,-17251.72,Upgrade
36,Filing Date Shares Outstanding,136.32,136.24,136.24,136.24,136.24,136.24,136.24,136.24,136.24,136.14,136.24,136.24,136.24,136.24,136.24,136.24,136.24,135.57,136.24,136.23,Upgrade
37,Total Common Shares Outstanding,136.32,136.24,136.24,136.24,136.24,136.24,136.24,136.24,136.24,136.14,136.24,136.24,136.24,136.24,136.24,136.24,136.24,135.57,136.24,136.23,Upgrade
38,Working Capital,313975,208309,105655,64509,36585,132382,287187,766951,852423,-,1137360,1216923,1044063,805796,861466,847213,797551,-,883551,-,Upgrade
39,Book Value Per Share,14024.75,13254.09,12219.13,12022.84,11738.32,12498.65,12663.57,14702.78,14740.02,-,13461.14,13408.30,12200.27,9739.57,9356.44,9135.53,8908.50,-,9489.75,9348.89,Upgrade
40,Tangible Book Value,1622504,1532363,1408878,1396292,1371115,1513182,1545274,1833217,1836089,-,1679708,1672199,1506602,1171805,1233043,1202872,1171807,-,1250689,1231770,Upgrade
41,Tangible Book Value Per Share,11902.44,11247.33,10340.97,10248.59,10063.79,11106.54,11342.09,13455.46,13476.54,-,12328.72,12273.60,11058.15,8600.81,9050.29,8828.84,8600.82,-,9179.80,9040.94,Upgrade
42,Buildings,1802042,1736471,1636206,1591365,1506811,1452428,1186404,1085380,943718,-,17239,17239,477462,17239,4620,4620,4620,-,4620,-,Upgrade
43,Machinery,113142,104894,101717,99314,101918,97582,39797,45405,35464,-,13723,12786,12066,11949,11212,10653,9540,-,8169,-,Upgrade
44,Construction In Progress,8230,-,-,997.71,770.96,19176,137669,1796,1796,-,54343,19098,90.91,-,-,-,-,-,-,-,Upgrade
