,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,115235,266987,143675,95756,72741,25291,17538,61164,66365,73848,24458,-,84786,35953,91054,39785,45397,40298,21347,27278,Upgrade
1,Short-Term Investments,2200,75.49,75.49,75.49,-,75.49,1872,1872,1872,1872,1872,-,1872,1872,692.4,692.4,2585,2633,632.56,5740,Upgrade
2,Trading Asset Securities,75.49,-,-,-,75.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,117510,267063,143751,95831,72817,25366,19410,63037,68237,75720,26330,-,86659,37826,91747,40477,47982,42930,21980,33019,Upgrade
4,Cash Growth,61.38%,952.82%,640.59%,52.02%,6.71%,-66.50%,-26.28%,-,-21.26%,100.18%,-71.30%,-,80.61%,-11.89%,317.41%,22.59%,-46.93%,-22.14%,-63.96%,-76.12%,Upgrade
5,Accounts Receivable,697571,466226,329926,227442,270698,231091,252515,199021,230727,220796,257833,-,288222,337744,306276,253117,354588,285855,313852,280811,Upgrade
6,Other Receivables,43573,128123,124992,87946,33175,74711,75717,74941,66964,81901,87850,-,87191,88005,102702,101046,77112,87214,88417,95921,Upgrade
7,Receivables,741144,594349,454917,315388,303873,305802,328232,273962,297692,302696,345683,-,375414,425749,408978,354163,431699,373069,402269,376732,Upgrade
8,Inventory,217766,356694,623656,465767,127997,122748,131663,143228,165384,186144,184724,-,195495,164283,180992,186534,169902,240928,230348,236315,Upgrade
9,Prepaid Expenses,1196,523.58,802.25,4463,1187,773.2,580.17,592.78,893.68,794.56,811.22,-,786.87,305.11,670.58,905.47,279.73,147.26,203.63,4552,Upgrade
