,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,640471,439871,558297,650138,509960,507543,555880,509746,573465,569070,571267,604225,577859,648169,428451,384507,377915,430651,428451,342397,311270,Upgrade
1,Market Cap Growth,-13.33%,-13.33%,0.43%,27.54%,-11.07%,-10.81%,-2.69%,-15.64%,-0.76%,-12.20%,33.33%,57.14%,52.91%,50.51%,0%,12.30%,21.41%,29.94%,6.85%,-31.00%,-36.57%,Upgrade
2,Enterprise Value,1771930,1666360,1900847,1680293,1342175,1391094,1477509,1441124,1557753,1580299,1660904,1720972,1694606,1855108,1578614,1638759,1681850,1747121,1697890,1618817,1589831,Upgrade
3,Last Close Price,26500.00,18200.00,23100.00,26900.00,21100.00,21000.00,23000.00,21090.91,23727.27,23545.45,23172.91,24509.80,23440.29,25281.09,16389.86,14708.85,14456.70,16473.91,16389.86,12510.53,11373.21,Upgrade
4,PE Ratio,4.14,2.84,4.31,4.38,5.70,6.99,12.98,12.03,10.63,-,7.73,8.91,12.47,15.71,11.20,13.54,10.61,26.91,9.02,6.75,5.12,Upgrade
5,PS Ratio,0.27,0.18,0.28,0.43,0.71,0.73,0.80,0.66,0.68,0.63,0.69,0.81,0.74,0.91,0.55,0.48,0.52,0.62,0.63,0.48,0.44,Upgrade
6,PB Ratio,0.80,0.49,0.65,0.77,0.66,0.68,0.78,0.74,0.83,0.82,0.83,0.90,-,0.98,0.66,0.61,0.58,0.68,0.68,0.55,0.49,Upgrade
7,P/TBV Ratio,0.56,0.56,0.76,0.89,0.77,0.80,0.92,0.88,1.00,1.00,1.00,1.08,-,1.20,0.80,0.74,0.71,0.84,0.84,0.68,0.60,Upgrade
8,P/FCF Ratio,-,-3.89,-4.22,-,-,2.71,3.85,2.75,3.28,5.45,3.70,-,-,5.15,-,3.24,5.43,26.59,-,3.56,-1.62,Upgrade
9,P/OCF Ratio,-,-4.57,-4.65,-,-,2.65,3.77,2.71,3.24,5.30,3.65,-,-,4.81,-,2.96,4.10,9.78,-,2.98,-1.68,Upgrade
10,EV/Sales Ratio,0.75,0.70,0.97,1.12,1.86,2.00,2.14,1.88,1.85,1.74,2.01,2.31,2.17,2.61,2.01,2.05,2.30,2.53,2.51,2.25,2.26,Upgrade
11,EV/EBITDA Ratio,5.18,4.87,6.00,5.10,4.94,5.35,7.93,12.49,27.89,-,-,-,24.42,-,-,-,-,8.57,11.67,17.43,34.58,Upgrade
12,EV/EBIT Ratio,6.31,5.93,7.38,6.24,6.38,7.03,9.00,9.22,10.76,10.00,9.91,10.56,10.75,12.12,9.79,10.48,10.43,12.24,10.25,9.63,9.06,Upgrade
13,EV/FCF Ratio,-15.69,-14.75,-14.36,-,-,7.42,10.23,7.77,8.90,15.12,10.75,-,-,14.75,-,13.81,24.15,107.88,-,16.83,-8.30,Upgrade
14,Debt / Equity Ratio,1.26,1.26,1.62,1.65,1.32,1.06,1.13,1.23,1.30,1.37,1.42,1.50,-,1.67,1.75,1.81,1.83,1.98,2.01,1.93,1.89,Upgrade
15,Debt / EBITDA Ratio,3.33,2.87,5.94,2.95,3.80,2.72,2.85,3.55,3.99,-,-,-,-,-,-,-,-,5.36,5.99,6.37,6.57,Upgrade
16,Debt / FCF Ratio,-,-10.08,-10.46,-,-,4.27,5.59,4.56,5.09,9.04,6.36,-,-,8.75,-,9.66,17.12,77.17,-,12.43,-6.31,Upgrade
17,Asset Turnover,1.01,0.85,1.44,0.31,0.57,0.30,0.33,0.30,0.54,0.42,-,-,0.34,0.24,0.49,0.25,0.47,0.26,0.36,0.17,Upgrade,
18,Inventory Turnover,11.58,8.17,4.38,5.95,1.36,6.70,2.45,2.61,2.28,4.89,3.27,-,-,2.88,1.72,4.35,1.60,3.81,1.60,2.52,0.98,Upgrade
19,Quick Ratio,0.67,0.67,0.59,0.42,0.39,0.65,0.73,0.69,0.70,0.68,0.67,0.69,-,0.70,0.73,0.72,0.68,0.83,0.72,0.68,0.67,Upgrade
20,Current Ratio,0.96,0.96,0.96,1.00,1.01,1.08,1.10,1.02,1.05,1.03,1.08,1.11,-,1.06,1.05,1.04,1.09,1.16,1.17,1.08,1.11,Upgrade
21,Return on Equity (ROE),25.32%,4.59%,35.64%,17.38%,19.30%,15.33%,6.72%,9.27%,-0.01%,15.12%,-,-,5.70%,11.39%,2.33%,14.53%,4.10%,5.33%,6.22%,1.06%,Upgrade,
22,Return on Assets (ROA),7.47%,3.81%,9.87%,6.12%,7.90%,7.50%,5.92%,5.34%,3.22%,5.86%,-,-,4.10%,4.91%,3.13%,5.75%,4.94%,4.26%,3.60%,3.44%,Upgrade,
23,Return on Capital (ROIC),9.64%,4.80%,12.73%,7.92%,9.58%,8.95%,7.02%,6.29%,3.82%,6.96%,-,-,4.89%,5.90%,3.71%,6.61%,5.70%,5.04%,4.32%,4.10%,Upgrade,
24,Return on Capital Employed (ROCE),20.11%,20.13%,18.36%,19.90%,15.58%,14.74%,12.13%,11.71%,10.52%,11.40%,11.70%,11.15%,-,10.46%,10.94%,10.52%,10.53%,8.98%,10.32%,10.71%,11.03%,Upgrade
25,Earnings Yield,24.16%,35.23%,24.11%,23.59%,18.52%,15.29%,7.70%,8.31%,9.41%,11.67%,12.93%,11.23%,8.02%,6.37%,8.93%,7.39%,9.43%,3.72%,11.09%,14.82%,19.52%,Upgrade
26,FCF Yield,-17.64%,-25.68%,-23.71%,-48.17%,-9.35%,36.93%,25.99%,36.39%,30.52%,18.36%,27.05%,-,8.52%,19.41%,14.80%,30.86%,18.42%,3.76%,-3.11%,28.09%,-61.56%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,3.60%,-,-,-,2.76%,-,-,-,Upgrade
28,Payout Ratio,4.70%,0.02%,186.62%,3.10%,-,10.13%,12.55%,45.88%,18.21%,-,16.75%,-,117.01%,138.72%,-,628.64%,12.13%,3620.49%,237.05%,159.61%,16.20%,Upgrade
29,Buyback Yield / Dilution,-5.94%,-2.26%,-3.58%,0.11%,-0.04%,1.80%,3.07%,-0.15%,85.73%,-0.05%,-0.57%,0.41%,-602.32%,-0.71%,0.69%,6.83%,0.04%,-8.09%,-14.82%,-,-34.21%,Upgrade
30,Total Shareholder Return,-5.94%,-2.26%,-3.58%,0.11%,-0.04%,1.80%,3.07%,-0.15%,85.73%,-0.05%,-0.57%,0.41%,-602.32%,2.89%,0.69%,6.83%,0.04%,-5.33%,-14.82%,-,-34.21%,Upgrade
