,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5634,5306,5279,4914,7817,5392,6592,7009,5744,4960,5653,5320,7196,6280,7678,7506,-,-,-,-
1,Market Cap Growth,-1.59%,-1.59%,-19.92%,-29.88%,36.09%,8.71%,16.61%,31.74%,-20.18%,-21.03%,-26.38%,-29.12%,-,-,-,-,-,-,-,-
2,Enterprise Value,4301,3908,3825,4040,6943,4359,5328,5834,4570,3821,4436,3941,5817,4897,6216,7424,-,-,-,-
3,Last Close Price,33.25,31.31,31.15,28.31,45.18,31.16,38.10,39.56,32.42,27.99,32.08,29.52,39.93,34.85,42.61,41.03,-,-,-,-
4,PE Ratio,27.07,25.52,21.94,20.28,30.56,20.47,22.43,22.11,18.79,16.11,20.83,21.41,30.40,24.75,34.56,38.36,-,-,-,-
5,Forward PE,-,21.72,21.72,21.72,21.72,12.04,14.73,16.59,15.56,15.56,15.56,16.54,-,-,-,-,-,-,-,-
6,PS Ratio,3.30,3.11,3.08,2.95,4.63,4.44,5.35,5.70,4.91,4.59,5.72,5.92,8.61,7.12,9.69,10.38,-,-,-,-
7,PB Ratio,2.47,2.29,2.35,2.12,3.46,2.46,3.16,3.19,2.70,2.40,2.93,2.67,3.74,3.36,4.34,4.10,-,-,-,-
8,P/TBV Ratio,2.41,2.41,2.48,2.22,3.64,2.59,3.33,3.36,2.86,2.55,3.11,2.73,3.81,3.43,4.41,4.16,-,-,-,-
9,P/FCF Ratio,14.62,-,18.60,32.02,25.85,-,-,38.19,-,38.73,54.36,48.70,33.20,-,101.62,285.38,-,-,-,-
10,P/OCF Ratio,9.33,-,11.08,13.97,17.33,-,-,24.09,-,16.95,20.74,19.32,24.49,36.61,70.33,160.75,-,-,-,-
11,EV/Sales Ratio,2.52,2.29,2.23,2.43,4.12,3.59,4.32,4.74,3.91,3.53,4.49,4.39,6.96,5.55,7.85,10.27,-,-,-,-
12,EV/EBITDA Ratio,16.38,15.65,14.00,15.25,24.55,16.63,18.15,17.63,14.57,12.03,15.43,14.70,22.53,16.65,23.51,31.76,-,-,-,-
13,EV/EBIT Ratio,21.36,17.73,15.55,16.94,26.87,18.17,19.44,18.58,15.26,12.47,16.03,15.16,23.20,17.04,24.09,32.56,-,-,-,-
14,EV/FCF Ratio,11.16,-,13.48,26.32,22.95,-,-,31.79,-,29.84,42.66,36.08,26.84,-,82.27,282.29,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.07,0.07,0.08,0.06,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.05,0.05,0.03,0.08,-,-,-
16,Debt / EBITDA Ratio,0.36,0.27,0.88,0.61,0.48,0.28,0.44,0.22,0.29,0.10,0.21,0.18,0.20,0.20,0.45,0.21,0.09,-,-,-
17,Debt / FCF Ratio,0.24,-,0.56,1.04,0.57,-,-,0.39,-,0.46,0.57,0.43,0.23,-,1.18,1.80,-,-,-,-
18,Asset Turnover,0.55,0.40,0.31,0.96,0.55,0.37,0.40,0.45,0.72,0.44,0.37,0.36,0.64,0.32,0.42,-,-,-,-,
19,Inventory Turnover,3.71,7.39,8.01,6.86,8.22,2.04,2.62,6.86,11.72,14.67,11.38,11.28,11.62,17.39,10.52,9.43,-,-,-,-
20,Quick Ratio,3.60,3.60,3.55,3.83,2.77,2.04,2.54,4.81,4.67,4.76,6.26,8.65,8.79,6.77,10.31,12.12,2.31,-,2.77,-
21,Current Ratio,3.88,3.88,3.80,4.01,2.90,2.79,3.33,5.20,4.86,4.92,6.55,8.90,8.98,6.92,10.62,12.32,2.45,-,3.09,-
22,Return on Equity (ROE),11.65%,5.94%,10.27%,9.18%,18.17%,6.63%,13.01%,9.81%,26.96%,13.11%,13.10%,11.58%,22.11%,8.92%,17.79%,-,-,18.01%,-,
23,Return on Assets (ROA),6.68%,2.19%,4.69%,4.50%,8.80%,1.69%,7.40%,3.73%,14.48%,6.50%,7.20%,5.14%,12.96%,5.21%,10.33%,-,-,-,-,
24,Return on Capital (ROIC),8.24%,2.67%,5.92%,6.00%,11.71%,2.09%,8.75%,4.44%,16.86%,7.26%,7.94%,5.75%,14.33%,5.58%,11.85%,-,-,11.00%,-,
25,Return on Capital Employed (ROCE),8.45%,9.26%,10.60%,9.91%,10.98%,10.66%,12.75%,13.83%,13.63%,14.37%,13.89%,12.74%,12.65%,14.94%,14.16%,12.29%,49.66%,-,14.01%,-
26,Earnings Yield,3.69%,3.92%,4.56%,4.93%,3.27%,4.89%,4.46%,4.52%,5.32%,6.21%,4.80%,4.67%,3.29%,4.04%,2.89%,2.61%,-,-,-,-
27,FCF Yield,6.84%,7.26%,5.38%,3.12%,3.87%,-2.78%,0.48%,2.62%,0.25%,2.58%,1.84%,2.05%,3.01%,1.72%,0.98%,0.35%,-,-,-,-
28,Dividend Yield,2.13%,-,-,-,1.58%,-,-,-,2.74%,-,-,-,1.79%,-,-,-,-,-,-,-
29,Payout Ratio,59.07%,1.04%,327.76%,0.92%,-,-,387.68%,-,-,-,194.22%,-,0.45%,0.32%,257.85%,0.59%,0.05%,-,482.73%,-
30,Buyback Yield / Dilution,-0.58%,-1.28%,-0.00%,-1.54%,0.51%,-20.33%,14.00%,-0.65%,-0.31%,17.28%,-16.95%,-20.10%,-31.16%,-34.45%,-34.81%,-9.94%,-,-,-,-
31,Total Shareholder Return,1.55%,-1.28%,-0.00%,-1.54%,2.09%,-20.33%,14.00%,-0.65%,2.43%,17.28%,-16.95%,-20.10%,-29.38%,-34.45%,-34.81%,-9.94%,-,-,-,-
