,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,410.75,296.62,241.49,748.62,413.13,251.15,262.99,283.08,431.62,248.55,202.73,198.29,337.52,159.8,140.09,244.07,247.5,90.56,103.61
1,Other Revenue,-3.66,3.66,-,10.95,-0.93,0.93,-,3.79,-0.76,0.76,-,0.23,-0.02,0.02,-,0.67,-0.08,0.08,-
2,Revenue,407.09,300.27,241.49,759.57,412.21,252.07,262.99,286.87,430.87,249.3,202.73,198.52,337.5,159.81,140.09,244.74,247.42,90.64,103.61
3,Revenue Growth (YoY),-1.24%,19.12%,-8.18%,164.78%,-4.33%,1.11%,29.73%,44.51%,27.66%,55.99%,44.72%,-18.89%,36.41%,76.32%,35.20%,-,-,-,-
4,Cost of Revenue,245.59,209.24,147.03,611.23,232.98,171.05,151.57,165.88,225.85,152.26,107.86,109.59,183.87,96.44,63.18,112.69,128.29,55.2,66.71
5,Gross Profit,161.5,91.03,94.46,148.33,179.23,81.03,111.42,120.99,205.02,97.04,94.87,88.93,153.63,63.37,76.9,132.05,119.13,35.44,36.9
6,"Selling, General & Admin",45.01,42.85,31.6,46.34,44.59,42.42,30.34,49.96,34.02,23.53,18.82,24.93,18.07,15.38,16.94,25.22,16.31,13.93,10.83
7,Research & Development,27.46,26.78,20.55,42.57,22.83,20.54,18.53,22.27,17.81,13.81,13.94,14.56,14.21,9.88,11.27,11.32,13.78,9.76,8.31
8,Other Operating Expenses,1.25,0.26,-3.51,-3.42,-6.45,-0.11,-4.92,6.56,2.25,-1.18,1.19,5.25,2.41,-1.44,1.09,5.73,0.63,-0.13,0.01
9,Operating Expenses,82.29,64.96,36.25,91.35,74.5,62.5,33.23,82.57,66.13,38.58,31.15,43.69,44.29,21.65,22.43,50.16,39.15,23.79,12.76
10,Operating Income,79.21,26.07,58.21,56.98,104.72,18.52,78.2,38.42,138.89,58.46,63.72,45.24,109.34,41.72,54.47,81.88,79.98,11.66,24.14
11,Interest Expense,-1.3,-1.29,-1.62,-2,-1.36,-1.03,-0.91,-0.89,-0.72,-0.73,-0.58,-2.48,-0.29,-,-1.1,-0.19,-,-,-
12,Interest & Investment Income,7.7,7.02,8.34,9.31,9.56,7.58,6.01,6.56,5.17,9.09,8.66,6.83,5.24,2.79,2.6,0.25,0.8,0.64,0.55
13,Currency Exchange Gain (Loss),-3.08,3.08,-,2.35,-9.14,9.14,-,6.64,-3.4,3.4,-,-1.46,0.74,-0.74,-,-1.81,-0.05,0.05,-
14,Other Non Operating Income (Expenses),-6.63,-1.99,0.71,-7.91,8.74,1.18,-2.23,-9.2,9.77,-0.43,-0.22,3.46,-2.3,-1.18,-0.05,0.66,-0.32,-0.36,-0.01
15,EBT Excluding Unusual Items,75.91,32.89,65.64,58.74,112.52,35.39,81.06,41.54,149.71,69.78,71.58,51.58,112.73,42.58,55.92,80.8,80.41,11.99,24.68
16,Gain (Loss) on Sale of Investments,3.44,2.19,3.74,0.59,0.25,3.41,3.49,3.43,5.9,2.28,2.82,8.45,5.13,3.63,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.02,0.01,3.48,0,-0.12,-,3.67,0.85,-0.01,-,-,0.02,-,-0.01,-,-,-,-0.19,-
18,Asset Writedown,-8.76,2.55,-2.55,3.05,-3.22,1.38,-1.38,1.92,-2.41,0.33,-0.8,0.09,-0.47,-0.36,0.04,2.13,-2.14,-0.3,-
19,Other Unusual Items,-0.13,0.57,0.16,-5.22,-0.11,0.11,-,6.04,-,-,-,3.77,-,-,-,3.76,-0.05,0.05,-
20,Pretax Income,70.48,38.21,70.47,57.15,109.33,40.27,86.85,53.79,153.19,72.38,73.6,63.92,117.39,45.84,55.96,86.69,78.22,11.53,24.68
21,Income Tax Expense,4.12,4.33,11.59,6.04,12.05,4.74,16.48,2.3,18.33,8.14,9.5,8.98,16.75,5.68,6.59,12.11,13.3,-0.4,4.69
22,Earnings From Continuing Operations,66.36,33.88,58.88,51.12,97.28,35.53,70.37,51.48,134.86,64.24,64.1,54.94,100.64,40.16,49.37,74.58,64.93,11.93,19.99
