,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,784.83,580.94,1135,916.36,1018,665.99,909.78,695.54,607.59,418.4,1246,774.03,959.67,520.33,303.3,20.51,-,38.06,-
1,Trading Asset Securities,671.22,1004,504.34,500.59,-,455.72,452.31,499.56,655.94,802.28,40.28,552.22,527.35,963.63,1218,-,-,48.8,-
2,Cash & Short-Term Investments,1456,1585,1639,1417,1018,1122,1362,1195,1264,1221,1287,1326,1487,1484,1521,20.51,-,86.86,57.25
3,Cash Growth,43.06%,41.27%,20.33%,18.56%,-19.45%,-8.11%,5.85%,-9.89%,-15.03%,-17.74%,-15.42%,6367.17%,-,1608.42%,2557.20%,-,-,-,-
4,Accounts Receivable,748.58,594.5,655.78,895.15,792.13,545.76,552.29,760.76,664.45,448.02,416.24,455.98,514.17,312.95,362.85,507.93,-,173.49,-
5,Other Receivables,7.92,8.12,25.24,26.96,5.65,4.79,4.44,4.58,3.63,2.97,2.99,3.3,3.33,3.57,1.12,1.25,-,1.67,-
6,Receivables,756.51,602.62,681.02,922.11,797.78,550.55,556.73,765.34,668.08,450.99,419.23,459.27,517.5,316.51,363.96,509.18,-,175.16,-
7,Inventory,144.11,121.73,87.13,84.32,510.61,402.2,119.87,56.93,56.26,66.92,40.15,36.32,39.12,45.44,27.93,25.65,-,24.98,-
8,Other Current Assets,23.86,30.91,20.11,24.38,160.94,117.21,37.4,23.51,9.77,10.28,9.05,2.58,3.56,8.57,4.59,5.65,-,4.86,-
9,Total Current Assets,2381,2340,2427,2448,2487,2192,2076,2041,1998,1749,1755,1824,2047,1854,1918,560.98,-,291.87,-
10,"Property, Plant & Equipment",445.46,427.57,401.32,380.76,279.08,249.58,222.28,209.07,165.64,152.99,134.78,131.57,100.65,98.33,64.38,38.86,-,35.88,-
11,Long-Term Investments,43.48,41.85,42.79,240.87,238.88,236.85,234.84,232.85,230.82,228.81,226.8,185.13,-,-,-,-,-,0.01,-
12,Other Intangible Assets,82.44,83.32,84.66,86.06,87.3,88.44,89.83,90.94,91.8,92.89,17.44,16.99,17.12,16.59,16.33,15.66,-,1.83,-
13,Long-Term Deferred Tax Assets,2.75,5.79,5.53,4.75,7.7,3.44,4.7,7.54,13.04,7.72,7.03,6.84,7.49,6.99,7.81,6.57,-,1.8,-
14,Long-Term Deferred Charges,30.74,26.74,29.65,28.79,31.72,29.27,29.87,31.44,23.06,16.11,15.5,15.61,3.92,4.92,3.7,4.18,-,4.81,-
15,Other Long-Term Assets,10.1,11.48,19.4,8.07,8.82,8.03,12.35,3.78,15.97,12.05,82.19,4.29,43.13,15.9,-,0.86,-,13.93,-
16,Total Assets,2996,2937,3011,3197,3141,2807,2670,2616,2538,2259,2239,2185,2220,1997,2010,627.12,-,350.12,-
17,Accounts Payable,504.29,444.11,442.6,665.51,717.65,561.12,316.16,308.63,300.71,210.82,146.28,140.66,206.31,107.96,89.67,149.84,-,70.16,-
18,Accrued Expenses,24.69,36.69,19.97,45.97,26.98,36.94,19.61,59.04,16.22,26.51,11.43,37.47,15.09,15.16,16.9,31.04,-,12.81,-
19,Short-Term Debt,20.02,80.06,80.07,80.07,60,-,-,-,-,-,-,-,30.03,30.03,30,30.03,-,-,-
20,Current Portion of Leases,27.88,29.46,26.94,29.93,23.73,24.4,24.37,22.78,18.04,17.07,13.1,14.15,15.37,16.26,-,-,-,-,-
21,Current Income Taxes Payable,10.95,3.05,8.97,-,23,8.71,14.37,6.06,45.72,11.66,18.59,8.08,29.22,3.76,9.1,18.01,-,4.7,-
22,Current Unearned Revenue,5.89,4.2,0.46,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Other Current Liabilities,20.38,18.73,25.99,21.93,39.95,26.13,24.81,23.08,25.39,1.02,7.82,2.89,-,1.5,9.94,0.16,-,6.93,-
24,Total Current Liabilities,614.11,616.3,605,843.82,891.32,657.3,399.32,419.59,406.08,267.08,197.23,203.24,296.01,174.67,155.6,229.09,-,94.6,-
25,Long-Term Leases,46.03,50.43,52.07,62.15,37.76,42.76,47.93,49.62,41.07,42.48,33.7,36.2,41.2,42.5,17.39,-,-,-,-
26,Long-Term Unearned Revenue,9.66,10.16,10.73,11.38,7.61,8.22,7.61,7.49,6.78,6.73,7.21,7.6,5.78,5.45,3.67,3.86,-,1.69,-
27,Long-Term Deferred Tax Liabilities,13.34,17.01,18.21,15.58,10.7,10.06,15.2,14.03,13.51,12.23,11.13,12.22,5.91,4.6,3.51,3.74,-,2.92,-
28,Other Long-Term Liabilities,-,0.08,1.18,3.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
