,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,3044,2911,2378,-,2512,2486,2064,2598,2598,2070,2070,2562,2562,2261,2261
1,Revenue Growth (YoY),21.20%,17.12%,15.17%,-,-3.32%,20.11%,-0.25%,1.41%,1.41%,-8.46%,-8.46%,-,-,-,-
2,Cost of Revenue,2568,2416,1995,-,2226,2149,1849,2370,2370,1933,1933,2315,2315,1974,1974
3,Gross Profit,476.31,495.49,382.49,-,285.76,336.91,215.37,228.17,228.17,137.01,137.01,246.67,246.67,286.43,286.43
4,"Selling, General & Admin",221.51,192.59,128.55,-,157.1,175.87,148.35,228.56,228.56,186.22,186.22,176.99,176.99,192.47,192.47
5,Other Operating Expenses,-14.83,-8.33,-30.1,-,-72.93,-44.19,-46.37,-6.53,-6.53,2.18,2.18,4.21,4.21,9.06,9.06
6,Operating Expenses,206.68,204.18,98.45,-,84.17,154.82,101.97,235.3,235.3,206.74,206.74,196.14,196.14,212.63,212.63
7,Operating Income,269.63,291.31,284.04,-,201.59,182.09,113.4,-7.13,-7.13,-69.72,-69.72,50.53,50.53,73.8,73.8
8,Interest Expense,-13.26,-15.38,-17.02,-,-16.26,-23.55,-25.06,-30.24,-30.24,-29.86,-29.86,-33.54,-33.54,-30.48,-30.48
9,Interest & Investment Income,-,8.77,-,-,-,9.33,-,4.17,4.17,3.39,3.39,2.07,2.07,2.74,2.74
10,Currency Exchange Gain (Loss),-,-1.93,-,-,-,1.45,-,0.12,0.12,-1.21,-1.21,4.49,4.49,0.77,0.77
11,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-1117,-1117,-12.18,-12.18
12,EBT Excluding Unusual Items,256.37,282.77,267.02,-,185.33,169.31,88.34,-33.08,-33.08,-97.4,-97.4,-1094,-1094,34.64,34.64
13,Impairment of Goodwill,-,-,-,-,-,-,-,-7.36,-7.36,-,-,-,-,-,-
14,Gain (Loss) on Sale of Investments,-1.07,2.66,0.21,-,0.08,4.56,3.81,5.04,5.04,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,3.55,-,-,-,0.98,-,-2.03,-2.03,-1.28,-1.28,-1.82,-1.82,-3.99,-3.99
16,Asset Writedown,-,-5.93,-,-,-,-19.54,-,-4.45,-4.45,-,-,-,-,-,-
17,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,1418,1418,-1418,-1418
18,Pretax Income,255.3,283.06,267.23,-,185.41,155.32,92.15,-41.88,-41.88,-98.68,-98.68,322.13,322.13,-1387,-1387
19,Income Tax Expense,65.68,77.07,70.8,-,33.42,34.73,43.42,70.51,70.51,-10.84,-10.84,-5.02,-5.02,-56.17,-56.17
20,Earnings From Continuing Operations,189.62,205.99,196.43,-,151.99,120.59,48.74,-112.39,-112.39,-87.84,-87.84,327.15,327.15,-1331,-1331
21,Minority Interest in Earnings,-0.83,-3.18,-8.59,-,-4.34,-5.29,-4.65,-0.19,-0.19,0.44,0.44,-3.82,-3.82,0.08,0.08
22,Net Income,188.79,202.82,187.85,-,147.64,115.3,44.09,-112.58,-112.58,-87.39,-87.39,323.33,323.33,-1331,-1331
23,Net Income to Common,188.79,202.82,187.85,-,147.64,115.3,44.09,-112.58,-112.58,-87.39,-87.39,323.33,323.33,-1331,-1331
24,Net Income Growth,27.87%,75.91%,326.08%,-,-,-,-,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),-,-,-,-,-,1163,-,1163,1163,1163,1163,533,533,259,259
26,Shares Outstanding (Diluted),-,-,-,-,-,1163,-,1163,1163,1163,1163,533,533,259,259
27,Shares Change (YoY),-,-,-,-,-,-,-,118.06%,118.06%,348.08%,348.08%,-,-,-,-
28,EPS (Basic),-,-,-,-,-,0.10,-,-0.10,-0.10,-0.08,-0.08,0.61,0.61,-5.13,-5.13
29,EPS (Diluted),-,-,-,-,-,0.10,-,-0.10,-0.10,-0.08,-0.08,0.61,0.61,-5.13,-5.13
30,Free Cash Flow,-,-,-,-,-,-,-,272.12,272.12,160.6,160.6,35.18,35.18,-190.33,-190.33
31,Free Cash Flow Per Share,-,-,-,-,-,-,-,0.23,0.23,0.14,0.14,0.07,0.07,-0.73,-0.73
32,Gross Margin,15.65%,17.02%,16.09%,-,11.38%,13.55%,10.43%,8.78%,8.78%,6.62%,6.62%,9.63%,9.63%,12.67%,12.67%
33,Operating Margin,8.86%,10.01%,11.95%,-,8.03%,7.33%,5.49%,-0.27%,-0.27%,-3.37%,-3.37%,1.97%,1.97%,3.26%,3.26%
34,Profit Margin,6.20%,6.97%,7.90%,-,5.88%,4.64%,2.14%,-4.33%,-4.33%,-4.22%,-4.22%,12.62%,12.62%,-58.86%,-58.86%
35,Free Cash Flow Margin,-,-,-,-,-,-,-,10.47%,10.47%,7.76%,7.76%,1.37%,1.37%,-8.42%,-8.42%
36,EBITDA,379.59,393.65,394,-,314.48,295.09,226.29,105.07,105.07,43.85,43.85,145.93,145.93,140.5,140.5
37,EBITDA Margin,12.47%,13.52%,16.57%,-,12.52%,11.87%,10.96%,4.04%,4.04%,2.12%,2.12%,5.70%,5.70%,6.21%,6.21%
38,D&A For EBITDA,109.96,102.34,109.96,-,112.89,113,112.89,112.21,112.21,113.57,113.57,95.4,95.4,66.7,66.7
39,EBIT,269.63,291.31,284.04,-,201.59,182.09,113.4,-7.13,-7.13,-69.72,-69.72,50.53,50.53,73.8,73.8
40,EBIT Margin,8.86%,10.01%,11.95%,-,8.03%,7.33%,5.49%,-0.27%,-0.27%,-3.37%,-3.37%,1.97%,1.97%,3.26%,3.26%
41,Effective Tax Rate,25.73%,27.23%,26.49%,-,18.03%,22.36%,47.11%,-,-,-,-,-,-,-,-
