,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9244,9615,7848,5740,6482,7491,6529,5732,5406,2965,4581,5127,11975,-,-,-
1,Market Cap Growth,28.35%,28.35%,20.20%,0.15%,19.90%,152.68%,42.52%,11.79%,-54.85%,-,-,-,-,-,-,-
2,Enterprise Value,8171,8574,7589,5477,6907,7916,7291,6494,6589,4148,6088,6635,23632,-,-,-
3,Last Close Price,7.98,8.30,6.75,4.95,5.59,6.46,5.63,4.93,4.65,2.55,3.94,4.41,10.30,-,-,-
4,PE Ratio,12.55,14.98,13.57,11.75,-,35.90,-91.85,-18.68,-,-,-,-,-4.84,-,-,-
5,Forward PE,11.16,10.57,10.64,10.14,12.95,16.46,20.49,20.05,27.04,3.03,5.30,7.42,-,-,-,-
6,PS Ratio,0.78,1.04,0.94,0.72,-,0.72,0.62,0.54,0.51,0.29,0.42,0.44,1.01,-,-,-
7,PB Ratio,2.85,2.85,2.39,1.78,-,-,2.23,1.99,1.90,1.07,1.50,1.60,3.66,-,-,-
8,P/TBV Ratio,3.10,3.10,2.61,2.26,-,-,2.92,2.66,2.54,1.43,2.01,2.13,4.87,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,5.53,4.28,9.99,102.17,-31.44,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,-,3.31,1.86,2.71,3.29,9.00,-,-,-
11,EV/Sales Ratio,0.66,0.93,0.91,0.69,-,0.76,0.69,0.61,0.62,0.40,0.56,0.57,2.00,-,-,-
12,EV/EBITDA Ratio,3.83,6.63,6.41,5.04,-,7.84,9.22,11.83,19.57,11.10,13.69,11.28,33.61,-,-,-
13,EV/EBIT Ratio,7.97,9.16,9.09,7.57,-,15.06,23.99,193.21,-,-,-,-,77.42,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,6.73,5.98,13.27,132.22,-62.04,-,-,-
15,Debt / Equity Ratio,0.37,0.37,0.37,0.50,-,-,0.65,0.82,0.82,0.82,0.90,0.90,0.84,0.84,-,-1.24
16,Debt / EBITDA Ratio,0.59,0.75,0.72,0.94,-,-,1.48,2.29,2.00,2.00,2.91,2.91,1.87,1.87,-,6.68
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,2.39,3.29,5.99,57.77,-7.23,-6.49,-,-
18,Asset Turnover,-,-,-,-,-,-,-,1.78,1.71,1.31,1.31,1.62,-,-,-,
19,Inventory Turnover,-,-,-,-,-,-,-,-,95.42,82.70,59.51,56.14,63.64,-,-,-
20,Quick Ratio,-,-,1.56,-,-,-,1.10,-,0.97,0.97,0.90,0.90,0.91,0.91,-,-
21,Current Ratio,-,-,1.60,-,-,-,1.15,-,1.01,1.01,0.95,0.95,0.96,0.96,-,-
22,Return on Equity (ROE),24.87%,27.35%,-,-,-,18.48%,7.75%,-17.88%,-17.58%,-13.51%,-13.33%,49.04%,-,-,-,
23,Return on Assets (ROA),-,-,-,-,-,-,-,-0.30%,-0.29%,-2.75%,-2.75%,1.99%,-,-,-,
24,Return on Capital (ROIC),16.08%,16.85%,-,-,-,10.08%,6.18%,-0.39%,-0.37%,-3.52%,-3.54%,2.57%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,21.67%,-,-,-,8.41%,-,-,-,-,-,6.75%,5.38%,-,-
26,Earnings Yield,7.97%,6.68%,7.37%,8.51%,-,2.79%,-1.09%,-5.35%,-8.36%,1.34%,12.07%,-18.58%,-20.65%,-,-,-
27,FCF Yield,-,-,-,-,-,-,-,18.10%,23.39%,10.01%,0.98%,-3.18%,-,-,-,
28,Buyback Yield / Dilution,-,-,-,-,-,-,-,-118.06%,-118.06%,-348.08%,-348.08%,-,-,-,-,
29,Total Shareholder Return,-,-,-,-,-,-,-,-118.06%,-118.06%,-348.08%,-348.08%,-,-,-,-,
