,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1401,-,-,-,1028,-,1039,1039,1068,1068,954.32,954.32,-,-
1,Trading Asset Securities,-,823.07,-,-,-,817.37,-,841.67,841.67,754.43,754.43,546.74,546.74,-,-
2,Cash & Short-Term Investments,2224,2224,2216,-,-,1845,1881,1881,1881,1822,1822,1501,1501,-,498.74
3,Cash Growth,-,20.54%,17.80%,-,-,1.24%,3.22%,25.31%,25.31%,-,265.39%,-,-,-,-
4,Accounts Receivable,-,123.63,-,-,-,24.46,-,23.46,23.46,37.19,37.19,39.8,39.8,-,-
5,Other Receivables,-,763.87,-,-,-,705.21,-,602.49,602.49,631.33,631.33,866.06,866.06,-,-
6,Receivables,-,887.51,-,-,-,729.67,-,625.95,625.95,668.52,668.52,905.86,905.86,-,-
7,Inventory,-,67.7,-,-,-,82.19,-,99.33,99.33,129.89,129.89,145.51,145.51,-,-
8,Restricted Cash,-,20.74,-,-,-,1.03,-,0.31,0.31,0.59,0.59,0.73,0.73,-,-
9,Other Current Assets,-,-,-,-,-,31.66,-,-,-,-,-,-,-,-,-
10,Total Current Assets,-,3200,-,-,-,2689,-,2607,2607,2621,2621,2553,2553,-,-
11,"Property, Plant & Equipment",-,2097,-,-,-,2568,-,2717,2717,2993,2993,3083,3083,-,-
12,Goodwill,-,131.53,-,-,-,131.53,-,131.53,131.53,146.25,146.25,146.25,146.25,-,-
13,Other Intangible Assets,-,2.74,-,-,-,8.58,-,13.82,13.82,23.07,23.07,31.71,31.71,-,-
14,Long-Term Deferred Tax Assets,-,85.84,-,-,-,194.69,-,283.36,283.36,418.04,418.04,396.39,396.39,-,-
15,Other Long-Term Assets,-,66.52,-,-,-,82.12,-,92.62,92.62,127.16,127.16,125.2,125.2,-,-
16,Total Assets,-,5584,-,-,-,5674,-,5845,5845,6329,6329,6336,6336,-,-
17,Accounts Payable,-,321.67,-,-,-,277.46,-,306.02,306.02,344.53,344.53,450.8,450.8,-,-
18,Accrued Expenses,-,-,-,-,-,-,-,310.69,310.69,-,-,314.1,314.1,-,-
19,Short-Term Debt,-,-,-,-,-,-,-,395.1,395.1,-,-,379.92,379.92,-,-
20,Current Portion of Long-Term Debt,-,236.14,-,-,-,551.3,-,393.96,393.96,876.6,876.6,325.79,325.79,-,-
21,Current Portion of Leases,-,369.77,-,-,-,555.19,-,522.06,522.06,498.09,498.09,520.89,520.89,-,-
22,Current Income Taxes Payable,-,94.77,-,-,-,6.13,-,5.7,5.7,4.77,4.77,5.26,5.26,-,-
23,Current Unearned Revenue,-,-,-,-,-,-,-,119.81,119.81,-,-,93.21,93.21,-,-
24,Other Current Liabilities,-,975.43,-,-,-,940.21,-,518.62,518.62,1032,1032,561.68,561.68,-,-
25,Total Current Liabilities,-,1998,-,-,-,2330,-,2572,2572,2756,2756,2652,2652,-,-
26,Long-Term Debt,-,0.03,-,-,-,155.87,-,248.25,248.25,416.47,416.47,302.39,302.39,-,-
27,Long-Term Leases,-,535.53,-,-,-,482.98,-,510.36,510.36,555.59,555.59,713.23,713.23,-,-
28,Total Liabilities,-,2533,-,-,-,2969,-,3331,3331,3728,3728,3667,3667,-,-
29,Common Stock,-,0.15,-,-,-,0.15,-,0.15,0.15,0.15,0.15,0.15,0.15,-,-
