,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,876.25,890.02,1139,971.36,989.66,1139,1132,1408,446.68,559.27,411.09,618.99,438.13,-,-
1,Short-Term Investments,-,-,-,2.11,-,1.98,-,2.07,-,-,-,2.19,-,-,-
2,Trading Asset Securities,81.82,101.6,20,-,49.01,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,958.07,991.62,1159,973.47,1039,1141,1132,1410,446.68,559.27,411.09,621.18,438.13,-,390.59
4,Cash Growth,-7.76%,-13.10%,2.38%,-30.97%,132.53%,104.02%,175.31%,127.04%,1.95%,-,5.25%,-,-,-,-
5,Accounts Receivable,2488,2567,2276,2435,2504,2512,2398,2415,2318,2144,1658,1749,2102,-,-
6,Other Receivables,31.02,34.96,41.91,-,38.77,-,20.01,-,15.18,15.19,15.07,-,15.87,-,-
7,Receivables,2519,2602,2318,2435,2543,2512,2418,2415,2333,2160,1673,1749,2118,-,-
8,Inventory,46.54,43.18,37.63,41.18,42.47,42.9,58.18,52.92,72.61,67.72,77.99,42.87,44.68,-,-
9,Other Current Assets,307.01,286.53,245.72,250.67,223.74,222.24,204.68,196.68,176.23,156.64,137.74,154.08,150.53,-,-
10,Total Current Assets,3830,3924,3760,3701,3848,3919,3813,4075,3029,2943,2300,2567,2751,-,-
11,"Property, Plant & Equipment",127.09,130.35,129.84,120.25,124.38,124.16,122.23,89.26,91.51,92.71,91.55,94.58,94.92,-,-
12,Long-Term Investments,598.61,575.26,540.98,555.19,589.4,601.71,615.95,497.92,514.7,496.28,497.22,539.24,565.01,-,-
13,Other Intangible Assets,1018,999.61,882.96,876.57,806.81,739.04,648.2,585.57,446.21,392.69,343.22,338.85,20.58,-,-
14,Long-Term Accounts Receivable,-,20.13,-,27.97,-,3.76,-,2.26,18.24,20.52,20.41,40.74,-,-,-
15,Long-Term Deferred Tax Assets,124.93,119.53,108.84,102.15,102.18,90.07,85.7,77.11,63.2,57.73,57.18,53.88,43.58,-,-
16,Long-Term Deferred Charges,3.09,3.29,3.5,3.7,0.77,0.54,0.58,0.62,0.66,0.72,0.74,0.78,-,-,-
17,Other Long-Term Assets,68.24,61.35,83.04,63.89,7.39,3.98,5.23,19.46,4.11,4.52,31.67,4.24,29.25,-,-
18,Total Assets,5770,5833,5509,5450,5479,5482,5291,5347,4167,4008,3342,3639,3504,-,-
19,Accounts Payable,1634,113.41,1222,147.25,1577,80.35,1389,106.12,1421,67.23,912.31,35.5,1298,-,-
20,Accrued Expenses,9.69,1451,21.63,1427,13.97,1474,9.92,1417,8.29,1218,15.38,1135,27.26,-,-
21,Short-Term Debt,401.94,388.09,440.21,365.88,400.49,446.15,585.13,550.57,589.36,670.45,619.99,695.32,734.92,-,-
22,Current Portion of Long-Term Debt,220.02,248.97,232.75,61.53,203.36,120.22,81.29,53.52,50.98,38.23,57.62,43.71,50.52,-,-
23,Current Portion of Leases,-,0.28,-,0.28,-,0.28,-,-,-,-,-,0.25,-,-,-
24,Current Income Taxes Payable,60.17,45.21,48.02,70.5,59.28,35.88,63.06,50.16,39.39,31.68,31.34,28.36,20.33,-,-
25,Current Unearned Revenue,189.96,231.91,427.17,295.04,400.16,408.66,419.71,495.32,93.46,67.42,102.75,78.32,64.54,-,-
26,Other Current Liabilities,248.36,372.29,242.38,330.7,220.16,338.27,207.46,363.77,179.24,278.92,175.24,303.69,143.1,-,-
27,Total Current Liabilities,2764,2851,2634,2698,2874,2904,2756,3036,2381,2372,1915,2321,2339,-,-
28,Long-Term Debt,1763,1775,1756,1582,1456,1433,1428,1187,755.71,627.27,484.25,339.09,332.53,-,-
29,Long-Term Leases,1.75,1.74,1.7,1.69,1.67,1.65,1.9,1.88,1.86,1.83,1.89,1.87,1.85,-,-
30,Other Long-Term Liabilities,2.68,0.66,0.74,0.76,0.71,0.34,0.35,0.35,0.04,0.12,0.12,0.12,0.12,-,-
31,Total Liabilities,4531,4628,4393,4282,4332,4339,4186,4226,3139,3001,2401,2662,2673,-,-
32,Common Stock,466.67,466.67,466.67,466.66,466.66,466.66,466.66,466.66,466.66,466.66,466.66,466.66,350,-,-
33,Additional Paid-In Capital,277.7,277.7,277.69,277.64,277.64,277.64,277.64,277.64,277.64,277.64,277.64,277.64,252.94,-,-
34,Retained Earnings,371.24,341.72,272.54,312.63,281.91,284.69,242.57,264.49,245.88,230.88,168.97,204.59,193.84,-,-
35,Treasury Stock,-25.37,-25.37,-22.25,-12,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,72.47,67.77,58.53,58.02,58.42,59.2,62.9,64.19,6.86,7.75,5.24,6.16,11.47,-,-
37,Total Common Equity,1163,1129,1053,1103,1085,1088,1050,1073,997.03,982.92,918.5,955.05,808.25,-,733.92
38,Minority Interest,76.3,76.69,63.33,65.32,61.75,54.32,54.53,48.42,31.54,24.76,22.62,22.64,22.74,-,-
39,Shareholders' Equity,1239,1205,1116,1168,1146,1143,1104,1121,1029,1008,941.12,977.69,830.99,-,757.73
40,Total Liabilities & Equity,5770,5833,5509,5450,5479,5482,5291,5347,4167,4008,3342,3639,3504,-,-
41,Total Debt,2386,2414,2431,2011,2061,2002,2097,1793,1398,1338,1164,1080,1120,-,901.79
42,Net Cash (Debt),-1428,-1422,-1272,-1038,-1023,-860.66,-964.95,-382.97,-951.22,-778.52,-752.66,-459.05,-681.69,-,-511.2
43,Net Cash Per Share,-3.58,-2.77,-2.85,-2.69,-1.88,-1.82,-2.20,-0.82,-1.95,-1.73,-1.69,-1.30,-1.91,-,-1.40
44,Filing Date Shares Outstanding,461.78,461.78,462.58,461.78,466.66,466.66,466.66,466.66,466.66,466.66,466.66,466.66,350,320.89,365.85
45,Total Common Shares Outstanding,461.78,461.78,462.58,464.71,466.66,466.66,466.66,466.66,466.66,466.66,466.66,466.66,350,320.89,365.85
46,Working Capital,1066,1073,1126,1003,973.51,1015,1057,1039,647.54,571.74,385.39,246.46,412.13,-,-
47,Book Value Per Share,2.52,2.44,2.28,2.37,2.32,2.33,2.25,2.30,2.14,2.11,1.97,2.05,2.31,-,2.10
48,Tangible Book Value,145.12,128.89,170.21,226.38,277.81,349.16,401.56,487.41,550.81,590.23,575.28,616.2,787.67,-,550.04
49,Tangible Book Value Per Share,0.31,0.28,0.37,0.49,0.60,0.75,0.86,1.04,1.18,1.26,1.23,1.32,2.25,-,1.57
50,Buildings,-,96.28,-,88.59,-,88.56,-,53.2,-,53.2,-,53.2,53.2,-,-
51,Machinery,-,135.49,-,125.1,-,127.18,-,121.7,-,119.53,-,114.9,112.34,-,-
