,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,891.85,1228,321.03,792.44,622.6,904.93,453.08,799.88,653.25,995.1,209.6,678.77,571.05,902.64,213.33
1,Other Revenue,-0.39,0.39,-,3.43,-1.18,1.18,-,4.14,-1.57,1.57,-,2.38,-1.88,1.88,-
2,Revenue,891.46,1228,321.03,795.87,621.41,906.11,453.08,804.02,651.68,996.67,209.6,681.15,569.17,904.52,213.33
3,Revenue Growth (YoY),43.46%,35.51%,-29.14%,-1.01%,-4.65%,-9.09%,116.17%,18.04%,14.50%,10.19%,-1.75%,-,-,-,-
4,Cost of Revenue,760.92,1017,283.06,664.61,512.64,754.58,380.19,669.76,549.29,827,183.76,562.01,498.46,768.12,195.13
5,Gross Profit,130.54,210.49,37.98,131.25,108.77,151.53,72.9,134.26,102.4,169.67,25.83,119.14,70.71,136.4,18.2
6,"Selling, General & Admin",17.72,20.74,22.15,23.24,22.53,18.64,19.9,17.5,16.3,17.49,20.99,19.75,18.38,20.7,16.11
7,Research & Development,12.75,2.44,0.02,0.52,0.16,1.51,0.21,0.05,0.55,-,-,-,-,-,-
8,Other Operating Expenses,2.28,2.87,2.03,2.62,2.93,2.24,1.78,3.28,2.22,2.15,0.89,3.72,2.11,2.34,2.09
9,Operating Expenses,37.87,68.76,51.39,49.43,55.51,49.56,50.57,72.48,36.66,23.67,33.62,87.9,2.64,22.8,-0.57
10,Operating Income,92.67,141.73,-13.41,81.82,53.26,101.97,22.32,61.77,65.74,146,-7.79,31.24,68.07,113.6,18.77
11,Interest Expense,-19.9,-17.94,-19.67,-22.33,-16.71,-16.17,-17.98,-12.06,-12.61,-12.24,-11.48,-8.66,-9.46,-9.66,-9
12,Interest & Investment Income,0.6,0.61,1.4,1.64,1.81,1.7,1.62,0.35,0.58,0.67,0.56,0.69,0.34,0.33,0.27
13,Currency Exchange Gain (Loss),0.22,-0.22,-,0.1,-0.21,0.21,-,0.11,-0,0,-,-0.09,0.03,-0.03,-
14,Other Non Operating Income (Expenses),0.56,-1.41,-0.48,2.98,-8.15,4.49,-1.86,-4.23,-2.6,-2.07,-0.49,4.98,-2.2,1.31,-0.33
15,EBT Excluding Unusual Items,74.15,122.76,-32.16,64.21,30,92.21,4.1,45.94,51.11,132.36,-19.2,28.16,56.78,105.55,9.7
16,Gain (Loss) on Sale of Investments,-14.58,-14.17,-15.04,-32.8,-11.54,-21.03,-18.4,-18.25,-19.52,-27.77,-16.57,-23.77,-13.69,-14.13,-15.89
17,Gain (Loss) on Sale of Assets,0.01,0.33,0.03,0.35,0.32,0.04,0.02,-0.08,0.09,-0,0,0.03,0.81,-0.34,0.16
18,Asset Writedown,-15.34,-0.3,0.3,16.04,-16.04,6.35,-6.35,4.93,-4.93,1.51,-1.51,15.37,-15.37,13.92,-13.92
19,Other Unusual Items,-2.06,2.03,0.04,3.68,-1.17,1.17,-,0.99,-0.85,0.85,-,1.97,0.12,-0.12,-
20,Pretax Income,42.17,110.64,-46.84,51.48,1.57,78.74,-20.63,33.53,25.9,106.95,-37.27,21.76,28.65,104.88,-19.95
21,Income Tax Expense,13.05,33.55,-4.75,24.12,6,25.14,1,13.37,11.04,31.17,-1.63,11.11,10.73,31.96,-1.64
22,Earnings From Continuing Operations,29.13,77.09,-42.09,27.37,-4.43,53.6,-21.63,20.17,14.86,75.78,-35.64,10.65,17.92,72.92,-18.3
23,Minority Interest in Earnings,0.39,1.33,1.99,3.36,1.65,0.22,-0.29,-1.57,0.14,0.13,0.01,0.1,0.15,0.31,0.01
24,Net Income,29.51,78.42,-40.1,30.72,-2.78,53.81,-21.92,18.6,15,75.91,-35.62,10.75,18.07,73.23,-18.29
25,Net Income to Common,29.51,78.42,-40.1,30.72,-2.78,53.81,-21.92,18.6,15,75.91,-35.62,10.75,18.07,73.23,-18.29
26,Net Income Growth,-,45.73%,-,65.20%,-,-29.11%,-,72.98%,-17.00%,3.66%,-,-,-,-,-
27,Shares Outstanding (Basic),399,513,446,386,545,473,438,465,487,450,445,353,356,321,366
28,Shares Outstanding (Diluted),399,513,446,386,545,473,438,465,487,450,445,353,356,321,366
29,Shares Change (YoY),-26.81%,8.36%,1.64%,-16.97%,11.87%,5.12%,-1.56%,31.70%,36.66%,40.23%,21.72%,-,-,-,-
30,EPS (Basic),0.07,0.15,-0.09,0.08,-0.01,0.11,-0.05,0.04,0.03,0.17,-0.08,0.03,0.05,0.23,-0.05
31,EPS (Diluted),0.07,0.15,-0.09,0.08,-0.01,0.11,-0.05,0.04,0.03,0.17,-0.08,0.03,0.05,0.23,-0.05
32,EPS Growth,-,34.48%,-,98.97%,-,-32.56%,-,31.34%,-39.27%,-26.08%,-,-,-,-,-
33,Free Cash Flow,45.98,-31.36,-186.7,58.65,-109.75,57.63,-326.29,450.67,-122.79,8.26,-277.88,69.74,-113.24,146.31,-168.14
34,Free Cash Flow Per Share,0.12,-0.06,-0.42,0.15,-0.20,0.12,-0.74,0.97,-0.25,0.02,-0.62,0.20,-0.32,0.46,-0.46
35,Dividend Per Share,-,-,-,0.020,-,-,-,0.025,-,-,-,0.030,-,-,-
36,Dividend Growth,-,-,-,-20.00%,-,-,-,-16.67%,-,-,-,-,-,-,-
37,Gross Margin,14.64%,17.14%,11.83%,16.49%,17.50%,16.72%,16.09%,16.70%,15.71%,17.02%,12.33%,17.49%,12.42%,15.08%,8.53%
38,Operating Margin,10.40%,11.54%,-4.18%,10.28%,8.57%,11.25%,4.93%,7.68%,10.09%,14.65%,-3.72%,4.59%,11.96%,12.56%,8.80%
