,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2295,2203,1722,2296,2884,3015,2987,3201,3234,3183,4461,5367,1143,-,-,-
1,Market Cap Growth,-26.93%,-26.93%,-42.33%,-28.28%,-10.82%,-5.28%,-33.05%,-40.35%,182.86%,-,-,-,-,-,-,-
2,Enterprise Value,3800,3702,3058,3380,3968,3930,4006,4184,4217,3986,5237,6071,1848,-,-,-
3,Last Close Price,4.97,4.77,3.71,4.89,6.15,6.43,6.37,6.80,6.87,6.76,9.47,11.36,2.42,-,-,-
4,PE Ratio,21.96,22.35,25.99,-,48.19,-,45.60,-,43.77,48.19,64.55,-,13.65,-,-,-
5,PS Ratio,0.67,0.68,0.58,0.87,1.04,1.08,1.06,1.10,1.21,1.25,1.82,2.27,0.48,-,-,-
6,PB Ratio,1.97,1.78,1.43,2.06,2.47,2.63,2.61,2.90,2.88,3.09,4.43,5.70,1.17,-,-,-
7,P/TBV Ratio,15.18,15.18,13.36,13.49,12.74,10.85,8.55,7.97,6.63,5.78,7.56,9.33,1.86,-,-,-
8,P/FCF Ratio,-,-19.42,-,-,-9.02,-,50.43,-,55.52,-,-14.25,-,-17.50,-,-,-
9,P/OCF Ratio,11.67,11.67,10.60,-,14.20,4.64,5.90,-,14.85,-,-16.11,-,-50.28,-,-,-
10,EV/Sales Ratio,1.17,1.14,1.03,1.28,1.43,1.41,1.42,1.44,1.58,1.57,2.13,2.57,0.78,-,-,-
11,EV/EBITDA Ratio,10.58,10.60,10.00,-,13.47,14.53,14.35,13.19,14.88,16.02,20.85,-,7.53,-,-,-
12,EV/EBIT Ratio,12.57,12.22,11.61,-,15.30,16.42,15.91,14.14,15.87,16.95,22.05,-,7.98,-,-,-
13,EV/FCF Ratio,-33.50,-32.63,-,-,-12.41,-,67.65,-,72.39,-,-16.72,-,-28.28,-,-,-
14,Debt / Equity Ratio,1.93,1.93,2.00,2.18,1.72,1.80,1.75,1.90,1.60,1.36,1.33,1.24,1.10,1.35,-,1.19
15,Debt / EBITDA Ratio,6.65,5.75,3.90,-,5.40,8.53,4.48,17.77,6.49,5.05,2.24,-,7.82,3.91,-,10.11
16,Debt / FCF Ratio,-,-21.04,-,-,-6.29,-,33.80,-,30.78,-,-4.27,-,-16.53,-,-,-
17,Asset Turnover,0.61,0.87,0.23,0.58,0.45,0.67,0.34,0.68,0.64,1.08,0.24,0.76,-,-,-,
18,Inventory Turnover,61.25,67.85,100.73,28.73,63.56,48.04,59.73,27.38,42.68,31.31,45.41,12.16,51.35,-,-,-
19,Quick Ratio,1.26,1.26,1.26,1.32,1.26,1.25,1.26,1.29,1.26,1.17,1.15,1.09,1.02,1.09,-,-
20,Current Ratio,1.39,1.39,1.38,1.43,1.37,1.34,1.35,1.38,1.34,1.27,1.24,1.20,1.11,1.18,-,-
21,Return on Equity (ROE),9.53%,26.56%,-14.74%,9.46%,-1.55%,19.08%,-7.77%,7.50%,5.84%,31.11%,-14.86%,4.71%,-,-,-,
22,Return on Assets (ROA),3.99%,6.25%,-0.61%,3.74%,2.43%,4.73%,1.05%,3.25%,4.02%,9.93%,-0.56%,2.19%,-,-,-,
23,Return on Capital (ROIC),6.40%,9.89%,-1.00%,6.41%,4.19%,8.04%,1.82%,5.78%,6.89%,16.40%,-0.94%,3.90%,-,-,-,
24,Return on Capital Employed (ROCE),10.05%,10.07%,8.83%,-,9.42%,9.19%,9.77%,11.67%,11.50%,13.17%,14.51%,-,17.57%,17.20%,-,-
25,Earnings Yield,4.29%,4.47%,3.85%,1.81%,2.08%,1.58%,2.19%,2.74%,2.28%,2.07%,1.55%,1.24%,7.33%,-,-,-
26,FCF Yield,-4.94%,-5.15%,-15.63%,-7.85%,-11.09%,2.40%,1.98%,0.31%,1.80%,-10.14%,-7.02%,-3.26%,-5.71%,-,-,-
27,Dividend Yield,0.40%,-,-,-,0.33%,-,-,-,0.36%,-,-,-,1.24%,-,-,-
28,Payout Ratio,88.16%,106.30%,23.91%,-,59.06%,-,51.20%,-,49.90%,108.36%,41.30%,-,96.79%,64.81%,15.96%,-
29,Buyback Yield / Dilution,9.37%,26.81%,-8.36%,-1.64%,16.97%,-11.87%,-5.12%,1.56%,-31.70%,-36.66%,-40.23%,-21.72%,-,-,-,-
30,Total Shareholder Return,9.77%,26.81%,-8.36%,-1.64%,17.30%,-11.87%,-5.12%,1.56%,-31.34%,-36.66%,-40.23%,-21.72%,1.24%,-,-,-
