,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,228,268,289,399,598,657,915,940,1033,846,904,Upgrade
1,Market Cap Growth,-32.94%,-32.94%,-51.76%,-39.29%,-34.62%,-30.05%,-11.43%,11.11%,14.29%,-28.00%,-23.00%,Upgrade
2,Enterprise Value,-73,-30,-70,-106,24,-13,-457,1275,810,1521,1297,Upgrade
3,Last Close Price,0.10,0.11,0.12,0.17,0.26,0.28,0.30,0.27,0.28,0.22,0.24,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,1.23,-,4.03,-,Upgrade
5,PS Ratio,3.74,4.40,2.61,4.21,9.50,6.73,4.48,3.88,0.58,0.48,5.09,Upgrade
6,PB Ratio,0.07,0.08,0.08,0.11,0.15,0.17,0.20,0.18,0.23,0.19,0.23,Upgrade
7,P/TBV Ratio,0.08,0.08,0.09,0.12,0.16,0.17,0.20,0.18,0.23,0.19,0.24,Upgrade
8,P/FCF Ratio,-,-,-,-,-,2.44,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,2.41,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,-,0.39,-,-,5.27,0.46,0.85,7.31,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,50.77,-,2.97,164.21,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,119.73,-,3.09,-,Upgrade
13,EV/FCF Ratio,0.58,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.09,0.09,0.20,0.22,0.22,0.36,0.28,0.31,0.41,0.38,0.50,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,5.27,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,0.16%,-,8.81%,-,Upgrade
17,Earnings Yield,-126.46%,-107.61%,-111.10%,-87.82%,-54.92%,-110.69%,24.88%,81.27%,40.55%,24.80%,-21.27%,Upgrade
18,FCF Yield,-55.29%,-47.04%,-68.49%,-49.68%,32.01%,41.04%,-5.55%,-37.71%,-70.87%,-63.99%,4.82%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,13.27%,13.08%,10.55%,6.68%,-,Upgrade
20,Buyback Yield / Dilution,-,-,-,0.04%,0.08%,0.04%,-,-,-,-,Upgrade,
21,Total Shareholder Return,-,-,-,0.04%,0.08%,13.31%,13.08%,10.55%,6.68%,-,Upgrade,
