,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1660,1777,1328,1440,1927,1967,1776,1745,1552,1492,1812,2054,2277,2317,2408,2664,2918,-,-,-
1,Market Cap Growth,-9.69%,-9.69%,-25.26%,-17.48%,24.21%,31.83%,-1.95%,-15.04%,-31.86%,-35.60%,-24.77%,-22.90%,-21.96%,-,-,-,-,-,-,-
2,Enterprise Value,1376,1481,992,1036,1523,1556,1324,1256,1063,964,1286,1561,1784,1848,1892,2629,2883,-,-,-
3,Last Close Price,21.26,22.75,17.00,17.78,23.79,24.29,21.93,21.43,19.06,18.33,22.07,24.72,27.40,27.89,28.98,31.87,34.91,-,-,-
4,PE Ratio,37.39,39.61,26.60,32.59,40.99,68.29,41.44,38.21,31.08,24.95,31.95,28.10,30.23,34.94,36.01,40.11,50.43,-,-,-
5,PS Ratio,3.85,4.08,2.94,3.42,4.55,5.18,4.23,4.34,3.67,3.66,4.63,4.76,5.57,5.59,6.26,7.00,8.36,-,-,-
6,PB Ratio,1.47,1.57,1.17,1.24,1.67,1.70,1.55,1.50,1.36,1.32,1.63,1.80,2.02,2.08,2.20,2.46,2.73,-,-,-
7,P/TBV Ratio,1.60,1.60,1.20,1.27,1.70,1.73,1.58,1.53,1.39,1.34,1.66,1.84,2.06,2.13,2.25,2.52,2.80,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-28.68,-,-,-63.17,-,31.82,-,-143.92,-65.64,-,-,69.66,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-35.58,-,-,289.37,-,19.66,-,40.56,100.63,-,-,65.54,-,-,-
10,EV/Sales Ratio,3.16,3.40,2.19,2.46,3.60,4.10,3.15,3.12,2.51,2.37,3.29,3.62,4.37,4.46,4.92,6.90,8.26,-,-,-
11,EV/EBITDA Ratio,26.17,28.37,16.88,20.22,29.45,50.00,30.10,34.29,21.17,20.39,-,27.34,-,26.42,26.28,30.28,41.51,-,-,-
12,EV/EBIT Ratio,34.34,36.94,21.26,25.93,37.64,78.29,40.03,49.84,-,26.40,-,33.19,-,30.73,30.41,34.04,48.15,-,-,-
13,EV/FCF Ratio,-15.86,-,-,-,-,-22.68,-,-,-43.26,-,22.59,-,-112.76,-52.36,-,-,68.82,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.02,-,-,-,-,-,0.02,0.04
15,Debt / EBITDA Ratio,0.06,0.09,0.05,0.12,0.04,0.02,0.29,0.67,2.21,0.01,-,0.04,-,-,-,-,-,-,0.10,0.60
16,Debt / FCF Ratio,-,-,-,-,-,-0.02,-,-,-0.65,-,0.02,-,-1.15,-,-,-,-,-,0.28,-
17,Asset Turnover,0.25,0.38,0.24,0.48,0.29,0.28,0.23,0.33,0.41,0.23,0.29,0.29,0.37,0.37,0.25,-,-,-,-,
18,Inventory Turnover,2.25,1.65,2.93,1.96,4.02,1.86,2.12,1.71,2.73,2.82,1.49,1.87,2.02,2.11,2.04,1.45,-,-,-,-
19,Quick Ratio,5.52,5.52,5.38,7.47,8.05,5.70,5.15,4.54,4.56,4.67,4.45,4.72,4.56,4.35,4.84,5.92,6.59,-,3.21,-
20,Current Ratio,6.57,6.57,6.19,8.48,9.08,6.60,5.92,5.19,5.16,5.35,5.20,5.48,5.39,5.22,5.92,7.04,7.52,-,4.15,-
21,Return on Equity (ROE),0.84%,4.37%,1.35%,9.01%,2.58%,2.35%,2.34%,2.76%,7.65%,3.40%,3.87%,6.34%,6.67%,9.55%,4.92%,-,-,18.69%,-,
22,Return on Assets (ROA),1.10%,2.09%,0.89%,3.65%,2.32%,0.76%,0.92%,-0.30%,4.76%,-0.70%,3.53%,-0.79%,4.21%,2.04%,4.76%,-,-,-,-,
23,Return on Capital (ROIC),1.26%,2.36%,0.98%,4.09%,2.66%,0.88%,1.08%,-0.36%,5.67%,-0.83%,4.14%,-0.94%,4.98%,2.37%,5.42%,-,-,11.26%,-,
24,Return on Capital Employed (ROCE),3.52%,3.52%,4.10%,3.42%,3.48%,1.71%,2.86%,2.16%,-,3.19%,-,4.10%,-,5.37%,5.65%,7.09%,5.57%,-,5.69%,-
25,Earnings Yield,2.70%,2.52%,3.76%,3.07%,2.44%,1.46%,2.41%,2.62%,3.22%,4.01%,3.13%,3.56%,3.31%,2.86%,2.78%,2.49%,1.98%,-,-,-
26,FCF Yield,-5.23%,-4.88%,-5.40%,-6.89%,-7.44%,-3.49%,-6.29%,-3.25%,-1.58%,-0.10%,3.14%,-0.27%,-0.69%,-1.52%,-2.93%,0.69%,1.44%,-,-,-
27,Dividend Yield,2.09%,-,-,-,1.89%,-,-,-,1.47%,-,-,-,1.02%,-,-,-,0.52%,-,-,-
28,Payout Ratio,78.34%,-,280.82%,-,-,-,326.34%,-,4.55%,-,227.75%,-,-,5.05%,54.47%,-,-,-,115.57%,-
29,Buyback Yield / Dilution,-1.44%,-6.67%,7.15%,-4.42%,-2.91%,2.24%,-5.68%,4.67%,-1.35%,5.51%,-0.98%,-0.84%,-31.91%,-34.76%,-32.98%,-32.03%,-,-,-,-
30,Total Shareholder Return,0.66%,-6.67%,7.15%,-4.42%,-1.02%,2.24%,-5.68%,4.67%,0.12%,5.51%,-0.98%,-0.84%,-30.89%,-34.76%,-32.98%,-32.03%,0.52%,-,-,-
