,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,99.53,105.02,75.7,120.57,113.11,77.56,77.83,90.1,146.83,66.24,98.55,60.71,134.01,103.18,75.91,62.31,114.59,88.76,44.34
1,Other Revenue,-19.21,19.21,-,34.54,-15.89,15.89,-,20.92,-9.08,9.08,-,34.89,-12.12,12.12,-,39.15,-22.6,22.6,-
2,Revenue,80.32,124.23,75.7,155.11,97.21,93.46,77.83,111.02,137.75,75.32,98.55,95.61,121.89,115.3,75.91,101.46,91.99,111.36,44.34
3,Revenue Growth (YoY),-17.38%,32.93%,-2.73%,39.71%,-29.43%,24.08%,-21.02%,16.12%,13.01%,-34.68%,29.83%,-5.76%,32.51%,3.54%,71.19%,-,-,-,-
4,Cost of Revenue,59.62,91.01,54.12,118.07,60.31,68.59,53.8,84.31,94.59,52.99,70.57,77.48,78.36,74.43,46.65,70.78,54.46,70.99,27.64
5,Gross Profit,20.7,33.23,21.58,37.04,36.91,24.87,24.03,26.72,43.16,22.33,27.97,18.13,43.53,40.87,29.26,30.67,37.52,40.37,16.7
6,"Selling, General & Admin",12.46,13.43,12.74,18.66,13.27,12.53,13.04,14.7,13.11,11.27,10.63,15.12,12.18,13.87,11.75,19.42,10.26,9.75,8.1
7,Research & Development,5.24,5.59,5.09,6.65,5.43,5.43,5.12,6.07,4.62,4.38,4.48,5.68,4.23,3.4,3.47,4.46,2.49,2.51,2.58
8,Other Operating Expenses,-0.28,1.38,0.29,0.59,0.44,0.42,0.59,2.29,0.99,-0.1,1.18,1.71,0.58,0.63,0.17,5.85,-3.31,1,0.4
9,Operating Expenses,14.95,22.4,17.03,18.09,24.6,20.73,18.96,28.36,17.65,26.06,9,22.37,21.54,30.57,5.98,26.09,13.47,15.07,10.77
10,Operating Income,5.74,10.83,4.56,18.95,12.31,4.13,5.07,-1.64,25.51,-3.73,18.97,-4.24,21.99,10.3,23.29,4.58,24.06,25.3,5.94
11,Interest Expense,-0.04,-0.04,-0.04,-0.07,-0.18,-,-0.17,-,-0.59,-0.5,-0.07,-0.02,-,-,-0,-,-0.18,-,-
12,Interest & Investment Income,1.41,1.36,1.31,1.97,2.35,3.05,2.98,4.44,4.53,6.46,0.6,5.4,1.88,7.16,1.36,0.31,0.23,3.84,0.06
13,Other Non Operating Income (Expenses),0.04,-0.03,-0.07,-0.24,0.22,-0.26,-0.15,0.12,0.01,-0.19,-0.42,-4.85,0.16,-0.11,2.85,-0.17,0.05,-0.39,-0.21
14,EBT Excluding Unusual Items,7.15,12.12,5.76,20.61,14.7,6.92,7.72,2.92,29.45,2.02,19.08,-3.71,24.03,17.35,27.49,4.71,24.16,28.75,5.78
15,Gain (Loss) on Sale of Investments,-,-,-,0.84,-,-,-,1.14,-,-,-,1.37,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,0.01,0.16,-,-,-,-,0.01,-0.02,0,-0.16,-,-,-0.02,-,0,-,0,-,-
17,Asset Writedown,-4.66,0.91,-0.91,6.29,-6.29,0.01,-0.03,2.27,-2.28,6.36,-6.38,2.13,-2.19,12.14,-12.14,1.82,-1.88,0.01,-0.01
18,Other Unusual Items,-0.1,0.1,-,1.85,-0.25,0.25,-,2.11,-2.17,2.17,-,20.4,-0.71,0.71,-,4.07,-0.17,0.17,-
19,Pretax Income,2.4,13.29,4.84,29.59,8.16,7.18,7.69,8.43,25,10.4,12.7,20.19,21.11,30.2,15.35,10.6,22.1,28.93,5.77
20,Income Tax Expense,0.02,0.77,0.94,3.54,0.73,0.39,0.96,0.57,3.51,0.81,1.71,2.44,2.73,4.22,2.12,1.88,3.15,3.43,1.1
21,Net Income,2.38,12.52,3.91,26.06,7.43,6.79,6.73,7.85,21.49,9.59,10.99,17.75,18.38,25.97,13.23,8.72,18.96,25.5,4.67
22,Net Income to Common,2.38,12.52,3.91,26.06,7.43,6.79,6.73,7.85,21.49,9.59,10.99,17.75,18.38,25.97,13.23,8.72,18.96,25.5,4.67
23,Net Income Growth,-67.92%,84.27%,-41.99%,231.85%,-65.41%,-29.14%,-38.71%,-55.76%,16.91%,-63.10%,-16.96%,103.48%,-3.02%,1.85%,183.04%,-,-,-,-
24,Shares Outstanding (Basic),79,78,78,81,74,84,75,78,75,80,78,77,80,79,78,59,59,59,59
25,Shares Outstanding (Diluted),79,78,78,81,74,84,75,78,75,80,78,77,80,79,78,59,59,59,59
26,Shares Change (YoY),6.67%,-7.15%,4.42%,2.91%,-2.24%,5.68%,-4.67%,1.35%,-5.51%,0.98%,0.84%,31.91%,34.76%,32.98%,32.03%,-,-,-,-
27,EPS (Basic),0.03,0.16,0.05,0.32,0.10,0.08,0.09,0.10,0.28,0.12,0.14,0.23,0.23,0.33,0.17,0.15,0.32,0.43,0.08
28,EPS (Diluted),0.03,0.16,0.05,0.32,0.10,0.08,0.09,0.10,0.28,0.12,0.14,0.23,0.23,0.33,0.17,0.15,0.32,0.43,0.08
29,EPS Growth,-69.93%,98.45%,-44.44%,222.48%,-64.62%,-32.96%,-35.71%,-56.35%,23.73%,-63.45%,-17.65%,54.26%,-28.04%,-23.41%,114.38%,-,-,-,-
30,Free Cash Flow,-12.19,-5.76,-7.65,-61.16,2.83,-33.24,-51.86,13.68,-40.25,21.65,-19.64,36.68,18.24,-40.85,-29.9,17.21,-17.01,48.1,-6.41
31,Free Cash Flow Per Share,-0.15,-0.07,-0.10,-0.76,0.04,-0.39,-0.69,0.17,-0.53,0.27,-0.25,0.47,0.23,-0.52,-0.38,0.29,-0.29,0.81,-0.11
