,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,147.31,140.89,113.76,50.44,137.68,17.71,235.87,262.16,231.28,251.02,297.16,236.38,174.67,138.82,120.05,527.74,-,16.51,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-
2,Trading Asset Securities,140,158.3,226,295.84,267.47,402.49,238,255.14,259,279,232,312.27,318.3,330.1,396,20,-,-,-
3,Cash & Short-Term Investments,287.31,299.19,339.76,346.28,405.15,420.2,473.87,517.3,490.28,530.02,529.16,548.65,492.97,468.92,516.05,547.74,-,46.51,38.58
4,Cash Growth,-29.08%,-28.80%,-28.30%,-33.06%,-17.36%,-20.72%,-10.45%,-5.71%,-0.55%,13.03%,2.54%,0.17%,-,908.20%,1237.67%,-,-,-,-
5,Accounts Receivable,578.91,596,549.31,534.81,478.7,495.6,489.19,455.61,461.71,398.66,418.76,369.28,408.88,418.01,354.18,325.87,-,340.6,-
6,Other Receivables,1.97,2.44,2.33,2.45,2.26,1.83,1.76,1.76,1.86,1.86,1.93,1.85,5.21,3.6,0.89,0.29,-,3.72,-
7,Receivables,580.88,598.44,551.64,537.25,480.96,497.43,490.95,457.37,463.57,400.52,420.69,371.13,414.09,421.61,355.07,326.16,-,344.34,-
8,Inventory,156.58,132.64,116.06,104.28,130.4,128.79,130.2,121.46,125.34,142.97,141.48,160.47,146.12,151.42,139.98,117.71,-,110.26,-
9,Prepaid Expenses,-,0.21,-,0.33,-,-,-,-,-,-,-,1.2,-,-,-,1.2,-,-,-
10,Other Current Assets,8.36,2.73,3.8,7.58,10.33,7.88,7.59,6.85,14.39,12.83,10.79,6.33,35.33,47.37,25.69,4.32,-,4.39,-
11,Total Current Assets,1033,1033,1011,995.73,1027,1054,1103,1103,1094,1086,1102,1088,1089,1089,1037,997.14,-,505.49,-
12,"Property, Plant & Equipment",163.6,164.66,166.37,169.07,165.68,155.46,151.42,151.03,145.47,131.26,132.83,135.66,120.97,75.76,77.26,78.52,-,81.59,-
13,Long-Term Investments,27.05,27.05,35.32,35.32,53.6,53.6,49.59,49.59,49.09,49.09,47.82,47.82,49.41,49.41,47.94,47.94,-,48.12,-
14,Other Intangible Assets,22.44,22.59,22.66,22.82,22.98,22.46,22.6,22.78,23.09,23.35,23.56,23.85,24.09,24.32,24.5,24.76,-,24.93,-
15,Long-Term Accounts Receivable,-,43.93,-,39.11,-,34.85,-,25.64,-,28.78,-,32.4,-,38.62,-,49.8,-,-,-
16,Long-Term Deferred Tax Assets,9.7,9.85,8.66,8.69,9.72,8.45,7.65,7.9,6.75,6.68,6.69,6.91,7.11,7.06,7.02,7.16,-,8.7,-
17,Long-Term Deferred Charges,2.52,1.96,1.91,2.02,2,1.17,1.23,1.28,1.34,1.39,1.45,1.5,2.2,1.63,1.73,1.84,-,2.05,-
18,Other Long-Term Assets,38.07,0.66,40.44,0.52,39.12,4.11,43.78,2.46,28.25,3.07,32.87,1.2,35.53,-,41.4,0.25,-,0.25,-
19,Total Assets,1297,1304,1287,1273,1320,1334,1379,1364,1348,1330,1347,1337,1328,1286,1237,1207,-,671.13,-
20,Accounts Payable,144.05,134.06,87.89,71.85,135.39,159.49,174.37,156.84,172.89,188.77,183.57,167.68,182.94,161.37,118.51,98.76,-,95.88,-
21,Accrued Expenses,5.58,10.19,5.38,12.35,4.94,5.91,5.14,18,7.47,10.74,6.33,9.27,3.93,5.35,3.74,10.07,-,9.41,-
22,Short-Term Debt,-,-,-,-,-,7.25,20.14,14.89,-,-,2.3,17,-,-,-,-,-,11.52,-
23,Current Portion of Leases,1.26,0.88,0.91,1.14,0.57,0.54,0.68,0.68,0.68,0.67,0.59,0.59,-,-,-,-,-,-,-
24,Current Income Taxes Payable,0.42,0.82,2.99,4.53,8.73,0.81,5.83,6.04,16.98,3.83,7.01,3.68,4.03,4.03,3.55,0.44,-,3.56,-
25,Current Unearned Revenue,1.41,0.17,0.28,0.58,0.42,0.28,0.59,0.76,0.42,0.28,0.29,0.24,0.78,1.28,0.83,0.34,-,1.22,-
26,Other Current Liabilities,4.61,20.7,21.86,19.26,5.52,3.88,5.81,16.41,5.79,4.72,1.08,3.18,16.71,12.13,20.65,22.97,-,0.11,-
27,Total Current Liabilities,157.33,166.83,119.31,109.72,155.58,178.16,212.56,213.62,204.23,209.01,201.17,201.65,208.39,184.15,147.27,132.57,-,121.7,-
28,Long-Term Leases,1.78,2.14,2.67,2.68,0.56,0.61,0.33,0.35,0.62,0.64,0.64,0.67,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,1.06,1.15,1.25,1.35,1.45,1.54,1.64,1.74,1.84,1.93,2.03,2.13,2.23,2.32,2.42,2.52,-,2.71,-
