,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Cash & Equivalents,692.01,697.69,522.51,444.38,384.53,633.16,648.35,697.83,393.64,393.91,Upgrade
1,Short-Term Investments,34.75,39.28,36.5,30.73,29.25,35,45.49,48.89,33.85,40.2,Upgrade
2,Cash & Short-Term Investments,726.76,736.97,559,475.11,413.78,668.16,693.84,746.71,427.49,434.11,Upgrade
3,Cash Growth,30.01%,55.12%,35.10%,-28.89%,-40.36%,-10.52%,62.30%,72.01%,13.56%,3.21%,Upgrade
4,Accounts Receivable,658.93,590.49,615.83,565.95,576.71,529.24,553.09,473.35,390.51,423.34,Upgrade
5,Other Receivables,51.94,33.52,14.83,12.72,15.24,11.06,10.47,15.17,15.19,20.1,Upgrade
6,Receivables,710.87,624.01,630.66,578.66,591.95,540.3,563.56,488.52,405.7,443.43,Upgrade
7,Inventory,163.77,166.18,161.51,157.24,160.45,142.49,144.05,128.02,112.24,115.27,Upgrade
8,Prepaid Expenses,65.12,43.96,53.82,51.39,62.07,39.61,45.3,22.66,34.6,24.47,Upgrade
9,Other Current Assets,0.2,0.2,3.24,3.34,3.41,4.85,4.75,4.83,5.21,5.33,Upgrade
10,Total Current Assets,1667,1571,1408,1266,1232,1395,1451,1391,985.24,1023,Upgrade
11,"Property, Plant & Equipment",928.6,905.25,821.23,810.21,779.98,747.09,699.64,681.78,652.92,693.35,Upgrade
12,Long-Term Investments,16.85,23.16,22.08,29.73,38.01,3.23,3.01,0.76,9.15,9.63,Upgrade
13,Goodwill,1135,1160,1147,1132,1134,1186,1217,1240,1153,1311,Upgrade
14,Other Intangible Assets,208.92,214.58,218.29,228.2,235.25,255.18,272.03,287.67,279.39,295.15,Upgrade
15,Long-Term Deferred Tax Assets,41.65,44.2,43.12,47.08,48.54,49.63,51.99,49.29,11.57,11.83,Upgrade
16,Other Long-Term Assets,30.55,34.69,37.39,25.67,20.59,21.17,22.65,14.76,15.48,17.83,Upgrade
17,Total Assets,4028,3953,3698,3539,3488,3657,3718,3665,3107,3361,Upgrade
18,Accounts Payable,76.71,80.09,69.34,75.6,80.31,80.08,84.73,67.67,53.38,70.03,Upgrade
19,Accrued Expenses,189.35,197.79,155.23,142.23,168.64,171.92,161.87,164.55,118.11,173.78,Upgrade
20,Short-Term Debt,-,-,0.1,0.13,73.19,-,36.05,35.64,-,20,Upgrade
21,Current Portion of Long-Term Debt,93.87,63.7,107.46,84.77,389.34,173.4,162.56,152.04,141.61,86.34,Upgrade
22,Current Portion of Leases,44.34,46.46,47.4,46.24,44.05,47.21,53.21,41.4,44.77,53.34,Upgrade
23,Current Income Taxes Payable,116.32,92.37,103.39,103.74,103.96,134.54,111.55,73.88,56.3,48.9,Upgrade
24,Current Unearned Revenue,17.64,18.12,9.82,10.92,16.88,10.62,12.15,11.68,6.32,6.2,Upgrade
25,Other Current Liabilities,44.4,56.45,49.94,65.75,54.49,50.52,53.41,54.39,25.76,17.86,Upgrade
26,Total Current Liabilities,582.63,554.97,542.68,529.38,930.86,668.29,675.52,601.25,446.26,476.44,Upgrade
27,Long-Term Debt,607.97,612.49,539.85,545.27,129.79,499.66,519.13,673.06,681.69,696.01,Upgrade
28,Long-Term Leases,112.81,129.55,118.03,111.77,108.81,112.81,118.72,123.01,127.17,145.13,Upgrade
29,Long-Term Unearned Revenue,0.04,-,0.19,-,0.54,-,-,-,-,-,Upgrade
30,Long-Term Deferred Tax Liabilities,12.73,12.68,12.84,14.13,9.93,11.93,8.99,11.25,13.93,16.05,Upgrade
31,Other Long-Term Liabilities,-,0.05,-,4.97,5.97,6.03,-,-,5.6,5.2,Upgrade
32,Total Liabilities,1316,1310,1214,1206,1186,1299,1322,1409,1275,1339,Upgrade
33,Common Stock,73.39,73.5,74.01,74.01,74.16,74.16,74.37,74.59,74.59,76.08,Upgrade
34,Additional Paid-In Capital,291.38,382.29,401.55,443.55,446.99,489.09,495.89,566.61,566.61,614.92,Upgrade
35,Retained Earnings,2127,1912,1777,1565,1480,1381,1379,1140,892.56,1033,Upgrade
36,Treasury Stock,-3.14,-0.42,-5.56,-0.04,-0.04,-0.04,-7.04,-3.11,-0.04,-21.8,Upgrade
37,Comprehensive Income & Other,213.6,264.86,225.12,236.94,287.58,404.68,444.12,469.88,296.92,318.21,Upgrade
38,Total Common Equity,2702,2632,2472,2320,2289,2348,2387,2248,1831,2021,Upgrade
39,Minority Interest,9.85,10.82,12.39,13.58,12.82,10.21,8.82,8.86,1.44,1.59,Upgrade
40,Shareholders' Equity,2712,2643,2484,2334,2302,2359,2396,2257,1832,2022,Upgrade
41,Total Liabilities & Equity,4028,3953,3698,3539,3488,3657,3718,3665,3107,3361,Upgrade
42,Total Debt,858.99,852.2,812.83,788.19,745.18,833.09,889.67,1025,995.24,1001,Upgrade
43,Net Cash (Debt),-132.24,-115.23,-253.83,-313.08,-331.4,-164.93,-195.83,-278.43,-567.75,-566.71,Upgrade
44,Net Cash Per Share,-0.14,-0.12,-0.27,-0.33,-0.35,-0.17,-0.20,-0.29,-0.59,-0.58,Upgrade
45,Filing Date Shares Outstanding,946.18,948.3,952.94,954.99,956.94,956.94,956.94,960.23,962.48,967.08,Upgrade
46,Total Common Shares Outstanding,946.18,948.3,952.94,954.99,956.94,956.94,956.94,960.23,962.48,967.08,Upgrade
47,Working Capital,1084,1016,865.55,736.36,300.81,727.11,775.98,789.48,538.99,546.18,Upgrade
48,Book Value Per Share,2.86,2.78,2.59,2.43,2.39,2.45,2.49,2.34,1.90,2.09,Upgrade
49,Tangible Book Value,1358,1258,1106,959.33,920.05,907.59,897.6,719.9,398.28,414.83,Upgrade
50,Tangible Book Value Per Share,1.44,1.33,1.16,1.00,0.96,0.95,0.94,0.75,0.41,0.43,Upgrade
51,Land,-,498.2,-,286.48,-,307.87,-,301.57,-,296.57,Upgrade
52,Machinery,-,491.06,-,449.63,-,400.84,-,342.1,-,320.29,Upgrade
