,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,1100,1016,1267,1338,1196,1133,1311,482.1,-,383.95,-
1,Trading Asset Securities,95.1,-,7.72,12.41,20.92,2,7.14,-,-,3,-
2,Cash & Short-Term Investments,1195,1016,1274,1350,1217,1135,1318,482.1,-,386.95,285.01
3,Cash Growth,-1.76%,-10.54%,-3.31%,180.10%,-,193.40%,362.41%,-,-,-,-
4,Accounts Receivable,508.44,498.9,575.38,513.14,511.4,444.27,450.28,470.77,-,373.81,-
5,Other Receivables,53.63,8.28,59.26,4.6,55.2,44.08,36.11,34.52,-,37.4,-
6,Receivables,562.07,507.18,634.64,517.74,566.59,488.35,486.38,505.29,-,411.21,-
7,Inventory,840.09,895.2,911.36,772.09,787.65,751.16,657.77,545.01,-,512.99,-
8,Prepaid Expenses,-,13.65,-,8.27,-,3.34,-,2.52,-,2.98,-
9,Other Current Assets,143.97,151.63,143.48,177.8,167.74,157.56,148.6,165.22,-,73.04,-
10,Total Current Assets,2741,2583,2964,2826,2739,2536,2611,1700,-,1387,-
11,"Property, Plant & Equipment",964.58,951.76,909.35,870.15,797.4,620.01,573.87,533.42,-,507.95,-
12,Long-Term Investments,82.2,97.21,97.31,92.81,76.53,81.13,23.05,25.45,-,8.92,-
13,Goodwill,993.66,874.44,769.17,609.31,602.72,457.16,246.78,190.06,-,190.06,-
14,Other Intangible Assets,64.75,65.56,66.52,62.51,63.47,32.26,32.6,33,-,22.47,-
15,Long-Term Deferred Tax Assets,42.36,39.05,40.23,32.83,29.41,24.8,24.9,21.92,-,19.1,-
16,Long-Term Deferred Charges,58.07,56.95,56.21,52.11,50.8,50.66,55.62,58.97,-,75.08,-
17,Other Long-Term Assets,13.88,42.77,35.27,65.74,68.47,47.02,47.12,13.23,-,-,-
18,Total Assets,4961,4711,4938,4612,4427,3849,3615,2576,-,2211,-
19,Accounts Payable,1193,1151,1349,1027,1253,913.36,938.64,698.74,-,683.28,-
20,Accrued Expenses,47.79,123.83,45.72,99.84,41.44,80.01,33.92,101.68,-,62.42,-
21,Short-Term Debt,377,252.34,312.74,513.51,216.4,241.4,232.81,340.31,-,178.72,-
22,Current Portion of Long-Term Debt,269.82,133.29,249.55,10.25,-,-,-,-,-,-,-
23,Current Portion of Leases,-,208.41,-,193.64,180.03,172.41,160.21,154.24,-,146.78,-
24,Current Income Taxes Payable,24.33,7.92,35.77,12.3,20.3,7.74,24.94,34.63,-,9.59,-
25,Current Unearned Revenue,47.78,41.2,44.17,27.06,28.27,20.36,13.41,19.41,-,13.8,-
26,Other Current Liabilities,207.16,137.67,109.04,80.31,88.52,98.82,59.7,12.7,-,15.37,-
27,Total Current Liabilities,2167,2056,2146,1964,1828,1534,1464,1362,-,1110,-
28,Long-Term Debt,422.88,295.61,431.21,331.15,237.58,145.64,46.85,18.95,-,-,-
29,Long-Term Leases,243.13,231.33,223.14,237.65,260.04,252.17,245.51,248.51,-,272.18,-
30,Long-Term Unearned Revenue,0.83,0.86,0.91,0.91,0.91,-,-,-,-,-,-
31,Long-Term Deferred Tax Liabilities,6.76,6.92,7.18,6.32,6.79,-,-,-,-,-,-
32,Other Long-Term Liabilities,95.4,95.4,94.15,95.4,146.9,-,-,-,-,-,-
33,Total Liabilities,2936,2686,2903,2635,2480,1932,1756,1629,-,1382,-
34,Common Stock,400.01,400.01,400.01,400.01,400.01,400.01,400.01,340,-,340,-
35,Additional Paid-In Capital,1014,1014,1014,1014,1014,1014,1014,194.7,-,194.47,-
36,Retained Earnings,561.37,562.35,577.16,529.39,502.74,472.96,444.2,412.58,-,294,-
37,Total Common Equity,1976,1977,1991,1944,1917,1887,1858,947.28,-,828.47,784.8
38,Minority Interest,49.46,48.25,43.97,33,30.6,29.74,0.26,-0.27,-,0.14,-
39,Shareholders' Equity,2025,2025,2035,1977,1947,1917,1859,947.01,-,828.6,785.05
40,Total Liabilities & Equity,4961,4711,4938,4612,4427,3849,3615,2576,-,2211,-
41,Total Debt,1313,1121,1217,1286,894.05,811.62,685.38,762.02,-,597.68,597.8
42,Net Cash (Debt),-117.49,-105.34,57.68,64.14,322.66,323.71,632.52,-279.92,-,-210.72,-312.8
43,Net Cash Growth,-,-,-90.88%,-,-,-,-,-,-,-,-
44,Net Cash Per Share,-0.29,-0.26,0.14,0.15,0.81,0.81,1.76,-0.80,-,-0.62,-0.92
45,Filing Date Shares Outstanding,400.01,400.01,400.01,400.01,400.01,400.01,400.01,340,340.16,340,340.12
46,Total Common Shares Outstanding,400.01,400.01,400.01,400.01,400.01,400.01,400.01,340,340.16,340,340.12
47,Working Capital,574.47,527.13,817.82,862.52,910.9,1002,1147,338.42,-,277.22,-
48,Book Value Per Share,4.94,4.94,4.98,4.86,4.79,4.72,4.65,2.79,-,2.44,2.31
49,Tangible Book Value,917.11,1037,1156,1272,1251,1398,1579,724.22,-,615.94,586.49
50,Tangible Book Value Per Share,2.29,2.59,2.89,3.18,3.13,3.49,3.95,2.13,-,1.81,1.72
51,Buildings,-,238.73,-,238.73,-,23.15,-,23.15,-,23.15,-
52,Machinery,-,283.31,-,270.16,-,90.33,-,79.38,-,70.31,-
53,Construction In Progress,-,124.98,-,61.34,-,90.16,-,32.24,-,1.16,-
