,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,1136,1029,1104,1044,980.89,851.8,845.61,964.34,827.72,732.65,676.98
1,Other Revenue,-34.32,34.32,-,74.42,-33.56,33.56,-,60.74,-,-,-
2,Revenue,1102,1063,1104,1119,947.33,885.36,845.61,1025,827.72,732.65,676.98
3,Revenue Growth (YoY),16.31%,20.07%,30.60%,9.15%,14.45%,20.84%,24.91%,-,-,-,-
4,Cost of Revenue,726.9,740.91,741.62,809.07,642.07,619.97,570.67,671.79,572.71,505.37,455.28
5,Gross Profit,374.97,322.14,362.75,309.8,305.25,265.39,274.94,353.28,255.01,227.28,221.7
6,"Selling, General & Admin",310.58,284.11,275.02,254.14,251.47,230.38,225.8,224.15,205.5,189.03,188.59
7,Research & Development,5.7,9.2,6.2,15.35,4.52,2.3,2.03,1.88,1.77,0.27,0.25
8,Other Operating Expenses,-3.88,-3.46,3.38,-4.97,0.12,-10.13,1.66,15.26,2.45,-0.61,0.06
9,Operating Expenses,315.5,285.97,289.46,264.17,256.74,222.52,231.5,236.8,211.31,190.48,191.03
10,Operating Income,59.47,36.17,73.29,45.63,48.51,42.87,43.44,116.48,43.7,36.8,30.67
11,Interest Expense,-,-11.08,-4.25,-22.02,-,-9.74,-2.39,-19.83,-,-11.05,-0.81
12,Interest & Investment Income,5.17,4.66,4.87,6.53,6.82,4.01,2.58,2.44,9.47,1.35,0.14
13,Currency Exchange Gain (Loss),-0.04,0.04,-,0.1,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-11.32,0.56,-5.28,7.63,-11.46,1.55,-4.86,6.7,-15.35,6.63,-5.72
15,EBT Excluding Unusual Items,53.29,30.34,68.64,37.87,43.87,38.69,38.77,105.79,37.83,33.73,24.28
16,Gain (Loss) on Sale of Investments,0,-0.01,0.01,0,0.03,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,1.24,0.19,0.64,0.77,0.15,0.09,0.04,0.05,0.04,0.36,0.16
18,Asset Writedown,-5.24,1.61,-1.61,3.7,-3.7,0.43,-0.43,3.33,-3.33,0.77,-0.78
19,Other Unusual Items,-3.15,0.76,1.5,-8.77,-,-,-,12.51,-,-,-
