,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5176,4940,4092,4788,6380,7296,6944,8132,-,-,-,-
1,Market Cap Growth,-32.29%,-32.29%,-41.07%,-41.12%,-,-,-,-,-,-,-,-
2,Enterprise Value,5343,5094,4078,4496,6088,7002,6312,8343,-,-,-,-
3,Last Close Price,12.94,12.35,10.23,11.86,15.81,18.08,17.20,20.15,-,-,-,-
4,PE Ratio,38.98,36.71,31.62,36.01,55.64,40.43,39.27,46.52,-,-,-,-
5,PS Ratio,1.20,1.13,0.97,1.18,1.68,1.97,1.94,2.37,-,-,-,-
6,PB Ratio,2.62,2.44,2.02,2.35,3.23,3.75,3.62,4.38,-,-,-,-
7,P/TBV Ratio,5.39,5.39,3.95,4.14,5.02,5.83,4.97,5.15,-,-,-,-
8,P/FCF Ratio,392.98,-,40.09,-34.80,-,71.66,-,47.45,-,-,-,-
9,P/OCF Ratio,22.67,-,12.68,57.21,-,25.00,23.79,26.21,-,-,-,-
10,EV/Sales Ratio,1.22,1.16,0.96,1.11,1.60,1.89,1.76,2.43,-,-,-,-
11,EV/EBITDA Ratio,13.06,21.27,18.00,19.79,31.15,26.48,21.28,28.76,-,-,-,-
12,EV/EBIT Ratio,27.31,23.74,20.03,21.38,33.74,27.86,25.61,34.70,-,-,-,-
13,EV/FCF Ratio,405.66,-,39.96,-32.67,-,68.78,-,48.68,-,-,-,-
14,Debt / Equity Ratio,0.65,0.65,0.55,0.60,0.65,0.46,0.42,0.37,0.80,-,0.72,0.76
15,Debt / EBITDA Ratio,3.21,5.08,1.72,3.88,1.35,4.32,1.50,3.68,0.70,-,1.22,2.11
16,Debt / FCF Ratio,99.67,-,10.98,-8.84,-,8.78,-,4.00,-,-,9.73,10.39
17,Asset Turnover,0.91,0.88,0.93,0.99,0.92,0.95,1.09,-,-,-,-,
18,Inventory Turnover,3.71,3.35,3.28,3.52,4.15,3.34,3.52,3.80,-,-,-,-
19,Quick Ratio,0.81,0.81,0.74,0.89,0.95,0.98,1.06,1.23,0.73,-,0.72,-
20,Current Ratio,1.27,1.27,1.26,1.38,1.44,1.50,1.65,1.78,1.25,-,1.25,-
21,Return on Equity (ROE),7.12%,5.38%,10.47%,5.92%,6.34%,6.11%,8.31%,-,-,13.23%,-,
22,Return on Assets (ROA),3.07%,1.87%,3.84%,2.52%,2.93%,2.87%,3.51%,-,-,-,-,
23,Return on Capital (ROIC),4.59%,2.83%,5.62%,3.74%,4.35%,4.07%,5.11%,-,-,6.55%,-,
24,Return on Capital Employed (ROCE),7.00%,7.68%,7.67%,7.53%,6.81%,9.67%,10.65%,11.18%,18.75%,-,6.13%,-
25,Earnings Yield,2.60%,2.72%,3.16%,2.78%,1.80%,2.47%,2.55%,2.15%,-,-,-,-
26,FCF Yield,0.25%,0.27%,2.49%,-2.87%,-1.33%,1.40%,1.91%,2.11%,-,-,-,-
27,Dividend Yield,0.83%,-,-,-,0.63%,-,-,-,-,-,-,-
28,Payout Ratio,42.68%,3.39%,177.73%,6.32%,31.68%,8.22%,-,13.50%,1.10%,2.63%,5.16%,6.76%
29,Buyback Yield / Dilution,-7.51%,0.08%,-0.04%,-11.14%,-21.05%,-17.68%,-17.65%,-5.84%,-,-,-,-
30,Total Shareholder Return,-6.68%,0.08%,-0.04%,-11.14%,-20.42%,-17.68%,-17.65%,-5.84%,-,-,-,-
