,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Operating Revenue,151.54,195.97,159.4,168.55,156.63,284.68,291.22,218.95,237.9,310.76,166.69,166.69,161.83,161.83
1,Other Revenue,-,-13.17,13.17,-,28.11,-15.26,15.26,-,28.83,-,9.58,9.58,5.52,5.52
2,Revenue,151.54,182.8,172.57,168.55,184.74,269.42,306.48,218.95,266.73,310.76,176.28,176.28,167.36,167.36
3,Revenue Growth (YoY),-17.97%,-32.15%,-43.69%,-23.02%,-30.74%,-13.30%,73.87%,24.21%,59.38%,85.69%,-,-,-,-
4,Cost of Revenue,284.53,153.05,167.44,137.89,176.31,186.37,215,146.06,197.76,218.69,115.04,115.04,94.36,94.36
5,Gross Profit,-132.99,29.75,5.13,30.66,8.43,83.06,91.48,72.89,68.96,92.07,61.24,61.24,72.99,72.99
6,"Selling, General & Admin",-68.45,24.33,21.77,22.35,11.27,31.54,23.58,28.93,25.67,23.6,21.76,21.76,14.85,14.85
7,Research & Development,-64.32,24.05,21.53,18.73,21.24,23.52,21.11,21,21.62,20.46,11.53,11.53,11.27,11.27
8,Other Operating Expenses,1.81,-3.31,0.9,0.6,10.18,-2.72,-0.85,-0.79,8.5,-0.62,4.57,4.57,1.65,1.65
9,Operating Expenses,-136.53,48.82,44.19,43.52,36.27,54.06,44.29,51.1,53.7,44.9,36.78,36.78,28.14,28.14
10,Operating Income,3.54,-19.07,-39.06,-12.85,-27.84,29,47.19,21.78,15.26,47.17,24.46,24.46,44.85,44.85
11,Interest Expense,-9.2,-41.08,-2.24,-1.94,-2.91,-13.51,-2.29,-2.19,-1.57,-1.83,-0.88,-0.88,-1.54,-1.54
12,Interest & Investment Income,5.92,-,45.3,3.23,3.81,-,15.51,0.68,0.3,9.58,0.89,0.89,0.13,0.13
13,Earnings From Equity Investments,-47.47,47.47,-38.1,38.1,-4.59,14.41,-6.77,6.77,4.4,-,0.54,0.54,-0.54,-0.54
14,Currency Exchange Gain (Loss),-,-3.49,3.49,-,4.75,-4.14,4.14,-,-0.14,-,0.6,0.6,-0.23,-0.23
15,Other Non Operating Income (Expenses),-7.27,2.76,-1.06,1.15,0.43,2.83,-3.75,-0.88,-0.56,0.27,-0.81,-0.81,0.82,0.82
16,EBT Excluding Unusual Items,-54.47,-13.41,-31.67,27.69,-26.35,28.58,54.04,26.16,17.68,55.19,24.8,24.8,43.51,43.51
17,Gain (Loss) on Sale of Investments,-9.91,3.35,3.55,3.01,2.7,1.01,0.51,0.51,1.3,1.27,1.53,1.53,1.8,1.8
18,Gain (Loss) on Sale of Assets,-0.53,-0.15,0.32,0.35,-0.4,25.84,0.15,0.03,-2.56,0.03,0.07,0.07,-,-
19,Asset Writedown,21.41,-21.41,9.93,-9.93,11.38,-11.38,5.42,-5.42,12.37,-3.15,-0.62,-0.62,-0.14,-0.14
20,Other Unusual Items,0.57,-2.75,2.15,0.03,13.02,-,-,-,13.81,-,3.44,3.44,8.29,8.29
21,Pretax Income,-42.93,-34.36,-15.71,21.14,0.34,44.06,60.13,21.28,42.61,53.34,29.21,29.21,53.45,53.45
22,Income Tax Expense,-11.18,-7.8,-5.14,1.7,-1.53,5.33,7.56,-0.68,3.14,4.96,4.11,4.11,7.15,7.15
23,Earnings From Continuing Operations,-31.75,-26.57,-10.57,19.44,1.87,38.73,52.56,21.96,39.47,48.39,25.1,25.1,46.3,46.3
24,Minority Interest in Earnings,-0.35,0.53,0.08,-0.27,-0.06,-0.98,-0.94,-0.44,-0.27,-,-0.56,-0.56,-0.16,-0.16
25,Net Income,-32.1,-26.03,-10.49,19.18,1.81,37.75,51.62,21.52,39.19,48.39,24.54,24.54,46.14,46.14
26,Net Income to Common,-32.1,-26.03,-10.49,19.18,1.81,37.75,51.62,21.52,39.19,48.39,24.54,24.54,46.14,46.14
27,Net Income Growth,-,-,-,-10.89%,-95.39%,-21.98%,110.37%,-12.31%,-15.06%,4.86%,-,-,-,-
28,Shares Outstanding (Basic),243,866,389,479,472,518,382,430,758,421,365,365,360,360
29,Shares Outstanding (Diluted),243,866,389,479,472,518,382,430,758,421,365,365,360,360
30,Shares Change (YoY),-48.52%,67.17%,1.81%,11.39%,-37.64%,23.12%,4.76%,17.92%,110.47%,16.87%,-,-,-,-
31,EPS (Basic),-0.13,-0.03,-0.03,0.04,0.00,0.07,0.14,0.05,0.05,0.12,0.07,0.07,0.13,0.13
32,EPS (Diluted),-0.13,-0.03,-0.03,0.04,0.00,0.07,0.14,0.05,0.05,0.12,0.07,0.07,0.13,0.13
33,EPS Growth,-,-,-,-20.00%,-92.61%,-36.63%,106.33%,-23.60%,-59.64%,-10.28%,-,-,-,-
34,Free Cash Flow,-,-36.82,27.69,-62.41,138.84,3.44,74.89,-135.77,4.17,-5.97,-29.69,-29.69,-11.17,-11.17
35,Free Cash Flow Per Share,-,-0.04,0.07,-0.13,0.29,0.01,0.20,-0.32,0.01,-0.01,-0.08,-0.08,-0.03,-0.03
36,Dividend Per Share,-,-,-,-,0.066,-,-,-,-,-,-,-,-,-
37,Gross Margin,-87.76%,16.27%,2.97%,18.19%,4.56%,30.83%,29.85%,33.29%,25.86%,29.63%,34.74%,34.74%,43.62%,43.62%
38,Operating Margin,2.34%,-10.43%,-22.64%,-7.63%,-15.07%,10.76%,15.40%,9.95%,5.72%,15.18%,13.87%,13.87%,26.80%,26.80%
39,Profit Margin,-21.18%,-14.24%,-6.08%,11.38%,0.98%,14.01%,16.84%,9.83%,14.69%,15.57%,13.92%,13.92%,27.57%,27.57%
40,Free Cash Flow Margin,-,-20.14%,16.05%,-37.03%,75.16%,1.28%,24.43%,-62.01%,1.56%,-1.92%,-16.84%,-16.84%,-6.67%,-6.67%
41,EBITDA,35.18,12.57,-14.11,18.78,3.8,59.39,79.16,52.17,45.65,-,38.76,38.76,58.05,58.05
42,EBITDA Margin,23.21%,6.87%,-8.17%,11.14%,2.06%,22.04%,25.83%,23.83%,17.12%,-,21.99%,21.99%,34.69%,34.69%
43,D&A For EBITDA,31.64,31.64,24.96,31.64,31.64,30.39,31.97,30.39,30.39,-,14.3,14.3,13.2,13.2
44,EBIT,3.54,-19.07,-39.06,-12.85,-27.84,29,47.19,21.78,15.26,47.17,24.46,24.46,44.85,44.85
