,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Market Capitalization,3553,3589,3999,3984,4280,5833,6368,-,-,-,-,-,-,-,-
1,Market Cap Growth,-38.47%,-38.47%,-37.19%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2536,2573,2950,2932,3350,4903,6285,-,-,-,-,-,-,-,-
3,Last Close Price,6.84,6.91,7.70,7.67,8.17,11.14,12.16,-,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,38.78,51.75,42.43,-,-,-,-,-,-,-,-
5,PS Ratio,5.01,5.31,5.64,5.01,4.61,5.95,6.00,-,-,-,-,-,-,-,-
6,PB Ratio,1.28,1.28,1.43,1.41,1.50,2.10,2.29,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.32,1.32,1.47,1.46,1.54,2.16,2.37,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,37.03,-,71.65,-119.54,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,18.59,-,27.40,65.65,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.75,3.81,4.16,3.69,3.61,5.01,5.92,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,42.92,49.08,140.22,-,20.79,25.21,26.59,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-38.14,-,-,-,-,55.51,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,27.26,-,60.23,-118.00,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.13,0.12,0.12,-,0.20,0.20,0.13,0.13
15,Debt / EBITDA Ratio,3.50,1.47,4.11,-,3.09,3.84,0.93,0.74,1.03,1.01,-,1.30,1.30,0.53,0.53
16,Debt / FCF Ratio,-,-,-,1.95,-,2.46,-4.14,-3.93,-,-3.50,-,-,-,-,-
17,Asset Turnover,-,0.22,0.21,0.20,0.22,0.36,-,-,-,-,0.45,0.49,0.52,-,
18,Inventory Turnover,-,-,1.46,1.59,1.29,1.61,1.56,-,-,-,-,2.25,2.25,1.84,-
19,Quick Ratio,-,-,3.17,3.67,3.74,3.61,3.42,1.15,-,1.00,-,1.18,1.18,1.71,1.71
20,Current Ratio,-,-,4.13,4.75,4.82,4.67,4.55,2.16,-,1.94,-,1.74,1.74,2.54,2.54
21,Return on Equity (ROE),-4.54%,-3.79%,-1.49%,2.76%,0.27%,6.58%,11.14%,4.76%,-,-,9.77%,10.03%,19.01%,-,
22,Return on Assets (ROA),-,-1.43%,-2.93%,-0.97%,-2.10%,2.44%,-,-,-,-,3.92%,4.29%,8.69%,-,
23,Return on Capital (ROIC),0.29%,-1.58%,-3.19%,-1.06%,-2.33%,2.80%,5.57%,2.64%,-,-,4.98%,5.26%,10.22%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,3.91%,6.56%,-,5.85%,-,11.97%,9.86%,8.82%,4.41%
25,Earnings Yield,-1.39%,-1.38%,-0.39%,1.21%,2.58%,1.93%,2.36%,-,-,-,-,-,-,-,-
26,FCF Yield,-,1.68%,2.70%,3.62%,1.40%,-0.84%,-,-,-,-,-,-,-,-,
27,Dividend Yield,0.95%,-,-,-,-,0.59%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,8.38%,109.88%,0.81%,7.48%,8.90%,1.95%,-,64.34%,64.34%,57.72%,57.72%
29,Buyback Yield / Dilution,-9.68%,48.52%,-67.17%,-1.81%,-11.39%,37.64%,-23.12%,-4.76%,-17.92%,-110.47%,-16.87%,-,-,-,-
30,Total Shareholder Return,-8.73%,48.52%,-67.17%,-1.81%,-11.39%,38.23%,-23.12%,-4.76%,-17.92%,-110.47%,-16.87%,-,-,-,-
