,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q1 2023,Q4 2019,Q3 2019,Q2 2019,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,-,750.98,669.3,759.11,1302,698.46,342.8,-,389.06,-,275.17,275.17,160.05,160.05
1,Trading Asset Securities,-,484.87,603.09,538.22,-,466.4,-,-,-,-,7.28,7.28,131.85,131.85
2,Cash & Short-Term Investments,1236,1236,1272,1297,1302,1165,342.8,389.06,389.06,-,282.45,282.45,291.89,291.89
3,Cash Growth,-5.08%,6.09%,271.18%,233.45%,234.67%,-,21.37%,37.74%,33.29%,-,-,-,-,-
4,Accounts Receivable,-,201.88,163.58,191.1,178.07,329.92,325.98,-,212.28,-,182.95,182.95,154.71,154.71
5,Other Receivables,-,28.46,31.64,36.64,34.69,29.77,17.45,-,29.64,-,8.79,8.79,21.08,21.08
6,Receivables,-,230.34,195.21,227.74,212.76,359.69,343.43,-,241.92,-,191.74,191.74,175.79,175.79
7,Inventory,-,421.17,418.1,423.89,432.29,446.22,509.1,-,527.05,-,204.22,204.22,205.58,205.58
8,Other Current Assets,-,22.78,17.64,19.86,14,59.24,91.78,-,72.74,-,23.36,23.36,20.45,20.45
9,Total Current Assets,-,1910,1903,1969,1961,2030,1287,-,1231,-,701.77,701.77,693.71,693.71
10,"Property, Plant & Equipment",-,1034,1019,1019,1022,982.34,977.57,-,1008,-,660.99,660.99,437.55,437.55
11,Long-Term Investments,-,258.01,252.82,248.64,195.35,199.94,200.24,-,190.12,-,105.13,105.13,102.49,102.49
12,Other Intangible Assets,-,71.05,69.88,72.88,71.33,74.5,75.32,-,52.07,-,59.07,59.07,42.83,42.83
13,Long-Term Deferred Tax Assets,-,47.95,41.05,35.56,32.01,28.84,32.13,-,30.45,-,13.52,13.52,12.22,12.22
14,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,1.58,1.58
15,Other Long-Term Assets,-,21.1,17.36,11.91,13.71,27.77,27.21,-,26.66,-,20.13,20.13,-,-
16,Total Assets,-,3342,3303,3356,3296,3343,2600,-,2538,-,1561,1561,1290,1290
17,Accounts Payable,-,161.74,131.97,119.36,93.79,159.92,241.74,-,199.99,-,63.14,63.14,50.2,50.2
18,Accrued Expenses,-,3.74,5.43,4.63,19.8,12.21,9.45,-,30.08,-,17.39,17.39,8.25,8.25
19,Short-Term Debt,-,93.5,83.6,30.52,35,36.24,122.6,-,120.39,-,71.74,71.74,65.74,65.74
20,Current Portion of Long-Term Debt,-,29.5,34.96,114.59,61.2,68.53,48.37,-,30,-,-,-,14.14,14.14
21,Current Portion of Leases,-,-,7.33,-,12.27,-,-,-,6.58,-,-,-,-,-
22,Current Income Taxes Payable,-,8.64,1.79,6.4,3.91,9.21,7.55,-,3.7,-,5.02,5.02,8.73,8.73
23,Current Unearned Revenue,-,11.83,5.14,4.65,8.44,4.75,5.5,-,8.54,-,-,-,-,-
24,Other Current Liabilities,-,153.87,130.13,128.04,185.52,155,159.64,-,234.83,-,245.38,245.38,126.42,126.42
