,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,null null,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,994.94,813.08,606.66,617.39,680.47,641.2,583.13,577.72,-,733.36,735.57,820.95,700.04,673.89,577.96,590.17,575.8,610.4,493.97,684.29,Upgrade
1,Other Revenue,-8.36,8.36,-,15.58,-7.64,7.64,-,52.25,-,-,-,-,-4.45,4.45,-,4.26,-2.31,2.31,-,12.29,Upgrade
2,Revenue,986.58,821.44,606.66,632.97,672.83,648.84,583.13,629.97,-,733.36,735.57,820.95,695.58,678.34,577.96,594.42,573.49,612.71,493.97,696.57,Upgrade
3,Revenue Growth (YoY),46.63%,26.60%,4.03%,0.48%,-,-11.53%,-20.72%,-23.26%,-,8.11%,27.27%,38.11%,21.29%,10.71%,17.00%,-14.66%,-10.01%,5.72%,-2.51%,28.43%,Upgrade
4,Cost of Revenue,935.53,808.87,565.56,587.77,610.04,584.24,532.78,578.07,-,619.5,607.97,723.46,581.22,587.44,506.31,567.03,445.52,501.53,381.29,551.32,Upgrade
5,Gross Profit,51.05,12.56,41.1,45.2,62.79,64.6,50.35,51.9,-,113.86,127.61,97.5,114.37,90.9,71.66,27.39,127.97,111.18,112.68,145.26,Upgrade
6,"Selling, General & Admin",30.17,23.26,33.67,21.81,24.24,17.84,16.96,22.25,-,19.27,13.92,15.95,23.76,24.22,17.94,-22.48,27.2,30.05,30.86,43.4,Upgrade
7,Research & Development,4.59,7.21,6.76,11.32,7.83,10.51,11.34,-7.33,-,13.39,5.21,2.02,14.33,5.23,2.91,5.64,3.45,2.58,2.53,3.05,Upgrade
8,Other Operating Expenses,6.05,6.07,4.02,3.41,4.03,3.7,3.34,4.61,-,3.97,4.18,6.84,4.51,5.24,3.07,8.63,2.41,5.11,0.74,6.96,Upgrade
9,Operating Expenses,44.18,39.02,46.62,36.74,39.33,31.01,32.67,15.41,-,32.48,27.46,25.61,44.87,34.42,25.75,0.71,29.02,32.89,38.32,55.44,Upgrade
10,Operating Income,6.87,-26.46,-5.51,8.46,23.46,33.59,17.68,36.48,-,81.39,100.15,71.89,69.5,56.48,45.9,26.68,98.95,78.29,74.35,89.82,Upgrade
11,Interest Expense,-9.89,-10.46,-2.57,-1.93,-1.02,-1.57,-0.58,-,-,-,-0.77,-,-0.72,-0.3,-0.16,-,-0.44,-1.31,-1.29,-2.08,Upgrade
12,Interest & Investment Income,2.19,2.03,1.22,3.56,4.92,7.81,2.95,4.21,-,3.2,3.12,3.55,2.7,1.4,1.48,1.79,1.3,0.85,0.41,0.13,Upgrade
13,Currency Exchange Gain (Loss),-3.14,3.14,-,5.03,-4.65,4.65,-,20.6,-,-,-,-5.69,1.93,-1.93,-,-14.69,-2.6,2.6,-,4.39,Upgrade
14,Other Non Operating Income (Expenses),0.68,-2.27,0.69,-11.39,11.11,-0.47,-0.41,-8.56,-,-19.96,-0.87,2.38,-2.08,-3.16,1.73,7.53,-10.47,0.88,0.97,-8.9,Upgrade
15,EBT Excluding Unusual Items,-3.29,-34.01,-6.17,3.73,33.83,44.01,19.64,52.73,-,64.62,101.62,72.14,71.33,52.5,48.95,21.31,86.73,81.31,74.44,83.35,Upgrade
16,Gain (Loss) on Sale of Investments,-,-,-,0.88,-,-1.86,1.86,1.18,-,-,-,0.72,-,-,-,-,-,-,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,0,0.23,-0.05,-5.75,0.12,-0.06,-,-11.78,-,-0.02,0.05,0.11,-0.09,0,0.07,-,-,0.03,-,-0.56,Upgrade
18,Asset Writedown,-2.69,-,-,1.37,-1.37,-,-,-,-,-,-,-0.8,-,-,-,-0.07,-,-,-,-1.05,Upgrade
19,Other Unusual Items,-0.86,0.4,0.46,-0.96,-5.74,5.74,-,-2.14,-,-,-,-1.8,0.13,-0.21,-,5.42,-,-,-,2.66,Upgrade
20,Pretax Income,-6.84,-33.38,-5.76,-0.73,26.84,47.84,21.5,39.99,-,64.6,101.67,70.37,71.36,52.29,49.02,26.67,86.73,81.34,74.44,84.4,Upgrade
21,Income Tax Expense,5.06,0.57,2.49,-2.93,2.95,7.28,3.81,4.16,-,15.28,20.74,13.57,17.07,11.46,10.77,0.4,23.07,20.51,18.16,23.88,Upgrade
22,Earnings From Continuing Operations,-11.9,-33.94,-8.26,2.19,23.89,40.56,17.69,35.83,-,49.31,80.94,56.79,54.3,40.83,38.25,26.26,63.67,60.83,56.28,60.52,Upgrade
23,Minority Interest in Earnings,1.89,0.34,-0.46,0.09,0.07,0.11,0.04,0.1,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Net Income,-10.01,-33.61,-8.71,2.28,23.96,40.66,17.73,35.93,-,49.31,80.94,56.79,54.3,40.83,38.25,26.26,63.67,60.83,56.28,60.52,Upgrade
25,Net Income to Common,-10.01,-33.61,-8.71,2.28,23.96,40.66,17.73,35.93,-,49.31,80.94,56.79,54.3,40.83,38.25,26.26,63.67,60.83,56.28,60.52,Upgrade
26,Net Income Growth,-,-,-,-93.64%,-,-17.54%,-78.10%,-36.73%,-,20.78%,111.61%,116.24%,-14.71%,-32.88%,-32.03%,-56.60%,35.65%,37.88%,113.63%,257.07%,Upgrade
27,Shares Outstanding (Basic),487,456,461,508,399,530,443,455,-,454,476,285,501,407,425,399,455,404,433,437,Upgrade
28,Shares Outstanding (Diluted),487,456,461,508,399,530,443,455,-,454,476,285,501,407,425,399,455,404,433,437,Upgrade
29,Shares Change (YoY),21.90%,-13.88%,3.94%,11.79%,-,16.67%,-6.91%,59.71%,-,11.49%,12.03%,-28.63%,10.25%,0.96%,-1.83%,-8.64%,6.58%,3.51%,-1.40%,2.60%,Upgrade
30,EPS (Basic),-0.02,-0.07,-0.02,0.00,0.06,0.08,0.04,0.08,-,0.11,0.17,0.20,0.11,0.10,0.09,0.07,0.14,0.15,0.13,0.14,Upgrade
31,EPS (Diluted),-0.02,-0.07,-0.02,0.00,0.06,0.08,0.04,0.08,-,0.11,0.17,0.20,0.11,0.10,0.09,0.07,0.14,0.15,0.13,0.14,Upgrade
32,EPS Growth,-,-,-,-94.31%,-,-29.32%,-76.47%,-60.38%,-,8.32%,88.89%,202.96%,-22.64%,-33.51%,-30.77%,-52.50%,27.27%,33.21%,116.67%,248.01%,Upgrade
33,Free Cash Flow,-49.38,-132.51,-349.72,-267.42,-357.23,-116.09,5.39,38.39,-,6.92,-28.05,-30.28,-8.13,-29.33,2.91,82.78,-73.66,200.61,110.85,89.82,Upgrade
34,Free Cash Flow Per Share,-0.10,-0.29,-0.76,-0.53,-0.89,-0.22,0.01,0.08,-,0.02,-0.06,-0.11,-0.02,-0.07,0.01,0.21,-0.16,0.50,0.26,0.21,Upgrade
35,Dividend Per Share,-,-,-,0.040,-,-,-,0.060,-,-,-,0.076,-,-,-,0.085,-,-,-,0.060,Upgrade
36,Dividend Growth,-,-,-,-33.33%,-,-,-,-21.05%,-,-,-,-10.59%,-,-,-,41.67%,-,-,-,20.00%,Upgrade
37,Gross Margin,5.17%,1.53%,6.78%,7.14%,9.33%,9.96%,8.63%,8.24%,-,15.53%,17.35%,11.88%,16.44%,13.40%,12.40%,4.61%,22.31%,18.15%,22.81%,20.85%,Upgrade
38,Operating Margin,0.70%,-3.22%,-0.91%,1.34%,3.49%,5.18%,3.03%,5.79%,-,11.10%,13.61%,8.76%,9.99%,8.33%,7.94%,4.49%,17.25%,12.78%,15.05%,12.89%,Upgrade
39,Profit Margin,-1.01%,-4.09%,-1.44%,0.36%,3.56%,6.27%,3.04%,5.70%,-,6.72%,11.00%,6.92%,7.81%,6.02%,6.62%,4.42%,11.10%,9.93%,11.39%,8.69%,Upgrade
40,Free Cash Flow Margin,-5.01%,-16.13%,-57.65%,-42.25%,-53.09%,-17.89%,0.92%,6.09%,-,0.94%,-3.81%,-3.69%,-1.17%,-4.32%,0.50%,13.93%,-12.84%,32.74%,22.44%,12.89%,Upgrade
41,EBITDA,25.57,-5.36,-,27.16,42.25,50.95,36.41,55.28,-,100.52,118.84,90.59,87.6,75.02,64,44.78,114.8,96.96,90.2,105.67,Upgrade
42,EBITDA Margin,2.59%,-0.65%,-,4.29%,6.28%,7.85%,6.24%,8.77%,-,13.71%,16.16%,11.03%,12.59%,11.06%,11.07%,7.53%,20.02%,15.83%,18.26%,15.17%,Upgrade
43,D&A For EBITDA,18.71,21.1,-,18.71,18.79,17.36,18.74,18.79,-,19.14,18.7,18.7,18.1,18.54,18.1,18.1,15.85,18.67,15.85,15.85,Upgrade
