,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,null null,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,3302,2524,2483,2591,3029,2927,2899,3165,3058,3087,3598,3487,3584,3505,2990,3128,3523,3771,3418,3145,3500,Upgrade
1,Market Cap Growth,-13.77%,-13.77%,-14.34%,-18.13%,-0.92%,-5.19%,-19.44%,-9.23%,-14.70%,-11.94%,20.36%,11.46%,1.74%,-7.04%,-12.53%,-0.55%,0.67%,6.13%,31.57%,17.07%,49.43%,Upgrade
2,Enterprise Value,4322,3331,3130,2783,3221,3047,2904,2684,2577,2620,3115,2959,3057,3254,2706,2814,3292,3360,3208,3138,3492,Upgrade
3,Last Close Price,7.25,5.53,5.35,5.52,6.45,6.22,6.16,6.66,6.44,6.52,7.61,7.30,7.50,7.33,6.93,7.25,8.07,8.64,7.78,7.13,7.93,Upgrade
4,PE Ratio,-,-,-,-,35.79,24.74,30.73,30.73,18.40,-,14.91,14.97,18.85,21.96,17.69,16.55,17.02,15.63,15.22,15.13,19.67,Upgrade
5,Forward PE,-,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,Upgrade
6,PS Ratio,1.15,0.83,0.91,1.01,1.19,1.15,1.56,1.63,1.46,-,1.21,1.19,1.29,1.38,1.23,1.33,1.55,1.59,1.40,1.31,1.45,Upgrade
7,PB Ratio,1.34,0.98,0.99,1.01,1.17,1.13,1.13,1.24,1.21,-,1.46,1.43,1.52,1.52,1.52,1.62,1.83,1.99,1.84,1.75,2.01,Upgrade
8,P/TBV Ratio,1.25,1.25,1.22,1.24,1.42,1.27,1.27,1.38,1.35,-,1.63,1.59,1.70,1.71,1.75,1.87,2.11,2.30,2.04,1.93,2.23,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-,62.42,177.14,-,-60.44,-,-,-,-,14.71,10.99,-,10.16,21.99,-137.87,Upgrade
10,P/OCF Ratio,131.04,131.04,-21.53,-,-193.16,-,-,16.42,19.61,-,31.96,39.38,-,9.58,12.36,8.24,7.60,-,6.98,10.73,25.69,Upgrade
11,EV/Sales Ratio,1.42,1.09,1.14,1.09,1.27,1.20,1.56,1.38,1.23,-,1.04,1.01,1.10,1.28,1.12,1.19,1.45,1.41,1.31,1.30,1.44,Upgrade
12,EV/EBITDA Ratio,75.35,70.30,-,-,20.54,16.48,20.36,13.96,9.38,-,7.84,7.95,9.64,11.99,9.06,8.78,9.49,8.24,8.75,9.24,11.61,Upgrade
13,EV/EBIT Ratio,-,-200.18,-,-,38.72,27.40,33.09,19.80,11.82,-,9.65,9.93,12.54,16.39,11.87,11.27,11.83,9.84,10.57,11.19,14.28,Upgrade
14,EV/FCF Ratio,-5.41,-,-,-,-,-,-,52.93,149.27,-,-52.32,-,-,-,-,13.24,10.27,-,9.54,21.93,-137.57,Upgrade
15,Debt / Equity Ratio,0.46,0.46,0.39,0.30,0.18,0.10,0.07,0.06,0.04,-,0.02,0.01,0.01,-,-,-,0.00,-,0.00,0.01,0.05,Upgrade
16,Debt / EBITDA Ratio,20.80,11.67,-,-,4.34,1.58,0.87,1.01,0.42,-,0.14,0.07,0.07,-,-,-,0.00,-,0.01,0.07,0.22,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-,2.91,5.37,-,-0.97,-,-,-,-,-,0.00,-,0.01,0.17,-3.61,Upgrade
18,Asset Turnover,0.83,0.73,-,0.68,0.78,0.81,0.76,-,-,1.00,1.01,1.18,1.12,1.18,1.01,1.07,1.05,1.15,0.95,1.40,Upgrade,
19,Inventory Turnover,9.47,8.90,9.00,-,11.38,12.72,11.01,9.23,-,-,8.73,8.34,10.83,10.18,9.82,8.78,10.15,7.84,8.04,5.77,8.97,Upgrade
20,Quick Ratio,0.65,0.65,0.66,0.70,0.97,1.46,1.49,1.77,2.63,-,3.33,3.22,2.91,4.19,3.78,3.34,3.84,4.47,4.71,4.24,2.99,Upgrade
21,Current Ratio,1.03,1.03,1.14,1.07,1.47,2.30,2.35,2.82,3.53,-,4.28,4.18,3.80,5.42,5.09,4.54,4.96,6.02,5.96,5.71,3.97,Upgrade
22,Return on Equity (ROE),-1.87%,-5.34%,-,0.34%,3.72%,6.36%,2.79%,-,-,8.05%,13.48%,9.74%,10.17%,8.39%,7.95%,5.50%,13.55%,13.30%,12.71%,14.07%,Upgrade,
23,Return on Assets (ROA),0.36%,-1.48%,-,0.56%,1.69%,2.61%,1.45%,-,-,6.93%,8.58%,6.46%,6.99%,6.14%,5.02%,2.99%,11.34%,9.15%,8.92%,11.26%,Upgrade,
24,Return on Capital (ROIC),0.47%,-1.93%,-,0.72%,2.10%,3.09%,1.66%,-,-,8.15%,10.30%,7.66%,8.14%,7.26%,5.96%,3.49%,13.15%,10.62%,10.17%,12.45%,Upgrade,
25,Return on Capital Employed (ROCE),-,-0.51%,-,-,2.68%,3.69%,3.02%,5.15%,8.36%,-,12.74%,11.82%,10.00%,8.34%,11.16%,12.47%,13.91%,17.28%,15.66%,14.95%,14.03%,Upgrade
