,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,null null,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,220.75,145.13,86.36,88.77,74.7,57.53,103.7,116.16,-,244.67,164.73,89.69,67.5,110.88,183.31,204.53,231.22,413.85,234.15,191.4,Upgrade
1,Short-Term Investments,32.98,65.87,65.17,54.02,-,-,-,11.26,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Trading Asset Securities,37,-,-,0.01,-,-,39.04,336.18,-,280,350.29,445.72,460,140,100,110,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,290.73,211,151.53,142.8,74.7,57.53,142.74,463.6,-,524.67,515.02,535.41,527.5,250.88,283.31,314.53,231.22,413.85,234.15,191.4,Upgrade
4,Cash Growth,289.21%,266.74%,6.16%,-69.20%,-,-89.03%,-72.29%,-13.41%,-,109.13%,81.79%,70.23%,128.14%,-39.38%,21.00%,64.33%,182.34%,148.20%,58.30%,-20.90%,Upgrade
5,Accounts Receivable,812.93,706.17,670.23,657.68,701.06,634.13,614.95,688.39,-,786.72,838.03,775.13,701.79,692.02,720.94,709.89,739.84,674.01,745.79,751.11,Upgrade
6,Other Receivables,20.82,12.99,13.65,10.71,5.15,4.78,4.75,5.31,-,11.34,8.44,8.37,4.76,6.81,5.31,8.07,6,4.44,5.42,6.51,Upgrade
7,Receivables,833.75,719.16,683.89,718.51,706.21,738.9,619.7,743.98,-,798.07,846.46,783.5,706.56,698.83,726.25,717.96,745.84,678.45,751.21,757.62,Upgrade
8,Inventory,421.48,419.43,299.75,222.4,190.78,192.95,231.65,229.96,-,292.24,275.46,307.71,226.72,230.05,248.75,212.37,234.42,220.14,278.64,250.3,Upgrade
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.63,-,-,-,-,Upgrade
10,Other Current Assets,219.03,245.37,141.74,144.3,260.29,111.68,221.7,116.19,-,86.66,128.06,100.31,137.23,99.57,110.81,88.17,104.6,70.53,63.89,59.61,Upgrade
