,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,14783,12187,11133,20107,21796,35589,33397,37589,9690,6422,10292,Upgrade
1,Market Cap Growth,-39.39%,-39.39%,-48.92%,-43.50%,-34.74%,-5.32%,244.66%,485.28%,-5.85%,-44.76%,9.02%,Upgrade
2,Enterprise Value,14180,12895,10992,19665,21117,34192,31521,36388,8790,5115,6752,Upgrade
3,Last Close Price,5.55,4.24,3.83,6.81,7.35,11.87,10.72,11.97,3.13,2.03,3.17,Upgrade
4,PE Ratio,12.00,10.16,9.81,18.67,20.92,28.34,29.95,45.19,15.90,11.42,12.64,Upgrade
5,Forward PE,10.37,9.53,8.66,15.65,16.12,25.03,25.85,41.22,12.81,9.54,10.73,Upgrade
6,PS Ratio,0.87,0.75,0.70,1.35,1.49,2.63,2.72,3.62,1.00,0.69,1.12,Upgrade
7,PB Ratio,1.39,1.20,1.13,2.12,2.32,3.65,3.41,4.09,1.12,0.83,1.32,Upgrade
8,P/TBV Ratio,1.44,1.44,1.38,2.61,2.88,4.47,4.18,5.09,1.42,1.10,1.75,Upgrade
9,P/FCF Ratio,9.21,7.60,11.66,24.79,97.53,-,-,67.05,-,11.87,13.51,Upgrade
10,P/OCF Ratio,6.25,6.25,8.05,16.83,33.72,-,38.79,42.76,25.49,9.29,11.82,Upgrade
11,PEG Ratio,0.66,0.55,0.60,0.63,0.75,1.07,0.79,2.59,1.25,0.99,0.69,Upgrade
12,EV/Sales Ratio,0.88,0.80,0.70,1.32,1.44,2.52,2.56,3.51,0.91,0.55,0.74,Upgrade
13,EV/EBITDA Ratio,6.62,6.63,5.96,11.43,12.18,17.76,18.45,27.72,8.23,4.86,5.15,Upgrade
14,EV/EBIT Ratio,8.01,7.31,6.61,12.56,13.34,18.80,19.67,30.29,9.04,5.39,5.59,Upgrade
15,EV/FCF Ratio,8.84,8.04,11.52,24.24,94.50,-,-,64.91,-,9.45,8.86,Upgrade
16,Debt / Equity Ratio,0.35,0.35,0.43,0.40,0.43,0.38,0.34,0.28,0.33,0.36,0.36,Upgrade
17,Debt / FCF Ratio,2.21,2.21,4.47,4.70,17.94,-,-,4.56,-,5.15,3.72,Upgrade
18,Return on Capital Employed (ROCE),14.31%,14.48%,13.16%,13.43%,14.22%,14.26%,12.36%,10.72%,8.86%,9.48%,12.49%,Upgrade
19,Earnings Yield,8.12%,9.85%,10.19%,5.36%,4.78%,3.53%,3.34%,2.21%,6.29%,8.76%,7.91%,Upgrade
20,FCF Yield,10.85%,13.17%,8.57%,4.03%,1.03%,-2.47%,1.05%,1.49%,1.39%,8.43%,7.40%,Upgrade
21,Dividend Yield,4.25%,5.45%,5.73%,2.98%,2.69%,2.20%,2.37%,1.56%,4.44%,6.66%,6.14%,Upgrade
22,Buyback Yield / Dilution,-0.99%,0.11%,-2.10%,-2.19%,-0.03%,-1.79%,-3.51%,-2.24%,-0.50%,-5.93%,-12.30%,Upgrade
23,Total Shareholder Return,3.27%,5.55%,3.63%,0.79%,2.66%,0.41%,-1.14%,-0.69%,3.94%,0.72%,-6.16%,Upgrade
