,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,210,325,350,345,385,375,415,325,310,255,340
1,Market Cap Growth,-5.80%,-5.80%,-9.09%,-8.00%,-7.23%,15.38%,33.87%,27.45%,-8.82%,-46.88%,-48.09%
2,Enterprise Value,189,312,294,311,334,322,315,242,239,227,224
3,Last Close Price,0.42,0.65,0.70,0.69,0.77,0.75,0.82,0.64,0.60,0.50,0.65
4,PE Ratio,-,-,-,-24.11,-,83.84,-,12.94,37.07,-,40.27
5,PS Ratio,3.65,5.65,6.05,5.80,5.29,4.84,5.21,2.96,3.84,4.49,3.16
6,PB Ratio,0.88,1.34,1.46,1.33,1.46,1.38,1.46,1.11,1.08,0.93,1.20
7,P/TBV Ratio,1.37,1.37,1.50,1.37,1.51,1.42,1.51,1.15,1.13,0.95,1.22
8,P/FCF Ratio,-,-9.99,-,102.34,-,-9.11,-,6.88,5.22,-5.40,-
9,P/OCF Ratio,-,-10.80,-,59.19,-,-9.34,-,6.75,5.10,-5.41,-
10,EV/Sales Ratio,3.29,5.41,5.08,5.22,4.60,4.15,3.95,2.21,2.96,4.00,2.09
11,EV/EBITDA Ratio,-,-11.95,-,-20.78,-,39.26,-,7.26,19.13,-,13.28
12,EV/EBIT Ratio,-,-,-,-19.65,-,41.06,-,7.86,24.01,-,16.28
13,EV/FCF Ratio,-5.81,-9.57,-,92.15,-,-7.81,-,5.13,4.03,-4.81,-
14,Debt / Equity Ratio,0.20,0.20,0.22,0.16,0.20,0.18,0.24,0.31,0.30,0.29,0.22
15,Debt / FCF Ratio,-,-1.52,-,12.28,-,-1.21,-,1.94,1.44,-1.66,-
16,Return on Capital Employed (ROCE),-,-,-,-5.46%,-,2.56%,-,8.84%,2.90%,-,4.53%
17,Earnings Yield,-14.11%,-9.12%,-7.68%,-4.15%,-2.15%,1.19%,2.03%,7.73%,2.70%,-1.11%,2.48%
18,FCF Yield,-15.50%,-10.01%,-3.12%,0.98%,-4.48%,-10.98%,-5.75%,14.54%,19.16%,-18.51%,-42.88%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-1.60%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-1.60%,
