,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1747,1514,1677,1817,1817,2073,1840,3121,3354,3121,4100
1,Market Cap Growth,-16.67%,-16.67%,-7.69%,-12.36%,-1.27%,-33.58%,-45.14%,0%,-18.18%,-29.47%,-33.83%
2,Last Close Price,0.38,0.33,0.36,0.39,0.39,0.45,0.40,0.67,0.72,0.67,0.81
3,PE Ratio,11.63,9.15,-,1.81,5.73,-,3.20,5.04,4.50,3.35,5.52
4,PS Ratio,2.11,1.83,1.50,0.75,1.52,-9.05,2.64,-117.64,5.08,1.30,2.10
5,PB Ratio,0.14,0.13,0.14,0.15,0.15,0.17,0.14,0.25,0.28,0.28,0.37
6,P/FCF Ratio,16.10,13.96,-,-,-0.43,-,-,-,12.54,-,6.67
7,P/OCF Ratio,11.15,11.15,-,-,-0.43,-,-,-,11.88,-,6.59
8,Debt / Equity Ratio,0.05,0.05,0.09,0.07,0.19,0.20,0.15,0.15,0.01,0.03,0.03
9,Debt / FCF Ratio,5.72,5.72,-,-,-0.55,-,-,-,0.45,-,0.58
10,Earnings Yield,9.48%,10.93%,10.42%,55.29%,17.45%,-22.98%,31.25%,19.82%,22.23%,29.87%,18.12%
11,FCF Yield,6.21%,7.17%,-89.23%,-22.51%,-233.49%,-266.81%,-116.96%,-22.95%,7.97%,13.28%,14.99%
