,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,65802,28086,32099,28889,32901,32099,81852,39852,33600,30475,48056,Upgrade
1,Market Cap Growth,-2.78%,-2.78%,-2.44%,-10.00%,-59.80%,-19.45%,143.60%,30.77%,-30.08%,-42.65%,-13.99%,Upgrade
2,Last Close Price,0.82,0.35,0.40,0.36,0.41,0.40,1.02,1.02,0.86,0.77,1.21,Upgrade
3,PE Ratio,5.32,2.34,29.13,-,-,-,176.19,209.32,-,-31.39,-,Upgrade
4,PS Ratio,6.73,3.11,2.90,-3.37,-0.95,5.36,2.84,3.02,-,0.77,0.97,Upgrade
5,PB Ratio,1.86,0.50,0.61,0.68,0.57,0.41,0.64,0.50,0.44,0.17,0.26,Upgrade
6,P/FCF Ratio,0.89,0.38,1.55,0.66,-0.85,-,0.71,1.10,-,0.30,0.53,Upgrade
7,P/OCF Ratio,0.37,0.37,1.51,0.66,-0.87,-,0.70,1.09,-,0.30,0.52,Upgrade
8,Debt / Equity Ratio,16.38,16.38,18.01,21.35,16.53,12.76,10.44,17.19,18.19,6.83,7.08,Upgrade
9,Debt / FCF Ratio,12.49,12.49,45.87,20.85,-24.59,-,11.49,37.54,-,12.34,14.41,Upgrade
10,Earnings Yield,19.46%,46.26%,6.66%,-50.08%,-92.97%,-64.37%,2.40%,2.38%,-,-0.36%,5.34%,Upgrade
11,FCF Yield,112.86%,264.42%,64.71%,150.62%,-117.22%,12.90%,141.63%,90.88%,-,334.68%,187.06%,Upgrade
12,Buyback Yield / Dilution,-,-,-,-103.05%,-105.39%,-,-,-,-,-,Upgrade,
13,Total Shareholder Return,-,-,-,-103.05%,-105.39%,-,-,-,-,-,Upgrade,
