,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6046,1878,1700,1692,2147,1927,2014,1740,1564,1855,2183,2550,2959,1867,2269,-,-,-,-,-
1,Market Cap Growth,-2.52%,-2.52%,-15.63%,-2.78%,37.26%,3.85%,-7.74%,-31.75%,-47.13%,-0.63%,-3.79%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6370,2198,1983,1856,2312,2043,2186,1908,1732,1940,2273,2463,2873,1674,2287,-,-,-,-,-
3,Last Close Price,68.95,24.64,22.19,21.88,27.77,24.92,25.84,22.32,20.07,23.80,27.53,32.15,37.31,23.54,28.29,-,-,-,-,-
4,PE Ratio,198.29,70.92,63.18,69.50,56.95,52.21,50.42,31.44,34.55,32.77,35.08,43.87,47.06,27.17,34.67,-,-,-,-,-
5,Forward PE,-,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,15.19,16.19,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.79,1.72,1.57,1.64,2.17,1.99,2.06,1.71,1.50,1.74,2.12,2.62,3.30,2.29,3.16,-,-,-,-,-
7,PB Ratio,7.35,2.69,2.46,2.40,3.06,2.77,2.87,2.49,2.30,2.90,3.28,3.95,4.65,3.01,3.62,-,-,-,-,-
8,P/TBV Ratio,2.94,2.94,2.69,2.63,3.35,3.03,3.13,2.73,2.55,3.24,3.48,4.20,4.96,3.21,3.86,-,-,-,-,-
9,P/FCF Ratio,-,-16.76,-,-,-,-,-47.07,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,68.30,68.30,219.67,-,15.50,10.99,12.79,15.28,22.12,-,-64.30,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.83,2.01,1.83,1.80,2.34,2.11,2.24,1.88,1.66,1.82,2.20,2.53,3.21,2.05,3.19,-,-,-,-,-
12,EV/EBITDA Ratio,81.33,27.87,25.84,25.81,35.72,37.20,44.47,30.66,-,23.95,27.17,31.99,35.82,18.98,26.50,-,-,-,-,-
13,EV/EBIT Ratio,194.06,59.08,54.29,53.88,-,100.62,122.66,57.38,-,33.12,36.12,41.49,44.71,22.63,31.64,-,-,-,-,-
14,EV/FCF Ratio,-56.83,-19.61,-,-,-,-,-51.08,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.55,0.55,0.55,0.49,0.42,0.41,0.41,0.44,0.47,0.31,0.28,0.19,0.05,0.07,0.28,0.22,0.22,-,0.17,0.17
16,Debt / EBITDA Ratio,4.89,3.15,4.15,3.93,10.82,2.54,3.96,5.22,-,2.16,1.48,1.73,0.68,0.45,1.89,0.73,0.85,-,0.60,0.60
17,Debt / FCF Ratio,-,-3.42,-,-,-,-,-6.75,-,-,-,-,-,-,-,-,-,-,-,14.73,29.45
18,Asset Turnover,0.80,0.89,0.82,0.79,0.82,0.79,0.73,0.79,0.99,1.08,1.04,1.08,0.93,-,-,-,-,1.11,-,
19,Inventory Turnover,3.93,3.51,4.11,3.67,3.98,3.89,3.53,2.76,2.85,3.34,3.42,3.15,3.62,3.75,-,-,-,-,4.02,-
20,Quick Ratio,0.97,0.97,1.01,1.08,1.23,1.54,1.65,1.86,1.41,0.69,0.87,0.84,0.99,1.19,1.46,-,0.88,-,1.04,1.04
21,Current Ratio,1.81,1.81,1.82,2.02,2.25,2.49,2.58,3.24,2.67,1.42,1.62,1.80,2.16,2.06,1.92,-,1.33,-,1.64,1.64
22,Return on Equity (ROE),4.74%,4.06%,3.45%,2.93%,4.94%,2.58%,11.27%,2.63%,7.16%,12.15%,5.83%,9.97%,11.09%,13.93%,20.15%,-,-,18.18%,-,
23,Return on Assets (ROA),3.79%,1.75%,2.35%,-1.02%,3.91%,1.46%,1.32%,-2.92%,3.99%,5.37%,3.38%,1.37%,5.40%,-,-,-,-,8.20%,-,
24,Return on Capital (ROIC),4.81%,2.22%,3.01%,-1.32%,5.07%,1.84%,1.63%,-3.72%,5.20%,7.02%,4.54%,1.94%,7.44%,8.38%,13.13%,-,-,12.51%,-,
25,Return on Capital Employed (ROCE),3.17%,3.59%,3.56%,3.34%,-,2.00%,1.75%,3.29%,-,8.55%,8.84%,8.58%,9.42%,11.10%,10.75%,-,20.79%,-,10.57%,5.28%
26,Earnings Yield,0.44%,1.41%,1.58%,1.44%,1.76%,1.92%,1.98%,3.18%,2.89%,3.05%,2.85%,2.28%,2.13%,3.68%,2.88%,-,-,-,-,-
