,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,58.42,60.38,63.3,51.17,73.01,72.14,137.88,29.73,27.7,99.5,35.51,16.69,56.36,369.89,-,44.11,-,27.06,27.06
1,Trading Asset Securities,-,-,-,40.04,50.07,100.18,-,130.21,-,-,-,-,75.18,-,-,-,-,1.71,1.71
2,Cash & Short-Term Investments,58.42,60.38,63.3,91.22,123.08,172.31,137.88,159.93,27.7,99.5,35.51,16.69,131.54,369.89,44.11,44.11,-,28.77,28.77
3,Cash Growth,-52.54%,-64.96%,-54.09%,-42.97%,344.41%,73.18%,288.33%,858.40%,-78.95%,-73.10%,-19.50%,-62.17%,-,1185.66%,53.31%,-,-,-,-
4,Accounts Receivable,264.19,277.06,257.24,232.6,247.18,259.68,246.08,201.94,246.38,247.18,231.89,222.2,213.45,207.08,-,162.7,-,144.01,144.01
5,Other Receivables,0.89,1.06,0.87,0.65,15.61,15.14,0.69,0.52,0.57,0.52,0.66,2.53,0.32,0.34,-,0.17,-,0.15,0.15
6,Receivables,265.08,278.12,258.11,233.25,262.79,274.82,246.77,202.46,246.95,247.7,232.55,224.72,213.77,207.41,-,162.87,-,144.16,144.16
7,Inventory,267.73,254.7,259.41,245.86,218.97,231.56,266.62,309.43,284.52,286.2,293.37,274.05,240.16,172.17,-,100.25,-,95.66,95.66
8,Prepaid Expenses,-,-,-,2.73,-,4.84,-,2.28,-,0.38,-,-,-,-,-,-,-,-,-
9,Other Current Assets,11.66,17.07,20.19,20.26,18.9,17.53,19.14,12.62,9.31,12.21,12.39,12.04,14.19,11.39,-,6.65,-,2.81,2.81
10,Total Current Assets,602.89,610.27,601,593.32,623.73,701.06,670.41,686.73,568.48,645.99,573.82,527.5,599.67,760.87,-,313.88,-,271.4,271.4
11,"Property, Plant & Equipment",660.51,651.67,630.79,573.98,524.76,467.6,434.98,444.16,407.04,394.93,376.88,331.06,281.92,249.1,-,167.3,-,122.85,122.85
12,Other Intangible Assets,59.59,60.1,60.61,61.01,59.93,60.4,60.86,66.58,67.02,38.79,39.13,39.38,39.51,39.83,-,39.77,-,33.51,33.51
13,Long-Term Deferred Tax Assets,19.88,19.03,17.42,16.07,14.56,13.23,11.59,13.08,15.67,14.79,14.11,13.22,12.55,11.77,-,7.61,-,7,7
14,Long-Term Deferred Charges,1.63,1.17,1.46,1.77,2.11,2.44,2.74,2.94,3.01,4.18,1,0.97,0.41,2.61,-,4,-,0.76,0.76
15,Other Long-Term Assets,24.84,18.45,19.38,43.89,42.94,47.3,38.31,32.38,23.96,11.88,6.44,14.36,23.52,4.56,-,9.5,-,1.13,1.13
16,Total Assets,1369,1361,1331,1290,1268,1292,1219,1246,1085,1111,1011,926.49,957.58,1069,-,542.07,-,436.64,436.64
