,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,298.86,274.85,267.52,209.07,281.13,229.04,225.95,183.32,299.83,260.93,252.94,208.74,256.42,208.06,176.19,153.05,147,116.76,116.76
1,Other Revenue,-26.03,26.03,-,43.28,-19.13,19.13,-,47.35,-26.79,26.79,-,46.19,-20.6,20.6,-,21.52,-8.57,4.29,4.29
2,Revenue,272.83,300.87,267.52,252.35,262,248.17,225.95,230.68,273.03,287.72,252.94,254.93,235.82,228.65,176.19,174.57,138.43,121.05,121.05
3,Revenue Growth (YoY),4.13%,21.23%,18.40%,9.40%,-4.04%,-13.74%,-10.67%,-9.51%,15.78%,25.83%,43.56%,46.03%,70.35%,88.90%,45.56%,-,-,-,-
4,Cost of Revenue,229.35,263.97,232.06,231.03,218.82,219.87,198.64,211.25,238.17,247.77,223.53,232.56,193.41,188.32,141.38,137.73,108.13,96.17,96.17
5,Gross Profit,43.48,36.9,35.46,21.32,43.18,28.31,27.31,19.42,34.87,39.95,29.41,22.37,42.41,40.33,34.81,36.84,30.3,24.87,24.87
6,"Selling, General & Admin",16.1,14.97,11.33,14.39,11.45,11.36,9.27,14.16,11.42,11,9.46,3.8,14.87,11.64,10.33,9.81,8.16,7.56,7.56
7,Research & Development,10.05,10.44,9.18,11.52,11.97,10.36,8.88,9.99,9.52,9.49,7.58,7.38,6.89,8.08,6.77,5.45,4.51,3.83,3.83
8,Other Operating Expenses,-2.81,1.04,1.35,2.06,-2.17,-0.41,0.88,11.05,-4.04,-4.17,-0.25,5.04,-2.28,-0.3,-1.18,6.15,-2.83,-0.57,-0.57
9,Operating Expenses,22.78,27.47,23.15,26.56,23.16,20.95,20.78,33.03,17.33,17.17,16.31,17.19,20.53,21.12,16.83,21.94,10.09,10.55,10.55
10,Operating Income,20.7,9.43,12.31,-5.23,20.02,7.35,6.53,-13.6,17.54,22.78,13.1,5.18,21.89,19.21,17.98,14.9,20.21,14.33,14.33
11,Interest Expense,-3.58,-3.62,-3.08,-2.2,-1.33,-1.49,-1.61,-2.2,-1.24,-1.22,-0.88,-0.34,-0.55,-1.29,-0.68,-0.86,-0.22,-0.44,-0.44
12,Interest & Investment Income,0.06,0.07,0.09,0.16,0.19,0.05,0.04,0.08,0.11,0.06,0.06,0.52,0.51,0.26,0.03,0.04,0.09,0.14,0.14
13,Currency Exchange Gain (Loss),0.3,-0.3,-,0.51,-0.11,0.11,-,3.09,-0.66,0.66,-,-1.37,0.47,-0.47,-,-0.87,-0.29,0.15,0.15
14,Other Non Operating Income (Expenses),-0.07,0.52,-0.68,1.26,-1.32,-0.57,-0.59,-1.56,1.46,0.33,-0.31,0.58,-0.64,0.09,-0.36,0.53,-0.4,-0.25,-0.25
15,EBT Excluding Unusual Items,17.42,6.11,8.63,-5.5,17.45,5.46,4.36,-14.19,17.2,22.62,11.97,4.57,21.68,17.8,16.96,13.74,19.38,13.93,13.93
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,0.1,0.18,-,-,-,0,0.01,0.01
17,Gain (Loss) on Sale of Assets,-2.17,0.01,0.01,0.33,-,-,17.4,-0.03,-,0.05,-,0.05,-0.33,-0,-,-0.13,-0.02,-0.01,-0.01
18,Asset Writedown,-5.1,3.14,-3.41,6.96,-7.41,-0.44,0.21,3.32,-3.45,0.92,-0.93,1.27,-1.42,0.56,-0.57,1.98,-2.05,-,-
19,Other Unusual Items,0.09,0.29,2.08,2.58,-,-,-,11.45,-0.29,-,-,11.59,-,-,-,8.62,-,-,-
20,Pretax Income,10.24,9.55,7.31,4.37,10.04,5.02,21.98,0.55,13.47,23.58,11.04,17.58,20.11,18.35,16.39,24.2,17.31,13.93,13.93
21,Income Tax Expense,2,2.48,1.25,-0.76,1.4,0.5,2.56,-3.78,1.78,3.66,1.7,1.91,2.81,2.55,2.28,2.71,3.27,2.81,2.81
22,Net Income,8.23,7.08,6.05,5.13,8.64,4.52,19.42,4.33,11.69,19.92,9.34,15.67,17.3,15.8,14.11,21.49,14.04,11.11,11.11
23,Net Income to Common,8.23,7.08,6.05,5.13,8.64,4.52,19.42,4.33,11.69,19.92,9.34,15.67,17.3,15.8,14.11,21.49,14.04,11.11,11.11
24,Net Income Growth,-4.76%,56.55%,-68.83%,18.44%,-26.05%,-77.31%,107.78%,-72.36%,-32.45%,26.05%,-33.79%,-27.12%,23.24%,42.20%,26.99%,-,-,-,-
25,Shares Outstanding (Basic),74,79,76,75,78,77,78,75,78,75,79,91,77,57,58,59,58,57,57
26,Shares Outstanding (Diluted),74,79,76,76,78,87,78,75,78,75,79,91,77,57,58,59,58,57,57
27,Shares Change (YoY),-4.95%,-9.86%,-2.59%,0.87%,0.65%,15.97%,-1.26%,-16.96%,1.35%,31.21%,35.88%,54.25%,33.20%,0.15%,0.92%,-,-,-,-
28,EPS (Basic),0.11,0.09,0.08,0.07,0.11,0.06,0.25,0.06,0.15,0.26,0.12,0.17,0.23,0.28,0.24,0.37,0.24,0.19,0.19
29,EPS (Diluted),0.11,0.09,0.08,0.07,0.11,0.05,0.25,0.06,0.15,0.26,0.12,0.17,0.23,0.28,0.24,0.37,0.24,0.19,0.19
