,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,287417,220721,90483,145513,215627,171636,69047,106368,182624,124781,95602,120457,153149,90817,72729,100770,149823,98042,61450,52207,Upgrade
1,Revenue Growth (YoY),33.29%,28.60%,31.05%,36.80%,18.07%,37.55%,-27.78%,-11.70%,19.25%,37.40%,31.45%,19.54%,2.22%,-7.37%,18.35%,93.02%,28.43%,14.44%,1.31%,-26.25%,Upgrade
2,Cost of Revenue,138798,151321,68986,114136,142243,150397,62151,93065,134558,99174,72151,110611,100894,62278,63362,92091,109286,84733,57599,43786,Upgrade
3,Gross Profit,148619,69401,21497,31377,73384,21239,6896,13303,48066,25608,23451,9846,52255,28539,9367,8678,40536,13308,3851,8422,Upgrade
4,"Selling, General & Admin",20716,13626,10893,13448,21541,13694,8457,9495,14786,10342,5504,9641,12223,9065,7286,8383,10603,8226,4033,7260,Upgrade
5,Other Operating Expenses,14.96,-,-,-,10.12,-,-,-,46.65,-,-,-,35.75,-,-,-,45.91,-,-,-,Upgrade
6,Operating Expenses,20731,13626,10893,13448,21552,13694,8457,9495,14833,10342,5504,9641,12259,9065,7286,8383,10649,8226,4033,7260,Upgrade
7,Operating Income,127888,55775,10604,17929,51833,7545,-1561,3808,33233,15266,17947,204.63,39996,19474,2081,295.8,29887,5083,-181.58,1162,Upgrade
8,Interest Expense,-1538,-2283,-2985,-3716,-4359,-3727,-3625,-3456,-3122,-2858,-3140,-3007,-1589,-1498,-1636,-1558,-753.81,-,-4.73,-,Upgrade
