,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,190.88,227.25,213.85,222.25,183.34,150.64,171.88,93.73,107.83,76.01
1,Short-Term Investments,44.49,39.45,1.37,7.66,-,-,-,-,-,-
2,Trading Asset Securities,1.55,1.47,1.64,1.71,-,-,-,-,-,-
3,Cash & Short-Term Investments,236.92,268.18,216.85,231.63,183.34,150.64,171.88,93.73,107.83,76.01
4,Cash Growth,9.25%,15.78%,18.28%,53.76%,6.67%,60.72%,59.40%,23.31%,22.95%,-26.81%
5,Receivables,225.55,208.84,182.07,172.3,131.58,134.78,144.89,128.94,105.94,94.7
6,Inventory,2.33,2.94,2.42,3.37,-,2.17,-,-,-,-
7,Other Current Assets,51.87,44.15,56.09,23.61,56.17,43.09,18.95,26.36,17.7,17.58
8,Total Current Assets,516.66,524.1,457.43,430.9,371.1,330.68,335.72,249.03,231.47,188.3
9,"Property, Plant & Equipment",302.91,309.88,276.53,270.8,259,272.37,233.79,214.08,170.6,177.58
10,Long-Term Investments,4.65,4.71,5.97,5.17,7.69,7.33,-,-,0.41,0.81
11,Goodwill,33.25,34.02,33.26,30.34,28.71,30.35,21.55,20.94,18.13,18.45
12,Other Intangible Assets,2.1,2.59,3.99,3.9,2.51,2.96,3.27,3.64,3.44,3.81
13,Long-Term Deferred Tax Assets,2.22,2.25,3.83,1.11,0.59,0.59,0.82,0.62,0.3,0.3
14,Other Long-Term Assets,18.35,16.98,20.58,17.87,27.86,21.86,26.22,33.94,23.7,25.25
15,Total Assets,880.14,894.54,801.59,760.09,697.44,666.13,621.38,522.24,448.04,414.49
16,Accounts Payable,39.03,51.91,36.2,43.62,34.49,39.51,43.2,41.87,47.32,45.46
17,Accrued Expenses,-,-,28.92,-,32.1,38.87,27.67,46.91,22.34,20.88
18,Current Portion of Long-Term Debt,54.52,97.14,78.1,26.45,86.48,77.39,50.17,29.69,60.73,55.13
19,Current Portion of Leases,16.2,17.86,10.51,13.15,10.78,11.8,12.08,15.85,9.06,13.68
20,Current Income Taxes Payable,20.17,31.59,28.12,22.88,16.38,11.81,8.55,11.59,4.39,1.49
21,Current Unearned Revenue,8.78,8.03,4.73,3.57,2.76,2.79,1.9,4.73,3.96,3.38
22,Other Current Liabilities,64.63,70.43,32.69,71.89,10.77,15.62,14.16,16.96,21.68,21.94
23,Total Current Liabilities,203.33,276.96,219.27,181.56,193.76,197.8,157.72,167.6,169.48,161.97
24,Long-Term Debt,-,-,-,50.86,-,3.46,40.75,10.49,8.14,8.14
25,Long-Term Leases,36.9,43.79,27.8,36.74,26.5,33.58,17.97,15.64,14.78,17.95
26,Long-Term Deferred Tax Liabilities,1.66,3.78,2.82,2.8,4.41,4.69,4.64,4.6,5.16,5.16
27,Other Long-Term Liabilities,0.53,0.72,-,1.1,-,-,-,-,-,-
28,Total Liabilities,242.41,325.26,249.89,273.06,224.66,239.53,221.07,198.32,197.56,193.22
29,Common Stock,0.21,0.21,0.19,0.19,0.17,0.17,0.16,0.16,0.13,0.13
30,Retained Earnings,126.66,75.83,151.47,103.29,150.73,114.7,227.14,178.58,147.33,126.06
31,Comprehensive Income & Other,339.97,348.46,273.2,274.79,234.66,232.77,123.29,118.83,93.84,96.76
32,Total Common Equity,466.83,424.5,424.86,378.27,385.56,347.64,350.59,297.57,241.29,222.95
33,Minority Interest,170.89,144.78,126.84,108.76,87.22,78.96,49.72,26.35,9.19,-1.68
34,Shareholders' Equity,637.73,569.28,551.7,487.03,472.78,426.6,400.31,323.92,250.48,221.27
35,Total Liabilities & Equity,880.14,894.54,801.59,760.09,697.44,666.13,621.38,522.24,448.04,414.49
36,Total Debt,107.61,158.8,116.41,127.21,123.75,126.23,120.97,71.66,92.71,94.9
37,Net Cash (Debt),129.31,109.38,100.44,104.42,59.59,24.41,50.92,22.06,15.12,-18.9
38,Net Cash Growth,28.74%,4.75%,68.56%,327.85%,17.03%,10.62%,236.73%,-,-,-
39,Net Cash Per Share,0.22,0.19,0.17,0.15,0.10,0.04,0.09,0.04,0.03,-0.03
40,Filing Date Shares Outstanding,596.19,595.79,591.35,590.31,590.31,590.31,590.16,585.64,585.64,585.64
41,Total Common Shares Outstanding,596.19,595.79,591.35,590.31,590.31,590.31,590.16,585.64,585.64,585.64
42,Working Capital,313.33,247.14,238.17,249.34,177.34,132.88,178,81.43,62,26.33
43,Book Value Per Share,0.78,0.71,0.72,0.64,0.65,0.59,0.59,0.51,0.41,0.38
44,Tangible Book Value,431.49,387.9,387.61,344.02,354.34,314.33,325.76,272.99,219.73,200.7
45,Tangible Book Value Per Share,0.72,0.65,0.66,0.58,0.60,0.53,0.55,0.47,0.38,0.34
46,Buildings,-,94.76,-,95.74,-,104.63,-,102.43,-,86.14
47,Machinery,-,223.08,-,182.17,-,173.21,-,137.16,-,95.91
48,Construction In Progress,-,43.8,-,22.71,-,4.84,-,3.62,-,0.85
49,Leasehold Improvements,-,57.41,-,47.91,-,44.33,-,34.69,-,24.94
