,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1325,841,856,753,615,678,767,998,468,440,484
1,Market Cap Growth,11.71%,11.71%,39.22%,10.97%,-19.88%,-32.03%,63.95%,126.74%,-3.31%,-16.03%,-15.97%
2,Enterprise Value,1367,876,882,757,642,733,766,1004,461,459,507
3,Last Close Price,2.24,1.41,1.42,1.23,0.99,1.07,1.20,1.54,0.71,0.67,0.71
4,PE Ratio,15.84,10.18,10.69,9.19,8.86,12.75,15.40,16.71,9.66,13.71,20.02
5,PS Ratio,1.06,0.69,0.77,0.74,0.65,0.79,0.94,1.33,0.77,0.94,1.22
6,PB Ratio,2.86,1.32,1.50,1.36,1.26,1.43,1.80,2.49,1.44,1.76,2.19
7,P/TBV Ratio,1.95,1.95,2.21,1.94,1.79,1.91,2.44,3.06,1.71,2.00,2.41
8,P/FCF Ratio,13.47,8.55,9.14,5.42,4.85,14.88,-,-,6.68,5.75,17.82
9,P/OCF Ratio,4.67,4.67,4.89,3.99,3.49,14.88,-,-,4.43,3.84,6.86
10,EV/Sales Ratio,1.12,0.72,0.79,0.74,0.68,0.85,0.94,1.33,0.76,0.98,1.28
11,EV/EBITDA Ratio,5.78,4.06,4.22,3.49,3.85,5.64,5.45,7.92,4.41,5.28,7.66
12,EV/EBIT Ratio,7.69,4.93,5.38,4.57,5.20,7.42,6.80,9.95,5.63,7.22,10.73
13,EV/FCF Ratio,13.90,8.91,9.42,5.45,5.07,16.08,-,-,6.59,6.00,18.69
14,Debt / Equity Ratio,0.17,0.17,0.28,0.21,0.26,0.26,0.30,0.30,0.22,0.37,0.43
15,Debt / FCF Ratio,1.09,1.09,1.70,0.84,1.00,2.72,-,-,1.02,1.21,3.49
16,Return on Capital Employed (ROCE),26.25%,26.25%,26.57%,28.41%,21.36%,19.60%,24.07%,21.75%,23.09%,22.83%,18.72%
17,Earnings Yield,6.23%,9.82%,9.35%,10.88%,11.29%,7.84%,6.50%,5.98%,10.36%,7.29%,4.99%
18,FCF Yield,7.42%,11.70%,10.94%,18.45%,20.61%,6.72%,-,-,14.97%,17.40%,5.61%
19,Dividend Yield,0.78%,-,2.83%,3.76%,4.10%,2.80%,2.54%,1.10%,-,-,-
20,Buyback Yield / Dilution,7.34%,0.45%,13.33%,-0.50%,-15.17%,-0.48%,-0.35%,0.98%,0.32%,0.06%,0.14%
21,Total Shareholder Return,8.12%,0.45%,16.16%,3.26%,-11.07%,2.32%,2.20%,2.08%,0.32%,0.06%,0.14%
