,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-17.24,17.24,-,-14.33,14.33,-
1,Revenue,656.91,661.59,471.65,587.44,531.79,361.04
2,Revenue Growth (YoY),23.53%,83.24%,-,-,-,-
3,Cost of Revenue,555.3,549.74,392.54,464.36,439.12,294.25
4,Gross Profit,101.61,111.85,79.11,123.08,92.68,66.79
5,"Selling, General & Admin",23,23.28,17.91,21.26,16.41,14.63
6,Research & Development,20.55,22.96,20.69,19.84,19.91,14.08
7,Other Operating Expenses,-3.12,3.25,-0.22,2.48,-1.2,0.89
8,Operating Expenses,41.86,55.13,37.6,45.06,42.16,27.21
9,Operating Income,59.75,56.72,41.51,78.03,50.52,39.57
10,Interest Expense,-0.06,-0.08,-0.05,-0.05,-0.06,-0.06
11,Interest & Investment Income,4.88,3.29,1.77,1,1.04,1.09
12,Currency Exchange Gain (Loss),-2.87,2.87,-,-2.37,2.37,-
13,Other Non Operating Income (Expenses),-2.56,-1.63,1.63,2.97,3.08,-3.29
14,EBT Excluding Unusual Items,59.13,61.17,44.85,79.58,56.96,37.31
15,Gain (Loss) on Sale of Investments,-,0.33,-0.33,-0.35,-0.21,-0.39
16,Gain (Loss) on Sale of Assets,-0.05,-0.26,-0.14,-0.17,-0.05,-
17,Asset Writedown,-5.29,-0.85,0.85,-6.06,1.97,-1.97
18,Other Unusual Items,-3.8,3.59,-0.02,-0.2,0.2,-
19,Pretax Income,49.99,63.99,45.22,72.8,58.86,34.95
20,Income Tax Expense,7.03,8.44,5.43,9.69,7.41,3.61
21,Net Income,42.97,55.55,39.79,63.11,51.46,31.34
22,Net Income to Common,42.97,55.55,39.79,63.11,51.46,31.34
23,Net Income Growth,-16.50%,77.26%,-,-,-,-
24,Shares Outstanding (Basic),191,193,147,147,141,149
25,Shares Outstanding (Diluted),191,193,147,147,141,149
26,Shares Change (YoY),35.51%,29.42%,-,-,-,-
27,EPS (Basic),0.22,0.29,0.27,0.43,0.36,0.21
28,EPS (Diluted),0.22,0.29,0.27,0.43,0.36,0.21
29,EPS Growth,-38.38%,36.97%,-,-,-,-
30,Free Cash Flow,17.62,25.91,-78,21.17,27.87,39.37
31,Free Cash Flow Per Share,0.09,0.13,-0.53,0.14,0.20,0.26
32,Gross Margin,15.47%,16.91%,16.77%,20.95%,17.43%,18.50%
33,Operating Margin,9.10%,8.57%,8.80%,13.28%,9.50%,10.96%
34,Profit Margin,6.54%,8.40%,8.44%,10.74%,9.68%,8.68%
35,Free Cash Flow Margin,2.68%,3.92%,-16.54%,3.60%,5.24%,10.91%
36,EBITDA,65.81,63.19,47.57,83.93,56.65,45.48
37,EBITDA Margin,10.02%,9.55%,10.09%,14.29%,10.65%,12.60%
38,D&A For EBITDA,6.06,6.47,6.06,5.91,6.13,5.91
39,EBIT,59.75,56.72,41.51,78.03,50.52,39.57
40,EBIT Margin,9.10%,8.57%,8.80%,13.28%,9.50%,10.96%
41,Effective Tax Rate,14.05%,13.19%,12.00%,13.31%,12.59%,10.34%
42,Revenue as Reported,656.91,661.59,471.65,587.44,531.79,361.04
