,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,5593,4492,4624,5445,-,-,-
1,Enterprise Value,4325,3179,3309,5017,-,-,-
2,Last Close Price,28.75,23.09,23.44,27.61,-,-,-
3,PE Ratio,25.93,22.30,22.03,29.32,-,-,-
4,Forward PE,28.47,17.36,-,-,-,-,-
5,PS Ratio,2.06,1.89,2.05,2.79,-,-,-
6,PB Ratio,2.85,2.29,2.41,2.84,-,-,-
7,P/TBV Ratio,2.32,2.32,2.44,2.87,-,-,-
8,P/FCF Ratio,91.50,-337.60,-1516.03,-,-,-,-
9,P/OCF Ratio,18.99,30.70,34.48,39.92,-,-,-
10,EV/Sales Ratio,1.83,1.34,1.47,2.57,-,-,-
11,EV/EBITDA Ratio,18.37,12.20,13.17,21.47,-,-,-
12,EV/EBIT Ratio,21.27,13.47,14.59,23.93,-,-,-
13,EV/FCF Ratio,70.76,-238.96,-1084.90,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,0.01,0.01
15,Debt / EBITDA Ratio,0.04,0.03,0.03,0.04,-,0.02,0.03
16,Debt / FCF Ratio,0.14,-0.64,-2.85,-,-,0.08,0.15
17,Asset Turnover,0.95,0.99,-,-,-,-,
18,Inventory Turnover,-,5.80,6.32,-,-,-,-
19,Quick Ratio,2.45,2.45,2.40,2.91,-,1.76,-
20,Current Ratio,2.96,2.96,2.88,3.42,-,2.22,-
21,Return on Equity (ROE),8.86%,11.58%,-,-,23.21%,-,
22,Return on Assets (ROA),5.42%,5.32%,-,-,-,-,
23,Return on Capital (ROIC),7.66%,7.36%,-,-,14.15%,-,
24,Return on Capital Employed (ROCE),10.34%,12.01%,11.81%,10.90%,-,9.67%,-
25,Earnings Yield,3.36%,4.48%,4.54%,3.41%,-,-,-
26,FCF Yield,1.09%,-0.30%,-0.07%,0.19%,-,-,-
27,Payout Ratio,31.99%,139.82%,-,-,-,-,-
28,Buyback Yield / Dilution,-16.13%,-35.51%,-29.42%,-,-,-,-
29,Total Shareholder Return,-15.05%,-35.51%,-29.42%,-,-,-,-
