,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,798.41,878.1,1288,-,433.95,-
1,Trading Asset Securities,478,443,35,-,-,-
2,Cash & Short-Term Investments,1276,1321,1323,-,433.95,368.59
3,Cash Growth,194.14%,258.42%,-,-,-,-
4,Accounts Receivable,674.15,659.73,575.01,-,581.72,-
5,Other Receivables,4.56,5.8,6.24,-,1.72,-
6,Receivables,678.72,665.53,581.26,-,583.44,-
7,Inventory,386.06,379.8,315.75,-,264.34,-
8,Other Current Assets,18.81,24.47,18.05,-,5.57,-
9,Total Current Assets,2360,2391,2238,-,1287,-
10,"Property, Plant & Equipment",337.99,301.33,283.37,-,190.44,-
11,Other Intangible Assets,26.39,25.67,25.96,-,17.87,-
12,Long-Term Deferred Tax Assets,11,11.13,9.7,-,10.7,-
13,Long-Term Deferred Charges,1.45,1,1.16,-,2.86,-
14,Other Long-Term Assets,25.19,19.7,20,-,2.34,-
15,Total Assets,2762,2750,2578,-,1512,-
16,Accounts Payable,582.34,565.68,426.42,-,406.75,-
17,Accrued Expenses,49.96,50.4,37.57,-,39.2,-
18,Current Portion of Leases,6.39,6.37,5.16,-,4.21,-
19,Current Income Taxes Payable,11.67,7.2,9.02,-,8.71,-
20,Current Unearned Revenue,5.68,7.2,8.52,-,7.77,-
21,Other Current Liabilities,140.37,192.48,168.51,-,112.89,-
22,Total Current Liabilities,796.41,829.32,655.21,-,579.52,-
23,Long-Term Leases,2.07,2.33,2.46,-,1.48,-
24,Long-Term Deferred Tax Liabilities,0.34,0.58,0.24,-,0.27,-
25,Total Liabilities,798.82,832.24,657.91,-,581.27,-
26,Common Stock,194.53,194.53,194.53,-,145.9,-
27,Additional Paid-In Capital,1160,1159,1158,-,371.43,-
28,Retained Earnings,608.06,548.26,553.02,-,412.91,-
29,Comprehensive Income & Other,0.39,15.43,14.68,-,-,-
30,Shareholders' Equity,1963,1917,1920,-,930.24,843.11
31,Total Liabilities & Equity,2762,2750,2578,-,1512,-
32,Total Debt,8.46,8.7,7.62,-,5.69,6.1
33,Net Cash (Debt),1268,1312,1315,-,428.26,362.5
34,Net Cash Growth,196.07%,262.04%,-,-,-,-
35,Net Cash Per Share,6.62,6.80,8.92,-,3.03,2.43
36,Filing Date Shares Outstanding,194.53,194.53,194.53,147.21,145.9,149.22
37,Total Common Shares Outstanding,194.53,194.53,194.53,147.21,145.9,149.22
38,Working Capital,1564,1562,1582,-,707.78,-
39,Book Value Per Share,10.09,9.86,9.87,-,6.38,5.78
40,Tangible Book Value,1937,1892,1894,-,912.37,827.18
41,Tangible Book Value Per Share,9.96,9.73,9.74,-,6.25,5.67
42,Buildings,-,50.1,-,-,50.1,-
43,Machinery,-,268.68,-,-,251.18,-
44,Construction In Progress,-,122.41,-,-,14.87,-
