,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,520,497,512,615,586,625,712,550,606,440,513,Upgrade
1,Market Cap Growth,-19.15%,-19.15%,-12.70%,-1.67%,-17.63%,13.65%,17.53%,25.06%,17.99%,-45.07%,-55.64%,Upgrade
2,Enterprise Value,214,96,97,234,302,349,357,184,201,16,4,Upgrade
3,Last Close Price,0.78,0.72,0.67,0.78,0.72,0.76,0.84,0.64,0.68,0.48,0.53,Upgrade
4,PE Ratio,-,-,-,13.22,10.98,23.83,-,-,6.88,9.45,-,Upgrade
5,Forward PE,-,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,9.33,Upgrade
6,PS Ratio,0.83,0.79,0.74,0.76,0.55,0.57,0.84,0.69,0.75,0.49,0.49,Upgrade
7,PB Ratio,0.47,0.44,0.43,0.51,0.48,0.53,0.58,0.45,0.48,0.35,0.44,Upgrade
8,P/TBV Ratio,0.45,0.45,0.44,0.52,0.49,0.54,0.59,0.45,0.49,0.36,0.44,Upgrade
9,P/FCF Ratio,-,-,-,4.00,4.71,-16.81,-,-26.61,-,-,-,Upgrade
10,P/OCF Ratio,-,-,-,3.81,4.29,-31.61,-,-45.37,-,-,-,Upgrade
11,PEG Ratio,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,Upgrade
12,EV/Sales Ratio,0.34,0.15,0.14,0.29,0.28,0.32,0.42,0.23,0.25,0.02,0.00,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,19.34,-,-,-,-,-,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,-31.45,-,-,-,-,-,Upgrade
15,EV/FCF Ratio,-3.52,-,-,1.52,2.42,-9.37,-,-8.90,-,-,-,Upgrade
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,Upgrade
17,Debt / FCF Ratio,-,-,-,0.01,0.02,-0.46,-,-0.02,-,-,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,-,-0.86%,-,-,-,-,-,Upgrade
19,Earnings Yield,-2.82%,-2.95%,3.95%,7.57%,9.11%,4.20%,-2.53%,1.29%,14.55%,10.58%,-10.01%,Upgrade
20,FCF Yield,-11.69%,-12.23%,6.58%,25.00%,21.23%,-5.95%,-8.30%,-3.76%,-5.57%,-17.38%,-18.48%,Upgrade
21,Dividend Yield,2.82%,-,2.55%,4.51%,5.25%,2.38%,-,-,4.41%,3.14%,-,Upgrade
22,Buyback Yield / Dilution,0.52%,0.83%,0.20%,-0.58%,-0.66%,-0.39%,0.38%,0.64%,1.14%,1.91%,1.75%,Upgrade
23,Total Shareholder Return,3.34%,0.83%,2.75%,3.92%,4.60%,1.99%,0.38%,0.64%,5.56%,5.05%,1.75%,Upgrade
