,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,326.07,306.24,383.03,422.8,639.18,463.31,379.37,413.16,391.57,508.88,Upgrade
1,Revenue Growth (YoY),-14.87%,-27.57%,-40.07%,-8.74%,68.48%,12.14%,-3.11%,-18.81%,-27.65%,11.50%,Upgrade
2,Cost of Revenue,323.11,298.95,361.21,390.46,581.89,425.43,392.06,395.97,370.51,472.16,Upgrade
3,Gross Profit,2.96,7.29,21.82,32.34,57.29,37.88,-12.69,17.18,21.06,36.72,Upgrade
4,"Selling, General & Admin",43.82,44.08,43.35,48.66,48.55,57.7,42.48,45.6,64.96,72.34,Upgrade
5,Operating Expenses,43.82,44.08,43.35,48.66,48.55,57.7,42.48,45.6,64.96,72.34,Upgrade
6,Operating Income,-40.86,-36.79,-21.53,-16.32,8.73,-19.82,-55.16,-28.42,-43.91,-35.62,Upgrade
7,Interest Expense,-0.1,-0.04,-0.05,-0.06,-0.08,-0.02,-0.01,-0.02,-0.03,-0.02,Upgrade
8,Interest & Investment Income,-,20.49,-,9.06,-,1.96,-,4.43,-,12.56,Upgrade
9,Earnings From Equity Investments,5.78,10.29,13.61,15.06,17.49,14.51,18.28,7.18,6.46,-3.18,Upgrade
10,Currency Exchange Gain (Loss),-,-0.82,-,0.16,-,1.52,-,0.78,-,0.63,Upgrade
11,Other Non Operating Income (Expenses),18.15,-5.17,34.64,35.06,-5.54,13.8,11.52,-102.7,125.59,11.88,Upgrade
12,EBT Excluding Unusual Items,-17.04,-12.04,26.67,42.95,20.61,11.96,-25.38,-118.74,88.11,-13.75,Upgrade
13,Gain (Loss) on Sale of Assets,-,0.17,-,-0.21,-,-0.01,-,0.05,-,-5.26,Upgrade
14,Asset Writedown,-,-2.17,-,-13.03,-,-20.1,-,114.46,-,-5.81,Upgrade
15,Pretax Income,-17.04,-14.04,26.67,29.71,20.61,-8.15,-25.38,-4.23,88.11,-24.81,Upgrade
16,Income Tax Expense,-3.45,-12.04,4.6,4.86,-8.47,-5.76,-7.94,-25.88,29.98,-5.28,Upgrade
17,Earnings From Continuing Operations,-13.58,-2.01,22.06,24.86,29.08,-2.38,-17.44,21.65,58.14,-19.53,Upgrade
18,Net Income to Company,-13.58,-2.01,22.06,24.86,29.08,-2.38,-17.44,21.65,58.14,-19.53,Upgrade
19,Minority Interest in Earnings,0.62,0.32,-0.15,-0.25,-0.28,-0.19,1.98,0.89,7.43,0.53,Upgrade
20,Net Income,-12.97,-1.69,21.91,24.61,28.8,-2.57,-15.46,22.53,65.56,-19,Upgrade
21,Net Income to Common,-12.97,-1.69,21.91,24.61,28.8,-2.57,-15.46,22.53,65.56,-19,Upgrade
22,Net Income Growth,-,-,-23.94%,-,-,-,-,-,-,-,Upgrade
23,Shares Outstanding (Basic),672,675,676,675,673,672,672,674,676,682,Upgrade
24,Shares Outstanding (Diluted),672,675,678,676,674,672,672,674,676,682,Upgrade
25,Shares Change (YoY),-0.83%,-0.20%,0.58%,0.66%,0.39%,-0.38%,-0.64%,-1.14%,-1.91%,-1.75%,Upgrade
26,EPS (Basic),-0.02,-0.00,0.03,0.04,0.04,-0.00,-0.02,0.03,0.10,-0.03,Upgrade
27,EPS (Diluted),-0.02,-0.00,0.03,0.04,0.04,-0.00,-0.02,0.03,0.10,-0.03,Upgrade
28,EPS Growth,-,-,-24.35%,-,-,-,-,-,-,-,Upgrade
29,Free Cash Flow,-42.39,-18.41,52.08,101.59,22.87,-60.07,0.95,-21.62,-12.1,-64.34,Upgrade
30,Free Cash Flow Per Share,-0.06,-0.03,0.08,0.15,0.03,-0.09,0.00,-0.03,-0.02,-0.09,Upgrade
31,Dividend Per Share,-,0.002,0.015,0.020,0.018,-,-,0.015,0.015,-,Upgrade
32,Dividend Growth,-,-90.00%,-16.67%,-,-,-,-,-,-,-,Upgrade
33,Operating Margin,-12.53%,-12.01%,-5.62%,-3.86%,1.37%,-4.28%,-14.54%,-6.88%,-11.21%,-7.00%,Upgrade
34,Profit Margin,-3.98%,-0.55%,5.72%,5.82%,4.51%,-0.56%,-4.08%,5.45%,16.74%,-3.73%,Upgrade
35,Free Cash Flow Margin,-13.00%,-6.01%,13.60%,24.03%,3.58%,-12.97%,0.25%,-5.23%,-3.09%,-12.64%,Upgrade
36,EBITDA,-31.17,-25.19,-9.03,-2.99,23.01,-4.99,-40.38,-14.32,-29.16,-19.87,Upgrade
37,D&A For EBITDA,9.7,11.6,12.51,13.34,14.28,14.83,14.78,14.1,14.75,15.76,Upgrade
38,EBIT,-40.86,-36.79,-21.53,-16.32,8.73,-19.82,-55.16,-28.42,-43.91,-35.62,Upgrade
