,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,156.81,142.74,17.48,19.93,-
1,Cash & Short-Term Investments,156.81,142.74,17.48,19.93,-
2,Cash Growth,797.29%,616.20%,-,-,-
3,Accounts Receivable,55.7,62.66,55.25,71.47,-
4,Other Receivables,0.79,2.29,-,-,-
5,Receivables,56.49,64.96,55.25,71.47,-
6,Prepaid Expenses,4.36,4.24,6.52,9.14,-
7,Other Current Assets,0.8,0.8,0.8,0.8,-
8,Total Current Assets,218.46,212.74,80.05,101.34,-
9,"Property, Plant & Equipment",64.96,71.93,78.29,85.4,-
10,Other Intangible Assets,1.19,0.26,0.29,0.41,-
11,Long-Term Deferred Tax Assets,0.58,0.67,0.29,0.51,-
12,Other Long-Term Assets,3.03,2.98,3,2.96,-
13,Total Assets,288.21,288.57,161.92,190.62,-
14,Accounts Payable,4.53,6.4,4.79,6.11,-
15,Short-Term Debt,-,-,8,21,-
16,Current Portion of Leases,9.26,9.41,8.99,10.54,-
17,Current Income Taxes Payable,-,0.1,3.65,3.59,-
18,Current Unearned Revenue,-,1.75,-,1.51,-
19,Other Current Liabilities,26.92,18.55,16.39,16.86,-
20,Total Current Liabilities,40.71,36.21,41.82,59.61,-
21,Long-Term Leases,40.43,45.07,48.74,52.96,-
22,Other Long-Term Liabilities,6.56,6.56,6.56,6.56,-
23,Total Liabilities,87.7,87.84,97.12,119.12,-
24,Common Stock,6,6,-,-,-
25,Additional Paid-In Capital,118.63,-,-,-,-
26,Retained Earnings,-17.61,-,-28.65,-21.96,-
27,Comprehensive Income & Other,93.5,194.73,93.45,93.46,-
28,Shareholders' Equity,200.52,200.73,64.8,71.5,-
29,Total Liabilities & Equity,288.21,288.57,161.92,190.62,-
30,Total Debt,49.69,54.49,65.73,84.49,-
31,Net Cash (Debt),107.12,88.25,-48.26,-64.56,-
32,Net Cash Per Share,0.18,0.15,-0.11,-0.14,-
33,Filing Date Shares Outstanding,600,600,450,450,450
34,Total Common Shares Outstanding,600,600,450,450,450
35,Working Capital,177.75,176.53,38.23,41.74,-
36,Book Value Per Share,0.33,0.33,0.14,0.16,-
37,Tangible Book Value,199.33,200.48,64.51,71.09,-
38,Tangible Book Value Per Share,0.33,0.33,0.14,0.16,-
39,Machinery,-,10.05,-,8.67,-
40,Leasehold Improvements,-,22.87,-,22.84,-
