,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,189,162,186,-,-,-
1,Enterprise Value,82,74,234,-,-,-
2,Last Close Price,0.32,0.26,0.28,-,-,-
3,PE Ratio,10.26,8.88,12.81,-,-,-
4,PS Ratio,0.84,0.73,0.84,-,-,-
5,PB Ratio,0.94,0.81,0.93,-,-,-
6,P/TBV Ratio,0.81,0.81,0.93,-,-,-
7,P/FCF Ratio,6.22,5.33,4.58,-,-,-
8,P/OCF Ratio,5.12,5.12,4.45,-,-,-
9,EV/Sales Ratio,0.37,0.33,1.06,-,-,-
10,EV/EBITDA Ratio,2.32,3.05,9.81,-,-,-
11,EV/EBIT Ratio,4.16,3.75,12.00,-,-,-
12,EV/FCF Ratio,2.69,2.43,5.77,-,-,-
13,Debt / Equity Ratio,0.25,0.25,0.27,1.01,1.18,-
14,Debt / FCF Ratio,1.64,1.64,1.34,1.62,2.23,-
15,Return on Capital Employed (ROCE),7.95%,7.95%,7.73%,36.56%,39.98%,-
16,Earnings Yield,9.65%,11.26%,7.81%,-,-,-
17,FCF Yield,16.08%,18.76%,21.82%,-,-,-
18,Dividend Yield,10.60%,6.51%,-,-,-,-
19,Buyback Yield / Dilution,-32.01%,-33.33%,-30.68%,-,-,-
20,Total Shareholder Return,-21.41%,-26.82%,-30.68%,-,-,-
