,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Operating Revenue,102.62,119.15,101.73,135.76,104.92
1,Other Revenue,0.02,0.02,0.02,0.05,0.06
2,Revenue,102.64,119.17,101.75,135.8,104.98
3,Revenue Growth (YoY),0.87%,-12.25%,-3.08%,-,-
4,Cost of Revenue,76.53,81.59,74.22,81.78,72.43
5,Gross Profit,26.11,37.59,27.53,54.02,32.56
6,"Selling, General & Admin",1.22,1.73,1.31,1.64,1.51
7,Other Operating Expenses,10.2,14.96,10.63,6.92,7.05
8,Operating Expenses,18.91,25.11,20.49,17.15,17.05
9,Operating Income,7.2,12.48,7.04,36.87,15.5
10,Interest Expense,-1.44,-1.59,-2.18,-2.8,-2.83
11,Interest & Investment Income,2.71,3.03,0.01,0.01,0
12,Other Non Operating Income (Expenses),0.05,0.04,0.04,0.04,0.04
13,Pretax Income,8.52,13.96,4.91,34.12,12.72
14,Income Tax Expense,1.49,2.74,1.61,5.49,1.92
15,Net Income,7.02,11.22,3.31,28.63,10.8
16,Net Income to Common,7.02,11.22,3.31,28.63,10.8
17,Net Income Growth,112.27%,-60.82%,-69.36%,-,-
18,Shares Outstanding (Basic),600,588,450,450,450
19,Shares Outstanding (Diluted),600,588,450,450,450
20,Shares Change (YoY),33.33%,30.68%,-,-,-
21,EPS (Basic),0.01,0.02,0.01,0.06,0.02
22,EPS (Diluted),0.01,0.02,0.01,0.06,0.02
23,EPS Growth,59.20%,-70.02%,-69.36%,-,-
24,Free Cash Flow,20.97,9.42,31.17,9.53,28.37
25,Free Cash Flow Per Share,0.03,0.02,0.07,0.02,0.06
26,Dividend Per Share,0.017,-,-,-,-
27,Operating Margin,7.02%,10.47%,6.92%,27.15%,14.77%
28,Profit Margin,6.84%,9.41%,3.25%,21.08%,10.29%
29,Free Cash Flow Margin,20.43%,7.90%,30.63%,7.01%,27.03%
30,EBITDA,9.7,14.49,9.39,38.68,17.68
31,D&A For EBITDA,2.5,2.01,2.35,1.81,2.18
32,EBIT,7.2,12.48,7.04,36.87,15.5
