,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,80.12,68.67,112.21,88.06,91.03,121.28,125.16,100.56,60.31,95
1,Revenue Growth (YoY),-28.60%,-22.02%,23.27%,-27.40%,-27.27%,20.61%,107.51%,5.85%,-34.42%,3.91%
2,Cost of Revenue,71.04,60.66,97.9,75.32,80.02,108.21,109.87,90.12,52.34,84.91
3,Gross Profit,9.08,8.01,14.31,12.74,11.01,13.08,15.29,10.43,7.98,10.09
4,"Selling, General & Admin",7.75,6,7.58,9,7.41,7.96,6.69,6.15,7.32,6.84
5,Other Operating Expenses,-1.23,-0.49,-0.2,0.65,0.03,-0.1,-0.28,0.48,-0.68,-0.26
6,Operating Expenses,6.52,5.51,7.38,9.69,7.44,7.91,6.41,6.79,6.64,6.63
7,Operating Income,2.56,2.5,6.94,3.05,3.57,5.16,8.88,3.64,1.34,3.46
8,Interest Expense,-1.58,-1.53,-1.57,-1.29,-0.76,-0.65,-1.11,-1.01,-1.07,-1.25
9,Interest & Investment Income,0.08,0.13,0.05,0.04,-,0.05,-,-,0.02,-
10,Earnings From Equity Investments,0.01,0.18,0.25,0.18,0.25,-0,-,-,-,-
11,Currency Exchange Gain (Loss),-,-0.47,-,0.17,-,-0.16,-,0.09,0.3,-0.12
12,Other Non Operating Income (Expenses),-,-0.01,-,-0.05,-,-0.06,-,-,-,-
13,EBT Excluding Unusual Items,1.07,0.8,5.68,2.09,3.07,4.34,7.77,2.72,0.58,2.09
14,Gain (Loss) on Sale of Investments,-,-0.01,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,0.1,0.88,1.9,0.82,0.15,0.17,-0.05,-0.1,-,0.27
16,Other Unusual Items,-,0.1,-,0.1,-,0.2,-,0.91,-,0.06
17,Pretax Income,1.17,1.77,7.58,3.01,3.22,4.71,7.73,3.52,0.58,2.42
18,Income Tax Expense,0.52,0.42,1.18,0.74,0.47,0.97,1.48,0.46,0.39,0.88
19,Earnings From Continuing Operations,0.65,1.35,6.4,2.27,2.75,3.74,6.25,3.06,0.19,1.54
20,Minority Interest in Earnings,0.3,0.01,-,-,-,-,-,-,-,-
21,Net Income,0.95,1.36,6.4,2.27,2.75,3.74,6.25,3.06,0.19,1.54
22,Net Income to Common,0.95,1.36,6.4,2.27,2.75,3.74,6.25,3.06,0.19,1.54
23,Net Income Growth,-85.14%,-40.26%,132.32%,-39.30%,-55.91%,22.22%,3187.37%,98.96%,-87.06%,-48.15%
24,Shares Outstanding (Basic),87,90,90,90,90,90,90,90,90,90
25,Shares Outstanding (Diluted),87,90,90,99,99,108,90,90,90,90
26,Shares Change (YoY),-2.80%,-9.09%,-9.09%,-8.33%,10.00%,20.00%,-,0.04%,7.87%,29.44%
27,EPS (Basic),0.01,0.02,0.07,0.03,0.03,0.04,0.07,0.03,0.00,0.02
28,EPS (Diluted),0.01,0.01,0.07,0.02,0.03,0.04,0.07,0.03,0.00,0.02
29,EPS Growth,-84.71%,-36.96%,153.89%,-34.44%,-59.42%,3.53%,3168.59%,98.22%,-88.00%,-59.94%
30,Free Cash Flow,-1.29,-2.39,6.88,-25,-9.29,9.45,-4.35,0.33,3.34,-4.61
31,Free Cash Flow Per Share,-0.01,-0.03,0.08,-0.25,-0.09,0.09,-0.05,0.00,0.04,-0.05
32,Operating Margin,3.19%,3.64%,6.18%,3.47%,3.93%,4.26%,7.09%,3.62%,2.22%,3.65%
33,Profit Margin,1.19%,1.97%,5.70%,2.58%,3.03%,3.08%,4.99%,3.04%,0.32%,1.62%
34,Free Cash Flow Margin,-1.61%,-3.48%,6.13%,-28.40%,-10.21%,7.79%,-3.48%,0.32%,5.53%,-4.85%
35,EBITDA,4.63,4.11,9.42,4.4,5.3,5.55,10.44,4,3.2,4.35
36,D&A For EBITDA,2.07,1.61,2.48,1.35,1.72,0.39,1.56,0.36,1.86,0.88
37,EBIT,2.56,2.5,6.94,3.05,3.57,5.16,8.88,3.64,1.34,3.46
